Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,15.53,0.0
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,16.0,9.73573e-23
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,17.0,3.78659e-22
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,18.0,7.48353e-22
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,19.0,1.18079e-21
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,20.0,1.6518599999999999e-21
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,30.0,6.21435e-21
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,40.0,9.141799999999999e-21
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,50.0,1.0749599999999999e-20
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,60.0,1.1546199999999999e-20
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,70.0,1.18658e-20
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,80.0,1.1907499999999999e-20
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,90.0,1.1787899999999999e-20
56,IONIZATION,CH2 -> H CH^+,15.53,e / CH2,E + CH2 -> E + E + H + CH^+,100.0,1.1576199999999999e-20
