       Time_s           01           02           03           04           05
   0.0000E+00   2.7438E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   2.7438E+02   2.9800E+02   5.2890E+04   2.2362E-07   1.5118E-02
   2.0000E-04   7.2537E+03   2.9800E+02   5.2028E+05   3.5107E-05   6.2748E+01
   3.0000E-04   2.9766E+03   2.9800E+02   1.8195E+05   1.2357E-05   9.0635E+00
   4.0000E-04   3.2138E+03   2.9800E+02   1.9498E+05   1.3576E-05   1.0752E+01
   5.0000E-04   3.1860E+03   2.9800E+02   1.9339E+05   1.3426E-05   1.0540E+01
   6.0000E-04   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0569E+01
   7.0000E-04   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0569E+01
   8.0000E-04   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   9.0000E-04   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.0000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.1000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.2000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.3000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.4000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.5000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.6000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.7000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.8000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0570E+01
   1.9000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0571E+01
   2.0000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0571E+01
   2.1000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0571E+01
   2.2000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0571E+01
   2.3000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3446E-05   1.0571E+01
   2.4000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   2.5000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   2.6000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   2.7000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   2.8000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   2.9000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   3.0000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0571E+01
   3.1000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.2000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.3000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.4000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.5000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.6000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.7000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.8000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   3.9000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   4.0000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   4.1000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3445E-05   1.0572E+01
   4.2000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0572E+01
   4.3000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0572E+01
   4.4000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   4.5000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   4.6000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   4.7000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   4.8000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   4.9000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.0000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.1000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.2000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.3000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.4000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.5000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.6000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0573E+01
   5.7000E-03   3.1898E+03   2.9800E+02   1.9360E+05   1.3444E-05   1.0574E+01
