         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.8356E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   4.767489E+00   6.5926E+05   3.7905E+17   8.8150E+07   2.6394E+04   3.7686E+08   6.8946E+04   2.4034E+16   5.7090E+04   1.4689E+19   3.0891E+17   1.5365E+18   4.3459E+05   3.6065E+16   3.8715E+11   8.1174E+12   1.6272E+13   2.7306E+03   7.3674E+11   1.6018E+04   4.1727E+09   5.3873E+06   2.3270E+05   6.3781E+03   2.3314E+12   3.2999E+04   6.3560E+17   7.8886E+14   2.6245E+16   1.4301E+04   6.7900E+15   7.4986E+11   7.9813E+05   1.6985E-01   6.6263E+09   9.8722E-01   1.3539E+14   2.0421E+13   9.2151E+11   1.8963E+00   4.3839E+09   9.8807E+12   8.2170E+11   9.7761E+08   3.0568E+13   1.5651E+18   0.0000E+00   0.0000E+00   7.5184E-01
   1.000000E-06   8.8944E+04   4.7148E+08   1.2811E+05   5.6785E+00   9.2949E+05   8.4343E+02   3.7726E+08   4.1497E+03   1.8356E+19   1.4125E+10   5.0983E+10   7.5289E+04   4.6640E+07   3.7015E-04   8.5385E-03   1.3712E-02   8.0401E+02   9.2433E+06   5.2300E+03   7.0922E+07   1.0410E-01   4.6717E-03   4.8314E+02   1.9410E+07   2.1395E+03   2.7655E+08   1.3620E-02   4.1381E-01   1.6930E-06   1.2162E-08   1.4541E-04   7.4659E-15   1.8026E-18   5.1735E-08   1.0441E-20   3.7649E-14   1.3232E-22   5.5414E-24   8.9139E-29   1.2496E-22   1.4366E-04   1.4724E-12   7.5994E-18   4.9812E+08   1.4942E+09   0.0000E+00   0.0000E+00   1.2169E-10
   4.779032E+00   6.5925E+05   3.7991E+17   8.8047E+07   2.6389E+04   3.7693E+08   6.8934E+04   2.3980E+16   5.7077E+04   1.4682E+19   3.0952E+17   1.5394E+18   4.3450E+05   3.6169E+16   3.8940E+11   8.1647E+12   1.6366E+13   2.7329E+03   7.3829E+11   1.6027E+04   4.1643E+09   5.3921E+06   2.3291E+05   6.3890E+03   2.3386E+12   3.3062E+04   6.3677E+17   7.9199E+14   2.6349E+16   1.4328E+04   6.8108E+15   7.5277E+11   8.0361E+05   1.7028E-01   6.6475E+09   9.8935E-01   1.3565E+14   2.0494E+13   9.2479E+11   1.9005E+00   4.4156E+09   9.9571E+12   8.2421E+11   9.8744E+08   3.0477E+13   1.5685E+18   0.0000E+00   0.0000E+00   7.5335E-01
   2.000000E-06   1.0441E+06   2.8377E+11   1.0185E+09   7.8413E+04   1.3409E+09   1.1857E+05   4.8444E+11   1.0388E+05   1.8356E+19   9.1579E+10   5.8165E+11   7.2911E+05   8.5654E+09   2.0523E-01   3.9062E+00   8.2681E+00   1.0657E+03   2.9624E+09   1.2117E+04   4.5184E+11   4.5685E+03   1.9292E+02   4.9525E+02   6.4439E+08   4.9808E+02   3.9914E+11   1.3868E+02   4.8704E+03   1.1756E-02   2.8768E-03   1.6693E+03   5.8603E-07   1.0376E-10   4.3829E-01   1.5689E-13   4.9876E-05   7.8814E-13   3.7853E-14   8.6225E-19   1.8630E-16   1.6298E-01   3.4827E-07   1.2841E-11   1.3895E+12   1.4548E+12   0.0000E+00   0.0000E+00   2.2586E-02
   3.000000E-06   6.3764E+05   3.5858E+11   1.6111E+08   2.6733E+04   3.2351E+08   7.1916E+04   5.9488E+11   5.9549E+04   1.8356E+19   1.6989E+11   9.6297E+11   4.6480E+05   1.3517E+10   7.5622E-01   1.5537E+01   3.1358E+01   1.6611E+03   3.9972E+09   1.1399E+04   5.2522E+11   1.2366E+04   5.3039E+02   8.0375E+02   1.0143E+09   7.7751E+02   4.9672E+11   4.2308E+02   1.4287E+04   1.0384E-02   1.5326E-02   2.2705E+03   2.2199E-06   9.8360E-11   2.0510E+00   6.1261E-13   8.1231E-04   3.0980E-11   1.3942E-12   9.4856E-18   3.4087E-15   9.6267E-01   1.8555E-06   5.0120E-11   1.6447E+12   1.7920E+12   0.0000E+00   0.0000E+00   3.7789E-03
   4.790600E+00   6.5924E+05   3.8077E+17   8.7945E+07   2.6384E+04   3.7699E+08   6.8921E+04   2.3927E+16   5.7064E+04   1.4675E+19   3.1012E+17   1.5424E+18   4.3440E+05   3.6273E+16   3.9167E+11   8.2123E+12   1.6462E+13   2.7352E+03   7.3982E+11   1.6036E+04   4.1558E+09   5.3970E+06   2.3312E+05   6.3999E+03   2.3458E+12   3.3124E+04   6.3794E+17   7.9514E+14   2.6454E+16   1.4356E+04   6.8316E+15   7.5570E+11   8.0914E+05   1.7070E-01   6.6687E+09   9.9149E-01   1.3592E+14   2.0567E+13   9.2808E+11   1.9046E+00   4.4475E+09   1.0034E+13   8.2673E+11   9.9736E+08   3.0386E+13   1.5718E+18   0.0000E+00   0.0000E+00   7.5486E-01
   4.000000E-06   6.7421E+05   4.4488E+11   1.9928E+08   3.0571E+04   3.8156E+08   7.6694E+04   7.2426E+11   6.3463E+04   1.8356E+19   2.4975E+11   1.3616E+12   4.8878E+05   1.8801E+10   1.5672E+00   3.2529E+01   6.5394E+01   1.5911E+03   5.1661E+09   1.1600E+04   6.1372E+11   2.1756E+04   9.3584E+02   7.6682E+02   1.4090E+09   7.4129E+02   6.0957E+11   7.8344E+02   2.6284E+04   1.3225E-02   3.7514E-02   3.1682E+03   4.5448E-06   1.4301E-10   4.3579E+00   1.3285E-12   3.1569E-03   1.9771E-10   8.9242E-12   3.8492E-17   1.6671E-14   2.6549E+00   4.5416E-06   1.9855E-10   1.9499E+12   2.1860E+12   0.0000E+00   0.0000E+00   6.2427E-03
   5.000000E-06   6.6856E+05   5.3028E+11   1.9300E+08   2.9965E+04   3.7220E+08   7.5961E+04   8.5217E+11   6.2857E+04   1.8356E+19   3.2952E+11   1.7590E+12   4.8509E+05   2.4061E+10   2.6430E+00   5.5084E+01   1.1054E+02   1.6016E+03   6.3242E+09   1.1572E+04   7.0095E+11   3.2579E+04   1.4033E+03   7.7237E+02   1.8049E+09   7.4668E+02   7.2120E+11   1.2166E+03   4.0698E+04   1.5560E-02   7.2674E-02   4.2319E+03   7.7122E-06   1.8986E-10   7.5701E+00   2.3007E-12   8.2851E-03   6.9672E-10   3.1448E-11   1.0037E-16   5.3574E-14   5.6246E+00   8.7982E-06   5.4035E-10   2.2511E+12   2.5756E+12   0.0000E+00   0.0000E+00   7.3655E-03
   4.802194E+00   6.5917E+05   3.8163E+17   8.7810E+07   2.6371E+04   3.7697E+08   6.8902E+04   2.3875E+16   5.7046E+04   1.4667E+19   3.1073E+17   1.5455E+18   4.3428E+05   3.6377E+16   3.9396E+11   8.2602E+12   1.6558E+13   2.7374E+03   7.4110E+11   1.6044E+04   4.1461E+09   5.4018E+06   2.3333E+05   6.4102E+03   2.3533E+12   3.3185E+04   6.3911E+17   7.9830E+14   2.6559E+16   1.4383E+04   6.8525E+15   7.5864E+11   8.1495E+05   1.7111E-01   6.6880E+09   9.9356E-01   1.3618E+14   2.0640E+13   9.3138E+11   1.9085E+00   4.4797E+09   1.0112E+13   8.2926E+11   1.0074E+09   3.0284E+13   1.5752E+18   0.0000E+00   0.0000E+00   7.5575E-01
   6.000000E-06   6.6947E+05   6.1558E+11   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   9.7993E+11   6.2954E+04   1.8356E+19   4.0927E+11   2.1563E+12   4.8568E+05   2.9317E+10   3.9824E+00   8.3168E+01   1.6676E+02   1.5999E+03   7.4804E+09   1.1576E+04   7.8801E+11   4.4829E+04   1.9324E+03   7.7147E+02   2.2037E+09   7.4581E+02   8.3267E+11   1.7221E+03   5.7518E+04   1.7981E-02   1.2348E-01   5.4717E+03   1.1865E-05   2.4574E-10   1.1827E+01   3.5963E-12   1.7834E-02   1.8557E-09   8.3759E-11   2.1627E-16   1.3628E-13   1.0234E+01   1.4949E-05   1.2018E-09   2.5517E+12   2.9646E+12   0.0000E+00   0.0000E+00   8.7639E-03
   7.000000E-06   6.6947E+05   7.0093E+11   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.1078E+12   6.2954E+04   1.8356E+19   4.8903E+11   2.5536E+12   4.8568E+05   3.4576E+10   5.5858E+00   1.1678E+02   2.3405E+02   1.5999E+03   8.6365E+09   1.1576E+04   8.7514E+11   5.8515E+04   2.5235E+03   7.7148E+02   2.6059E+09   7.4582E+02   9.4422E+11   2.3002E+03   7.6756E+04   2.0390E-02   1.9274E-01   6.8906E+03   1.7161E-05   3.0947E-10   1.7290E+01   5.2573E-12   3.3985E-02   4.1777E-09   1.8857E-10   4.1213E-16   2.9799E-13   1.6864E+01   2.3334E-05   2.3391E-09   2.8526E+12   3.3538E+12   0.0000E+00   0.0000E+00   1.0118E-02
   4.813814E+00   6.5916E+05   3.8250E+17   8.7707E+07   2.6366E+04   3.7704E+08   6.8890E+04   2.3822E+16   5.7033E+04   1.4660E+19   3.1133E+17   1.5485E+18   4.3419E+05   3.6482E+16   3.9626E+11   8.3084E+12   1.6655E+13   2.7397E+03   7.4262E+11   1.6053E+04   4.1377E+09   5.4067E+06   2.3354E+05   6.4212E+03   2.3605E+12   3.3248E+04   6.4029E+17   8.0147E+14   2.6664E+16   1.4411E+04   6.8734E+15   7.6158E+11   8.2054E+05   1.7154E-01   6.7092E+09   9.9569E-01   1.3644E+14   2.0713E+13   9.3469E+11   1.9126E+00   4.5121E+09   1.0190E+13   8.3179E+11   1.0175E+09   3.0194E+13   1.5786E+18   0.0000E+00   0.0000E+00   7.5723E-01
   8.000000E-06   6.6947E+05   7.8627E+11   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.2357E+12   6.2954E+04   1.8356E+19   5.6879E+11   2.9509E+12   4.8568E+05   3.9835E+10   7.4531E+00   1.5594E+02   3.1242E+02   1.5999E+03   9.7919E+09   1.1576E+04   9.6226E+11   7.3635E+04   3.1765E+03   7.7148E+02   3.0117E+09   7.4582E+02   1.0558E+12   2.9509E+03   9.8409E+04   2.2799E-02   2.8325E-01   8.4875E+03   2.3751E-05   3.8120E-10   2.4119E+01   7.3339E-12   5.9536E-02   8.3942E-09   3.7889E-10   7.2198E-16   5.8521E-13   2.5904E+01   3.4292E-05   4.1405E-09   3.1534E+12   3.7432E+12   0.0000E+00   0.0000E+00   1.1472E-02
   4.825458E+00   6.5915E+05   3.8336E+17   8.7604E+07   2.6361E+04   3.7710E+08   6.8877E+04   2.3771E+16   5.7020E+04   1.4653E+19   3.1194E+17   1.5515E+18   4.3410E+05   3.6587E+16   3.9856E+11   8.3568E+12   1.6752E+13   2.7420E+03   7.4413E+11   1.6063E+04   4.1294E+09   5.4116E+06   2.3375E+05   6.4321E+03   2.3678E+12   3.3311E+04   6.4147E+17   8.0465E+14   2.6770E+16   1.4439E+04   6.8944E+15   7.6453E+11   8.2619E+05   1.7196E-01   6.7303E+09   9.9782E-01   1.3669E+14   2.0787E+13   9.3800E+11   1.9167E+00   4.5448E+09   1.0269E+13   8.3433E+11   1.0277E+09   3.0103E+13   1.5820E+18   0.0000E+00   0.0000E+00   7.5871E-01
   9.000000E-06   6.6947E+05   8.7162E+11   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.3636E+12   6.2954E+04   1.8356E+19   6.4856E+11   3.3483E+12   4.8568E+05   4.5094E+10   9.5843E+00   2.0062E+02   4.0186E+02   1.5999E+03   1.0947E+10   1.1576E+04   1.0494E+12   9.0188E+04   3.8914E+03   7.7148E+02   3.4215E+09   7.4583E+02   1.1673E+12   3.6742E+03   1.2248E+05   2.5208E-02   3.9780E-01   1.0262E+04   3.1788E-05   4.6093E-10   3.2479E+01   9.8761E-12   9.7970E-02   1.5520E-08   7.0054E-10   1.1881E-15   1.0599E-12   3.7755E+01   4.8160E-05   6.8276E-09   3.4542E+12   4.1325E+12   0.0000E+00   0.0000E+00   1.2825E-02
   1.000000E-05   6.6947E+05   9.5697E+11   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.4916E+12   6.2954E+04   1.8356E+19   7.2832E+11   3.7456E+12   4.8568E+05   5.0353E+10   1.1979E+01   2.5084E+02   5.0239E+02   1.5999E+03   1.2100E+10   1.1576E+04   1.1365E+12   1.0818E+05   4.6683E+03   7.7148E+02   3.8355E+09   7.4583E+02   1.2789E+12   4.4701E+03   1.4896E+05   2.7617E-02   5.3919E-01   1.2215E+04   4.1425E-05   5.4866E-10   4.2538E+01   1.2935E-11   1.5357E-01   2.6929E-08   1.2155E-09   1.8623E-15   1.8025E-12   5.2831E+01   6.5276E-05   1.0657E-08   3.7550E+12   4.5218E+12   0.0000E+00   0.0000E+00   1.4177E-02
   4.837128E+00   6.5910E+05   3.8423E+17   8.7473E+07   2.6349E+04   3.7709E+08   6.8859E+04   2.3719E+16   5.7003E+04   1.4646E+19   3.1255E+17   1.5545E+18   4.3398E+05   3.6692E+16   4.0089E+11   8.4055E+12   1.6849E+13   2.7441E+03   7.4541E+11   1.6070E+04   4.1199E+09   5.4166E+06   2.3397E+05   6.4426E+03   2.3753E+12   3.3372E+04   6.4264E+17   8.0784E+14   2.6876E+16   1.4467E+04   6.9155E+15   7.6750E+11   8.3208E+05   1.7238E-01   6.7498E+09   9.9989E-01   1.3695E+14   2.0860E+13   9.4132E+11   1.9207E+00   4.5777E+09   1.0349E+13   8.3688E+11   1.0381E+09   3.0004E+13   1.5854E+18   0.0000E+00   0.0000E+00   7.5964E-01
   1.100000E-05   6.6947E+05   1.0423E+12   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.6196E+12   6.2954E+04   1.8356E+19   8.0808E+11   4.1429E+12   4.8568E+05   5.5612E+10   1.4639E+01   3.0659E+02   6.1399E+02   1.5999E+03   1.3253E+10   1.1576E+04   1.2236E+12   1.2760E+05   5.5070E+03   7.7148E+02   4.2539E+09   7.4584E+02   1.3905E+12   5.3386E+03   1.7786E+05   3.0026E-02   7.1020E-01   1.4346E+04   5.2815E-05   6.4439E-10   5.4468E+01   1.6563E-11   2.3148E-01   4.4434E-08   2.0057E-09   2.8071E-15   2.9144E-12   7.1561E+01   8.5980E-05   1.5921E-08   4.0557E+12   4.9112E+12   0.0000E+00   0.0000E+00   1.5527E-02
   4.848824E+00   6.5909E+05   3.8510E+17   8.7370E+07   2.6344E+04   3.7716E+08   6.8847E+04   2.3668E+16   5.6990E+04   1.4638E+19   3.1316E+17   1.5575E+18   4.3389E+05   3.6798E+16   4.0323E+11   8.4546E+12   1.6948E+13   2.7464E+03   7.4691E+11   1.6080E+04   4.1116E+09   5.4215E+06   2.3418E+05   6.4535E+03   2.3827E+12   3.3435E+04   6.4382E+17   8.1105E+14   2.6983E+16   1.4495E+04   6.9366E+15   7.7048E+11   8.3780E+05   1.7280E-01   6.7709E+09   1.0020E+00   1.3721E+14   2.0934E+13   9.4465E+11   1.9248E+00   4.6109E+09   1.0429E+13   8.3944E+11   1.0485E+09   2.9914E+13   1.5887E+18   0.0000E+00   0.0000E+00   7.6110E-01
   1.200000E-05   6.6947E+05   1.1277E+12   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.7476E+12   6.2954E+04   1.8356E+19   8.8784E+11   4.5403E+12   4.8568E+05   6.0872E+10   1.7562E+01   3.6788E+02   7.3667E+02   1.5999E+03   1.4406E+10   1.1576E+04   1.3106E+12   1.4845E+05   6.4077E+03   7.7148E+02   4.6770E+09   7.4585E+02   1.5020E+12   6.2797E+03   2.0918E+05   3.2436E-02   9.1364E-01   1.6655E+04   6.6109E-05   7.4812E-10   6.8444E+01   2.0813E-11   3.3783E-01   7.0359E-08   3.1758E-09   4.0968E-15   4.5207E-12   9.4387E+01   1.1061E-04   2.2949E-08   4.3564E+12   5.3006E+12   0.0000E+00   0.0000E+00   1.6877E-02
   1.300000E-05   6.6947E+05   1.2130E+12   1.9400E+08   3.0061E+04   3.7370E+08   7.6080E+04   1.8757E+12   6.2954E+04   1.8356E+19   9.6760E+11   4.9376E+12   4.8568E+05   6.6132E+10   2.0749E+01   4.3470E+02   8.7043E+02   1.5999E+03   1.5557E+10   1.1576E+04   1.3977E+12   1.7074E+05   7.3703E+03   7.7148E+02   5.1051E+09   7.4585E+02   1.6136E+12   7.2934E+03   2.4291E+05   3.4845E-02   1.1523E+00   1.9141E+04   8.1461E-05   8.5984E-10   8.4642E+01   2.5739E-11   4.7979E-01   1.0763E-07   4.8583E-09   5.8183E-15   6.7730E-12   1.2177E+02   1.3950E-04   3.2111E-08   4.6571E+12   5.6900E+12   0.0000E+00   0.0000E+00   1.8226E-02
