,0
e + CH4 => e + CH4(v24),2.674822667855e+24
e + CH4 => e + CH4(v13),2.517601762145e+24
e + CH4 => e + CH3 + H,6.96551980305251e+23
e + CH4 => e + e + H2 + CH2^+,3.7087001790301314e+23
e + e + CH4^+ => e + CH4,3.514871893241109e+23
e + CH4 => e + e + CH4^+,3.4374002035654696e+23
CH4 + CH2 => C2H6,2.319916758556717e+23
e + e + CH2^+ => e + CH2,2.0245e+23
e + CH4 => e + e + H + CH3^+,1.7778000978359356e+23
e + e + CH3^+ => e + CH3,1.2142000009649702e+23
C2H5 + H => C2H6,1.209756666375e+23
e + CH4 => e + CH2 + H2,9.905014007017165e+22
e + CH4 => e + C + H2 + H2,9.905014007017165e+22
e + e + C2H5^+ => e + C2H5,9.30385684963124e+22
e + e + C2H4^+ => e + C2H4,7.241181283761505e+22
CH4 + CH2^+ => H2 + C2H4^+,7.217700001241727e+22
CH4 + CH3^+ => H2 + C2H5^+,6.184312668610113e+22
CH2 + H => CH3,5.852448577686087e+22
C2H4 + H2 => C2H5 + H,4.6359332311800006e+22
e + e + C2H3^+ => e + C2H3,4.185337186630594e+22
C2H3 + H => C2H2 + H2,3.515048033357e+22
CH4 + CH2^+ => H2 + H2 + C2H2^+,3.411200000586864e+22
CH4 + CH2^+ => H + C2H5^+,3.0933000005321683e+22
C2H5 + H => CH3 + CH3,2.3040516759670003e+22
CH4 + C2H2^+ => CH3 + C2H3^+,2.1702126121305634e+22
CH4 + CH2^+ => H + H2 + C2H3^+,1.984900000341475e+22
CH4 + CH => C2H4 + H,1.6727510510071559e+22
CH4 + H => CH3 + H2,1.34872691279e+22
e + e + C2H2^+ => e + C2H2,1.2469000166477008e+22
CH4 + CH2^+ => CH3 + CH3^+,1.1858000002039979e+22
C2H4 + H => C2H5,1.109462581013594e+22
e + CH4 => e + CH + H2 + H,1.08530006915024e+22
C2H3 + H => C2H4,7.864774608376001e+21
CH4 + CH3^+ => CH3 + CH4^+,7.008914357741862e+21
CH2 + H => CH + H2,5.570485642495066e+21
C2H2 + H => C2H3,3.39593349181e+21
C2H5 + H => C2H4 + H2,1.2770378404279998e+21
e + CH4(v24) => e + CH3 + H,7.425942580062751e+20
e + CH4(v13) => e + CH3 + H,7.098787138717685e+20
e + CH4 => e + e + H2 + H + CH^+,4.66490022434e+20
e + CH4(v24) => e + e + H2 + CH2^+,3.9533000132499164e+20
e + CH4(v13) => e + e + H2 + CH2^+,3.779100015075018e+20
e + CH4(v24) => e + e + CH4^+,3.6641019364482626e+20
C2H5 + C2H3 => C2H4 + C2H4,3.6106347252100006e+20
e + CH4(v13) => e + e + CH4^+,3.502602204482993e+20
e + CH3 => e + e + CH3^+,3.2790088298490973e+20
e + e + CH^+ => e + CH,3.0927e+20
e + C2H6 => e + C2H6(v24),2.98228309e+20
CH4(v24) + CH2 => C2H6,2.4750597038488712e+20
CH4(v13) + CH2 => C2H6,2.364033359262911e+20
e + CH3 => e + CH2 + H,2.1465047451475162e+20
e + CH3 => e + C + H2 + H,2.1465047451475162e+20
e + C2H6 => e + C2H6(v13),2.10523347155e+20
e + CH4(v24) => e + e + H + CH3^+,1.895100611926599e+20
e + CH4(v13) => e + e + H + CH3^+,1.811500696576101e+20
C2H3 + C2H3 => C2H4 + C2H2,1.7732595977059998e+20
e + C2H2 => e + C2H2(v5),1.727540629e+20
e + C2H4 => e + C2H4(v1),1.6792221189124004e+20
CH2 + C2H5 => C2H4 + CH3,1.6769172227320752e+20
e + C2H5 => e + C2H4 + H,1.5632016111653827e+20
CH4 + CH^+ => H2 + C2H3^+,1.4308000000032144e+20
C2H5 + C2H5 => C4H9H,1.3545691460087e+20
C2H6 + H => C2H5 + H2,1.18794245476e+20
e + C2H6 => e + C2H4 + H2,1.1071300150451965e+20
e + CH4(v24) => e + C + H2 + H2,1.0558726757371155e+20
e + CH4(v24) => e + CH2 + H2,1.0558726757371155e+20
e + CH4(v13) => e + C + H2 + H2,1.009382753814979e+20
e + CH4(v13) => e + CH2 + H2,1.009382753814979e+20
e + CH2 => e + CH + H,9.072700000000049e+19
e + CH2 => e + C + H + H,9.072700000000049e+19
e + CH2 => e + e + CH2^+,8.162100000000008e+19
CH2 + C2H3 => C2H2 + CH3,7.781597805139553e+19
CH4(v24) + CH2^+ => H2 + C2H4^+,7.693700056722717e+19
CH4(v13) + CH2^+ => H2 + C2H4^+,7.354500064536196e+19
e + CH3 => e + e + H + CH2^+,6.62270000724714e+19
CH4(v24) + CH3^+ => H2 + C2H5^+,6.59222282291564e+19
H2 + CH2^+ => H + CH3^+,6.534300001857531e+19
CH4(v13) + CH3^+ => H2 + C2H5^+,6.301623517435149e+19
e + C2H3 => e + C2H2 + H,6.173310251354738e+19
e + C2H5 => e + C2H3 + H2,4.3799011691324285e+19
e + C2H4 => e + C2H2 + H2,3.773800242875227e+19
e + C2H4 => e + C2H4(v2),3.725552055228101e+19
CH4(v13) + H => CH3 + H2,3.659058091e+19
CH4(v24) + CH2^+ => H2 + H2 + C2H2^+,3.6362000268082733e+19
CH4(v24) + H => CH3 + H2,3.5496698100000002e+19
CH4(v13) + CH2^+ => H2 + H2 + C2H2^+,3.4759000305010217e+19
C2H5 + C2H5 => C2H6 + C2H4,3.4183499157358998e+19
CH4(v24) + CH2^+ => H + C2H5^+,3.297300024309744e+19
e + C2H5 => e + e + C2H5^+,3.2935000050692227e+19
C2H2(v5) + H => C2H3,3.2800402439e+19
CH4(v13) + CH2^+ => H + C2H5^+,3.15190002765838e+19
e + C2H4 => e + C2H3 + H,3.002600031154313e+19
e + CH3 => e + CH + H2,2.8426034279376617e+19
