          Time         dTime           E/N             E            AR           AR*          AR^+          E(W)        AR(W)*       AR(W)^+             1             2             3             4             5             6             7             8             9             V             J           MuN
  1.000000E-09  1.000000E-09  1.078843E-02  1.000000E+00  1.834734E+19  0.000000E+00  1.000000E+00  6.665373E-03  0.000000E+00  7.280146E-09  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  6.687672E+06  0.000000E+00  7.280146E+00  6.250000E+01  0.000000E+00  1.652109E+24
  1.010000E-07  1.000000E-09  1.089449E+00  1.000000E+00  1.834734E+19  0.000000E+00  1.000000E+00  3.732144E+00  0.000000E+00  7.352947E-07  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.709248E+07  0.000000E+00  7.280146E+00  6.250000E+01  3.845947E-12  2.837392E+22
  2.010000E-07  1.000000E-09  2.167034E+00  1.000000E+00  1.834734E+19  1.075381E-06  1.000000E+00  8.787858E+00  5.110603E-14  1.463309E-06  1.472228E+02  1.548360E-14  0.000000E+00  2.276433E-14  6.476087E-22  5.919113E-02  5.582433E+07  7.828930E-06  7.280146E+00  6.250000E+01  4.561323E-12  1.683415E+22
  3.010000E-07  1.000000E-09  3.242481E+00  1.000000E+00  1.834734E+19  5.713860E-03  1.000000E+00  1.449558E+01  7.122653E-10  2.191324E-06  2.915430E+05  1.026010E-10  0.000000E+00  2.181925E-10  1.828299E-14  3.145023E+02  6.133504E+07  4.159774E-02  7.280146E+00  6.250000E+01  5.033714E-12  1.239524E+22
  4.010000E-07  1.000000E-09  4.314728E+00  1.000000E+00  1.834734E+19  1.887196E-01  1.000000E+00  2.061921E+01  4.619674E-08  2.919338E-06  4.655147E+06  3.826469E-09  0.000000E+00  9.310497E-09  1.994444E-11  1.038750E+04  6.468169E+07  1.373906E+00  7.280146E+00  6.250000E+01  5.786386E-12  1.069881E+22
  5.010000E-07  1.000000E-09  5.382717E+00  1.000000E+00  1.834734E+19  1.177396E+00  1.000000E+00  2.696532E+01  4.708183E-07  3.647353E-06  1.703866E+07  2.520465E-08  9.897858E-04  6.440854E-08  7.763058E-10  6.480622E+04  6.626545E+07  8.571612E+00  7.280146E+00  6.250000E+01  7.016829E-12  1.039448E+22
  6.010000E-07  1.000000E-09  6.445393E+00  1.000000E+00  1.834734E+19  3.701623E+00  1.000000E+00  3.341444E+01  2.135263E-06  4.375368E-06  3.618713E+07  8.123455E-08  3.017334E-01  2.117852E-07  7.673129E-09  2.037448E+05  6.701736E+07  2.694836E+01  7.280146E+00  6.250000E+01  8.460251E-12  1.046288E+22
  7.010000E-07  1.000000E-09  7.501709E+00  1.000000E+00  1.834734E+19  8.311838E+00  1.000000E+00  3.991628E+01  6.368485E-06  5.103382E-06  6.033170E+07  1.849386E-07  5.930482E+00  4.870409E-07  3.868852E-08  4.575003E+05  6.744628E+07  6.051139E+01  7.280146E+00  6.250000E+01  9.942892E-12  1.056247E+22
  8.010000E-07  1.000000E-09  8.550622E+00  1.000000E+00  1.834734E+19  1.542226E+01  1.000000E+00  4.645135E+01  1.484586E-05  5.831397E-06  8.844111E+07  3.464033E-07  5.480391E+01  9.180555E-07  1.331937E-07  8.488719E+05  6.774751E+07  1.122763E+02  7.280146E+00  6.250000E+01  1.140065E-11  1.062346E+22
  9.010000E-07  1.000000E-09  9.591096E+00  1.000000E+00  1.834734E+19  2.537251E+01  1.000000E+00  5.301147E+01  2.951453E-05  6.559411E-06  1.199840E+08  5.741803E-07  3.094231E+02  1.528808E-06  3.605079E-07  1.396554E+06  6.799052E+07  1.847156E+02  7.280146E+00  6.250000E+01  1.281687E-11  1.064599E+22
  1.001000E-06  1.000000E-09  1.062210E+01  1.000000E+00  1.834734E+19  3.845725E+01  1.000000E+00  5.959276E+01  5.255174E-05  7.287426E-06  1.545642E+08  8.759604E-07  1.244552E+03  2.341188E-06  8.282175E-07  2.116764E+06  6.820424E+07  2.799744E+02  7.280146E+00  6.250000E+01  1.418597E-11  1.063827E+22
  1.101000E-06  1.000000E-09  1.164263E+01  1.000000E+00  1.834734E+19  5.493709E+01  1.000000E+00  6.619312E+01  8.633604E-05  8.015442E-06  1.918983E+08  1.258769E-06  3.913658E+03  3.375493E-06  1.690127E-06  3.023848E+06  6.840114E+07  3.999500E+02  7.280146E+00  6.250000E+01  1.550865E-11  1.060974E+22
  1.201000E-06  1.000000E-09  1.265167E+01  1.000000E+00  1.834734E+19  7.504620E+01  1.000000E+00  7.281125E+01  1.334252E-04  8.743459E-06  2.318293E+08  1.729006E-06  1.023768E+04  4.650189E-06  3.153882E-06  4.130694E+06  6.858533E+07  5.463473E+02  7.280146E+00  6.250000E+01  1.679151E-11  1.057035E+22
  1.301000E-06  1.000000E-09  1.364822E+01  1.000000E+00  1.834734E+19  9.899566E+01  1.000000E+00  7.944629E+01  1.965405E-04  9.471479E-06  2.740164E+08  2.292762E-06  2.322421E+04  6.183401E-06  5.488079E-06  5.448920E+06  6.876194E+07  7.207029E+02  7.280146E+00  6.250000E+01  1.803075E-11  1.052097E+22
  1.401000E-06  1.000000E-09  1.463130E+01  1.000000E+00  1.834734E+19  1.269782E+02  1.000000E+00  8.609748E+01  2.785491E-04  1.019951E-05  3.182515E+08  2.955594E-06  4.708399E+04  7.991507E-06  9.029138E-06  6.989135E+06  6.893158E+07  9.244198E+02  7.280146E+00  6.250000E+01  1.922925E-11  1.046579E+22
  1.501000E-06  1.000000E-09  1.559994E+01  1.000000E+00  1.834734E+19  1.591569E+02  1.000000E+00  9.276428E+01  3.824470E-04  1.092754E-05  3.644189E+08  3.722306E-06  8.724874E+04  1.008875E-05  1.418532E-05  8.760317E+06  6.909423E+07  1.158686E+03  7.280146E+00  6.250000E+01  2.039246E-11  1.040920E+22
