Time_s	Field_Td
0.0	0.0
5e-07	2.5579
1e-06	5.0528
1.5e-06	7.4233
2e-06	9.611
2.5e-06	11.562
3e-06	13.228
3.5e-06	14.569
4e-06	15.551
4.5e-06	16.15
5e-06	16.351
5.5e-06	16.15
6e-06	15.551
6.5e-06	14.569
7e-06	13.228
7.5e-06	11.562
8e-06	9.611
8.5e-06	7.4233
9e-06	5.0528
9.5e-06	2.5579
1e-05	0.0
1.05e-05	2.5579
1.1e-05	5.0528
1.15e-05	7.4233
1.2e-05	9.611
1.25e-05	11.562
1.3e-05	13.228
1.35e-05	14.569
1.4e-05	15.551
1.45e-05	16.15
1.5e-05	16.351
1.55e-05	16.15
1.6e-05	15.551
1.65e-05	14.569
1.7e-05	13.228
1.75e-05	11.562
1.8e-05	9.611
1.85e-05	7.4233
1.9e-05	5.0528
1.95e-05	2.5579
2e-05	0.0
2.05e-05	2.5579
2.1e-05	5.0528
2.15e-05	7.4233
2.2e-05	9.611
2.25e-05	11.562
2.3e-05	13.228
2.35e-05	14.569
2.4e-05	15.551
2.45e-05	16.15
2.5e-05	16.351
2.55e-05	16.15
2.6e-05	15.551
2.65e-05	14.569
2.7e-05	13.228
2.75e-05	11.562
2.8e-05	9.611
2.85e-05	7.4233
2.9e-05	5.0528
2.95e-05	2.5579
3e-05	0.0
3.05e-05	2.5579
3.1e-05	5.0528
3.15e-05	7.4233
3.2e-05	9.611
3.25e-05	11.562
3.3e-05	13.228
3.35e-05	14.569
3.4e-05	15.551
3.45e-05	16.15
3.5e-05	16.351
3.55e-05	16.15
3.6e-05	15.551
3.65e-05	14.569
3.7e-05	13.228
3.75e-05	11.562
3.8e-05	9.611
3.85e-05	7.4233
3.9e-05	5.0528
3.95e-05	2.5579
4e-05	0.0
4.05e-05	2.5579
4.1e-05	5.0528
4.15e-05	7.4233
4.2e-05	9.611
4.25e-05	11.562
4.3e-05	13.228
4.35e-05	14.569
4.4e-05	15.551
4.45e-05	16.15
4.5e-05	16.351
4.55e-05	16.15
4.6e-05	15.551
4.65e-05	14.569
4.7e-05	13.228
4.75e-05	11.562
4.8e-05	9.611
4.85e-05	7.4233
4.9e-05	5.0528
4.95e-05	2.5579
5e-05	0.0
5.05e-05	2.5579
5.1e-05	5.0528
5.15e-05	7.4233
5.2e-05	9.611
5.25e-05	11.562
5.3e-05	13.228
5.35e-05	14.569
5.4e-05	15.551
5.45e-05	16.15
5.5e-05	16.351
5.55e-05	16.15
5.6e-05	15.551
5.65e-05	14.569
5.7e-05	13.228
5.75e-05	11.562
5.8e-05	9.611
5.85e-05	7.4233
5.9e-05	5.0528
5.95e-05	2.5579
6e-05	0.0
6.05e-05	2.5579
6.1e-05	5.0528
6.15e-05	7.4233
6.2e-05	9.611
6.25e-05	11.562
6.3e-05	13.228
6.35e-05	14.569
6.4e-05	15.551
6.45e-05	16.15
6.5e-05	16.351
6.55e-05	16.15
6.6e-05	15.551
6.65e-05	14.569
6.7e-05	13.228
6.75e-05	11.562
6.8e-05	9.611
6.85e-05	7.4233
6.9e-05	5.0528
6.95e-05	2.5579
7e-05	0.0
7.05e-05	2.5579
7.1e-05	5.0528
7.15e-05	7.4233
7.2e-05	9.611
7.25e-05	11.562
7.3e-05	13.228
7.35e-05	14.569
7.4e-05	15.551
7.45e-05	16.15
7.5e-05	16.351
7.55e-05	16.15
7.6e-05	15.551
7.65e-05	14.569
7.7e-05	13.228
7.75e-05	11.562
7.8e-05	9.611
7.85e-05	7.4233
7.9e-05	5.0528
7.95e-05	2.5579
8e-05	0.0
8.05e-05	2.5579
8.1e-05	5.0528
8.15e-05	7.4233
8.2e-05	9.611
8.25e-05	11.562
8.3e-05	13.228
8.35e-05	14.569
8.4e-05	15.551
8.45e-05	16.15
8.5e-05	16.351
8.55e-05	16.15
8.6e-05	15.551
8.65e-05	14.569
8.7e-05	13.228
8.75e-05	11.562
8.8e-05	9.611
8.85e-05	7.4233
8.9e-05	5.0528
8.95e-05	2.5579
9e-05	0.0
9.05e-05	2.5579
9.1e-05	5.0528
9.15e-05	7.4233
9.2e-05	9.611
9.25e-05	11.562
9.3e-05	13.228
9.35e-05	14.569
9.4e-05	15.551
9.45e-05	16.15
9.5e-05	16.351
9.55e-05	16.15
9.6e-05	15.551
9.65e-05	14.569
9.7e-05	13.228
9.75e-05	11.562
9.8e-05	9.611
9.85e-05	7.4233
9.9e-05	5.0528
9.95e-05	2.5579
0.0001	0.0
