          TIME           E/N             E            AR           AR*          AR^+          E(W)
   5.00000E-07   1.27895E+00   0.00000E+00   1.83000E+19   1.13077E-15   1.00000E+00   1.00000E+00
   1.00000E-06   3.80535E+00   3.77716E-48   1.83000E+19   1.10190E-15   1.00000E+00   1.00000E+00
   1.50000E-06   6.23805E+00   3.48619E-48   1.83000E+19   1.07383E-15   1.00000E+00   1.00000E+00
   2.00000E-06   8.51715E+00   3.26932E-48   1.83000E+19   1.04650E-15   1.00000E+00   1.00000E+00
   2.50000E-06   1.05865E+01   3.08392E-48   1.83000E+19   1.01988E-15   1.00000E+00   1.00000E+00
   3.00000E-06   1.23950E+01   2.94467E-48   1.83000E+19   9.95049E-16   1.00000E+00   1.00000E+00
   3.50000E-06   1.38985E+01   2.80542E-48   1.83000E+19   9.70220E-16   1.00000E+00   1.00000E+00
   4.00000E-06   1.50600E+01   2.66617E-48   1.83000E+19   9.45390E-16   1.00000E+00   1.00000E+00
   4.50000E-06   1.58505E+01   2.52691E-48   1.83000E+19   9.20561E-16   1.00000E+00   1.00000E+00
   5.00000E-06   1.62505E+01   2.45526E-48   1.83000E+19   9.00876E-16   1.00000E+00   1.00000E+00
   5.50000E-06   1.62505E+01   2.50682E-48   1.83000E+19   8.90569E-16   1.00000E+00   1.00000E+00
   6.00000E-06   1.58505E+01   2.55838E-48   1.83000E+19   8.80261E-16   1.00000E+00   1.00000E+00
   6.50000E-06   1.50600E+01   2.60994E-48   1.83000E+19   8.69954E-16   1.00000E+00   1.00000E+00
   7.00000E-06   1.38985E+01   2.66150E-48   1.83000E+19   8.59646E-16   1.00000E+00   1.00000E+00
   7.50000E-06   1.23950E+01   2.71306E-48   1.83000E+19   8.49339E-16   1.00000E+00   1.00000E+00
   8.00000E-06   1.05865E+01   2.76462E-48   1.83000E+19   8.39031E-16   1.00000E+00   1.00000E+00
   8.50000E-06   8.51715E+00   2.00376E-48   1.83000E+19   8.17532E-16   1.00000E+00   1.00000E+00
   9.00000E-06   6.23805E+00   1.91652E-48   1.83000E+19   7.96566E-16   1.00000E+00   1.00000E+00
   9.50000E-06   3.80535E+00   1.91869E-48   1.83000E+19   7.76121E-16   1.00000E+00   1.00000E+00
   1.00000E-05   1.27895E+00   2.34267E-48   1.83000E+19   7.56184E-16   1.00000E+00   1.00000E+00
   1.05000E-05   1.27895E+00   2.24869E-48   1.83000E+19   7.38766E-16   1.00000E+00   1.00000E+00
   1.10000E-05   3.80535E+00   1.65869E-48   1.83000E+19   7.19756E-16   1.00000E+00   1.00000E+00
   1.15000E-05   6.23805E+00   1.48640E-48   1.83000E+19   7.01220E-16   1.00000E+00   1.00000E+00
   1.20000E-05   8.51715E+00   1.39250E-48   1.83000E+19   6.83147E-16   1.00000E+00   1.00000E+00
   1.25000E-05   1.05865E+01   1.31256E-48   1.83000E+19   6.65524E-16   1.00000E+00   1.00000E+00
   1.30000E-05   1.23950E+01   1.26040E-48   1.83000E+19   6.50355E-16   1.00000E+00   1.00000E+00
   1.35000E-05   1.38985E+01   1.20824E-48   1.83000E+19   6.35185E-16   1.00000E+00   1.00000E+00
   1.40000E-05   1.50600E+01   1.15609E-48   1.83000E+19   6.20015E-16   1.00000E+00   1.00000E+00
   1.45000E-05   1.58505E+01   1.10393E-48   1.83000E+19   6.04846E-16   1.00000E+00   1.00000E+00
   1.50000E-05   1.62505E+01   1.05177E-48   1.83000E+19   5.89676E-16   1.00000E+00   1.00000E+00
   1.55000E-05   1.62505E+01   9.99611E-49   1.83000E+19   5.74506E-16   1.00000E+00   1.00000E+00
   1.60000E-05   1.58505E+01   9.47453E-49   1.83000E+19   5.59337E-16   1.00000E+00   1.00000E+00
   1.65000E-05   1.50600E+01   9.49136E-49   1.83000E+19   5.49904E-16   1.00000E+00   1.00000E+00
   1.70000E-05   1.38985E+01   9.93522E-49   1.83000E+19   5.45021E-16   1.00000E+00   1.00000E+00
   1.75000E-05   1.23950E+01   1.03791E-48   1.83000E+19   5.40138E-16   1.00000E+00   1.00000E+00
   1.80000E-05   1.05865E+01   1.08230E-48   1.83000E+19   5.35256E-16   1.00000E+00   1.00000E+00
   1.85000E-05   8.51715E+00   8.13171E-49   1.83000E+19   5.21312E-16   1.00000E+00   1.00000E+00
   1.90000E-05   6.23805E+00   7.78137E-49   1.83000E+19   5.07720E-16   1.00000E+00   1.00000E+00
   1.95000E-05   3.80535E+00   7.78431E-49   1.83000E+19   4.94473E-16   1.00000E+00   1.00000E+00
   2.00000E-05   1.27895E+00   9.50091E-49   1.83000E+19   4.81561E-16   1.00000E+00   1.00000E+00
   2.05000E-05   1.27895E+00   9.14446E-49   1.83000E+19   4.70842E-16   1.00000E+00   1.00000E+00
   2.10000E-05   3.80535E+00   6.72397E-49   1.83000E+19   4.58528E-16   1.00000E+00   1.00000E+00
   2.15000E-05   6.23805E+00   6.02295E-49   1.83000E+19   4.46527E-16   1.00000E+00   1.00000E+00
   2.20000E-05   8.51715E+00   5.63811E-49   1.83000E+19   4.34831E-16   1.00000E+00   1.00000E+00
   2.25000E-05   1.05865E+01   5.30998E-49   1.83000E+19   4.23433E-16   1.00000E+00   1.00000E+00
   2.30000E-05   1.23950E+01   5.11174E-49   1.83000E+19   4.14067E-16   1.00000E+00   1.00000E+00
   2.35000E-05   1.38985E+01   4.91350E-49   1.83000E+19   4.04701E-16   1.00000E+00   1.00000E+00
   2.40000E-05   1.50600E+01   4.71526E-49   1.83000E+19   3.95334E-16   1.00000E+00   1.00000E+00
   2.45000E-05   1.58505E+01   4.51702E-49   1.83000E+19   3.85968E-16   1.00000E+00   1.00000E+00
   2.50000E-05   1.62505E+01   4.31878E-49   1.83000E+19   3.76602E-16   1.00000E+00   1.00000E+00
   2.55000E-05   1.62505E+01   4.12054E-49   1.83000E+19   3.67236E-16   1.00000E+00   1.00000E+00
   2.60000E-05   1.58505E+01   3.92230E-49   1.83000E+19   3.57870E-16   1.00000E+00   1.00000E+00
   2.65000E-05   1.50600E+01   3.72406E-49   1.83000E+19   3.48503E-16   1.00000E+00   1.00000E+00
   2.70000E-05   1.38985E+01   3.61671E-49   1.83000E+19   3.40608E-16   1.00000E+00   1.00000E+00
   2.75000E-05   1.23950E+01   3.82911E-49   1.83000E+19   3.37885E-16   1.00000E+00   1.00000E+00
   2.80000E-05   1.05865E+01   4.04150E-49   1.83000E+19   3.35162E-16   1.00000E+00   1.00000E+00
   2.85000E-05   8.51715E+00   3.18076E-49   1.83000E+19   3.26299E-16   1.00000E+00   1.00000E+00
   2.90000E-05   6.23805E+00   3.04430E-49   1.83000E+19   3.17664E-16   1.00000E+00   1.00000E+00
   2.95000E-05   3.80535E+00   3.04321E-49   1.83000E+19   3.09252E-16   1.00000E+00   1.00000E+00
   3.00000E-05   1.27895E+00   3.71234E-49   1.83000E+19   3.01056E-16   1.00000E+00   1.00000E+00
   3.05000E-05   1.27895E+00   3.57939E-49   1.83000E+19   2.94503E-16   1.00000E+00   1.00000E+00
   3.10000E-05   3.80535E+00   2.62621E-49   1.83000E+19   2.86688E-16   1.00000E+00   1.00000E+00
   3.15000E-05   6.23805E+00   2.35112E-49   1.83000E+19   2.79074E-16   1.00000E+00   1.00000E+00
   3.20000E-05   8.51715E+00   2.19929E-49   1.83000E+19   2.71658E-16   1.00000E+00   1.00000E+00
   3.25000E-05   1.05865E+01   2.06970E-49   1.83000E+19   2.64435E-16   1.00000E+00   1.00000E+00
   3.30000E-05   1.23950E+01   1.99581E-49   1.83000E+19   2.58705E-16   1.00000E+00   1.00000E+00
   3.35000E-05   1.38985E+01   1.92192E-49   1.83000E+19   2.52975E-16   1.00000E+00   1.00000E+00
   3.40000E-05   1.50600E+01   1.84803E-49   1.83000E+19   2.47245E-16   1.00000E+00   1.00000E+00
   3.45000E-05   1.58505E+01   1.77414E-49   1.83000E+19   2.41515E-16   1.00000E+00   1.00000E+00
   3.50000E-05   1.62505E+01   1.70025E-49   1.83000E+19   2.35785E-16   1.00000E+00   1.00000E+00
   3.55000E-05   1.62505E+01   1.62636E-49   1.83000E+19   2.30055E-16   1.00000E+00   1.00000E+00
   3.60000E-05   1.58505E+01   1.55247E-49   1.83000E+19   2.24325E-16   1.00000E+00   1.00000E+00
   3.65000E-05   1.50600E+01   1.47858E-49   1.83000E+19   2.18596E-16   1.00000E+00   1.00000E+00
   3.70000E-05   1.38985E+01   1.40469E-49   1.83000E+19   2.12866E-16   1.00000E+00   1.00000E+00
   3.75000E-05   1.23950E+01   1.37680E-49   1.83000E+19   2.08303E-16   1.00000E+00   1.00000E+00
   3.80000E-05   1.05865E+01   1.46734E-49   1.83000E+19   2.06743E-16   1.00000E+00   1.00000E+00
   3.85000E-05   8.51715E+00   1.21138E-49   1.83000E+19   2.01222E-16   1.00000E+00   1.00000E+00
   3.90000E-05   6.23805E+00   1.15658E-49   1.83000E+19   1.95849E-16   1.00000E+00   1.00000E+00
   3.95000E-05   3.80535E+00   1.15445E-49   1.83000E+19   1.90620E-16   1.00000E+00   1.00000E+00
   4.00000E-05   1.27895E+00   1.40117E-49   1.83000E+19   1.85531E-16   1.00000E+00   1.00000E+00
   4.05000E-05   1.27895E+00   1.36032E-49   1.83000E+19   1.81531E-16   1.00000E+00   1.00000E+00
   4.10000E-05   3.80535E+00   1.00677E-49   1.83000E+19   1.76685E-16   1.00000E+00   1.00000E+00
   4.15000E-05   6.23805E+00   8.94858E-50   1.83000E+19   1.71969E-16   1.00000E+00   1.00000E+00
   4.20000E-05   8.51715E+00   8.35287E-50   1.83000E+19   1.67380E-16   1.00000E+00   1.00000E+00
   4.25000E-05   1.05865E+01   7.85695E-50   1.83000E+19   1.62913E-16   1.00000E+00   1.00000E+00
   4.30000E-05   1.23950E+01   7.57591E-50   1.83000E+19   1.59398E-16   1.00000E+00   1.00000E+00
   4.35000E-05   1.38985E+01   7.30434E-50   1.83000E+19   1.55925E-16   1.00000E+00   1.00000E+00
   4.40000E-05   1.50600E+01   7.03276E-50   1.83000E+19   1.52451E-16   1.00000E+00   1.00000E+00
   4.45000E-05   1.58505E+01   6.76118E-50   1.83000E+19   1.48978E-16   1.00000E+00   1.00000E+00
   4.50000E-05   1.62505E+01   6.48960E-50   1.83000E+19   1.45505E-16   1.00000E+00   1.00000E+00
   4.55000E-05   1.62505E+01   6.21803E-50   1.83000E+19   1.42032E-16   1.00000E+00   1.00000E+00
   4.60000E-05   1.58505E+01   5.94645E-50   1.83000E+19   1.38559E-16   1.00000E+00   1.00000E+00
   4.65000E-05   1.50600E+01   5.67487E-50   1.83000E+19   1.35085E-16   1.00000E+00   1.00000E+00
   4.70000E-05   1.38985E+01   5.40330E-50   1.83000E+19   1.31612E-16   1.00000E+00   1.00000E+00
   4.75000E-05   1.23950E+01   5.13172E-50   1.83000E+19   1.28139E-16   1.00000E+00   1.00000E+00
   4.80000E-05   1.05865E+01   5.20088E-50   1.83000E+19   1.26046E-16   1.00000E+00   1.00000E+00
   4.85000E-05   8.51715E+00   4.52167E-50   1.83000E+19   1.22685E-16   1.00000E+00   1.00000E+00
   4.90000E-05   6.23805E+00   4.29958E-50   1.83000E+19   1.19414E-16   1.00000E+00   1.00000E+00
   4.95000E-05   3.80535E+00   4.27998E-50   1.83000E+19   1.16231E-16   1.00000E+00   1.00000E+00
   5.00000E-05   1.27895E+00   5.14486E-50   1.83000E+19   1.13133E-16   1.00000E+00   1.00000E+00
   5.05000E-05   1.27895E+00   5.05785E-50   1.83000E+19   1.10685E-16   1.00000E+00   1.00000E+00
   5.10000E-05   3.80535E+00   3.80112E-50   1.83000E+19   1.07735E-16   1.00000E+00   1.00000E+00
   5.15000E-05   6.23805E+00   3.34490E-50   1.83000E+19   1.04864E-16   1.00000E+00   1.00000E+00
   5.20000E-05   8.51715E+00   3.11046E-50   1.83000E+19   1.02069E-16   1.00000E+00   1.00000E+00
   5.25000E-05   1.05865E+01   2.92365E-50   1.83000E+19   9.93495E-17   1.00000E+00   1.00000E+00
   5.30000E-05   1.23950E+01   2.81709E-50   1.83000E+19   9.71977E-17   1.00000E+00   1.00000E+00
   5.35000E-05   1.38985E+01   2.71930E-50   1.83000E+19   9.51081E-17   1.00000E+00   1.00000E+00
   5.40000E-05   1.50600E+01   2.62151E-50   1.83000E+19   9.30185E-17   1.00000E+00   1.00000E+00
   5.45000E-05   1.58505E+01   2.52372E-50   1.83000E+19   9.09290E-17   1.00000E+00   1.00000E+00
   5.50000E-05   1.62505E+01   2.42593E-50   1.83000E+19   8.88394E-17   1.00000E+00   1.00000E+00
   5.55000E-05   1.62505E+01   2.32814E-50   1.83000E+19   8.67498E-17   1.00000E+00   1.00000E+00
   5.60000E-05   1.58505E+01   2.23035E-50   1.83000E+19   8.46603E-17   1.00000E+00   1.00000E+00
