       Time_s           01           02           03           04           05
   0.0000E+00   0.0000E+00   4.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   5.0000E-07   0.0000E+00   4.0000E+02   4.0001E+02   0.0000E+00   0.0000E+00
   1.0000E-06   5.3289E+01   4.0000E+02   4.8744E+04   1.0080E-08   9.8549E-05
   1.5000E-06   1.0527E+02   4.0000E+02   5.4050E+04   5.9775E-08   1.1545E-03
   2.0000E-06   1.5465E+02   4.0000E+02   5.7881E+04   1.4464E-07   4.1040E-03
   2.5000E-06   2.0023E+02   4.0000E+02   6.1056E+04   2.5451E-07   9.3497E-03
   3.0000E-06   2.4088E+02   4.0000E+02   6.3774E+04   3.7750E-07   1.6683E-02
   3.5000E-06   2.7559E+02   4.0000E+02   6.6064E+04   5.0157E-07   2.5361E-02
   4.0000E-06   3.0352E+02   4.0000E+02   6.7962E+04   6.1489E-07   3.4242E-02
   4.5000E-06   3.2398E+02   4.0000E+02   6.9324E+04   7.0450E-07   4.1876E-02
   5.0000E-06   3.3645E+02   4.0000E+02   7.0178E+04   7.6291E-07   4.7095E-02
   5.5000E-06   3.4065E+02   4.0000E+02   7.0466E+04   7.8311E-07   4.8945E-02
   6.0000E-06   3.3645E+02   4.0000E+02   7.0178E+04   7.6293E-07   4.7096E-02
   6.5000E-06   3.2398E+02   4.0000E+02   6.9324E+04   7.0453E-07   4.1878E-02
   7.0000E-06   3.0352E+02   4.0000E+02   6.7962E+04   6.1494E-07   3.4245E-02
   7.5000E-06   2.7559E+02   4.0000E+02   6.6064E+04   5.0163E-07   2.5364E-02
   8.0000E-06   2.4088E+02   4.0000E+02   6.3774E+04   3.7759E-07   1.6687E-02
   8.5000E-06   2.0023E+02   4.0000E+02   6.1056E+04   2.5462E-07   9.3538E-03
   9.0000E-06   1.5465E+02   4.0000E+02   5.7881E+04   1.4481E-07   4.1088E-03
   9.5000E-06   1.0527E+02   4.0000E+02   5.4050E+04   6.0101E-08   1.1608E-03
   1.0000E-05   5.3289E+01   4.0000E+02   4.8744E+04   1.1553E-08   1.1295E-04
   1.0500E-05   2.1657E-04   4.0000E+02   4.0361E+02   5.4183E-12   2.1530E-13
   1.1000E-05   5.3289E+01   4.0000E+02   4.8744E+04   1.1424E-08   1.1169E-04
   1.1500E-05   1.0527E+02   4.0000E+02   5.4050E+04   6.0041E-08   1.1596E-03
   1.2000E-05   1.5465E+02   4.0000E+02   5.7881E+04   1.4477E-07   4.1077E-03
   1.2500E-05   2.0023E+02   4.0000E+02   6.1056E+04   2.5459E-07   9.3529E-03
   1.3000E-05   2.4088E+02   4.0000E+02   6.3774E+04   3.7757E-07   1.6687E-02
   1.3500E-05   2.7559E+02   4.0000E+02   6.6064E+04   5.0163E-07   2.5364E-02
   1.4000E-05   3.0352E+02   4.0000E+02   6.7962E+04   6.1496E-07   3.4246E-02
