         Time_s                                                                                                                         1                                                                                                                         2                                                                                                                         3                                                                                                                         4                                                                                                                         5                                                                                                                         6                                                                                                                         7
   0.000000E+00   1.0000E+00   1.8347E+19   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-08   9.9999E-01   1.8347E+19   0.0000E+00   9.9999E-01   7.4728E-06   0.0000E+00   7.4728E-06
   3.000000E-08   9.9948E-01   1.8347E+19   1.2106E-06   9.9948E-01   8.9519E-04   0.0000E+00   8.9519E-04
   5.000000E-08   9.9930E-01   1.8347E+19   4.7410E-02   9.9930E-01   2.2195E-03   0.0000E+00   2.2195E-03
   6.000000E-08   9.9927E-01   1.8347E+19   2.1443E-01   9.9927E-01   2.9524E-03   0.0000E+00   2.9524E-03
   7.000000E-08   9.9925E-01   1.8347E+19   5.7303E-01   9.9925E-01   3.7024E-03   0.0000E+00   3.7024E-03
   8.000000E-08   9.9924E-01   1.8347E+19   1.1755E+00   9.9924E-01   4.4621E-03   0.0000E+00   4.4621E-03
   9.000000E-08   9.9923E-01   1.8347E+19   2.0645E+00   9.9923E-01   5.2288E-03   0.0000E+00   5.2288E-03
   1.000000E-07   9.9923E-01   1.8347E+19   3.2782E+00   9.9923E-01   6.0011E-03   0.0000E+00   6.0011E-03
   1.100000E-07   9.9924E-01   1.8347E+19   4.8521E+00   9.9924E-01   6.7784E-03   0.0000E+00   6.7784E-03
   1.200000E-07   9.9926E-01   1.8347E+19   6.8196E+00   9.9926E-01   7.5604E-03   0.0000E+00   7.5604E-03
   1.300000E-07   9.9934E-01   1.8347E+19   9.2137E+00   9.9934E-01   8.3469E-03   0.0000E+00   8.3469E-03
   1.400000E-07   9.9949E-01   1.8347E+19   1.2066E+01   9.9949E-01   9.1377E-03   0.0000E+00   9.1377E-03
   1.500000E-07   9.9980E-01   1.8347E+19   1.5407E+01   9.9980E-01   9.9329E-03   0.0000E+00   9.9329E-03
   1.600000E-07   1.0003E+00   1.8347E+19   1.9268E+01   1.0003E+00   1.0733E-02   0.0000E+00   1.0733E-02
   1.700000E-07   1.0010E+00   1.8347E+19   2.3352E+01   1.0010E+00   1.1534E-02   0.0000E+00   1.1534E-02
   1.800000E-07   1.0035E+00   1.8347E+19   2.8307E+01   1.0035E+00   1.2343E-02   0.0000E+00   1.2343E-02
   1.900000E-07   1.0074E+00   1.8347E+19   3.3694E+01   1.0074E+00   1.3157E-02   0.0000E+00   1.3157E-02
   2.000000E-07   1.0139E+00   1.8347E+19   3.9754E+01   1.0139E+00   1.3980E-02   0.0000E+00   1.3980E-02
   2.100000E-07   1.0241E+00   1.8347E+19   4.6551E+01   1.0241E+00   1.4813E-02   0.0000E+00   1.4813E-02
   2.200000E-07   1.0403E+00   1.8347E+19   5.4255E+01   1.0403E+00   1.5661E-02   0.0000E+00   1.5661E-02
   2.300000E-07   1.0625E+00   1.8347E+19   6.2745E+01   1.0625E+00   1.6529E-02   0.0000E+00   1.6529E-02
   2.400000E-07   1.0932E+00   1.8347E+19   7.2172E+01   1.0932E+00   1.7421E-02   0.0000E+00   1.7421E-02
   2.500000E-07   1.1364E+00   1.8347E+19   8.2814E+01   1.1364E+00   1.8349E-02   0.0000E+00   1.8349E-02
   2.600000E-07   1.1985E+00   1.8347E+19   9.5043E+01   1.1985E+00   1.9326E-02   0.0000E+00   1.9326E-02
   2.700000E-07   1.2838E+00   1.8347E+19   1.0909E+02   1.2838E+00   2.0368E-02   0.0000E+00   2.0368E-02
   2.800000E-07   1.3981E+00   1.8347E+19   1.2527E+02   1.3981E+00   2.1499E-02   0.0000E+00   2.1499E-02
   2.900000E-07   1.5457E+00   1.8347E+19   1.4392E+02   1.5457E+00   2.2741E-02   0.0000E+00   2.2741E-02
   3.000000E-07   1.7587E+00   1.8347E+19   1.6662E+02   1.7587E+00   2.4142E-02   0.0000E+00   2.4142E-02
   3.100000E-07   2.0600E+00   1.8347E+19   1.9462E+02   2.0600E+00   2.5769E-02   0.0000E+00   2.5769E-02
   3.200000E-07   2.4830E+00   1.8347E+19   2.2976E+02   2.4830E+00   2.7706E-02   0.0000E+00   2.7706E-02
   3.300000E-07   3.0924E+00   1.8347E+19   2.7519E+02   3.0924E+00   3.0088E-02   0.0000E+00   3.0088E-02
   3.400000E-07   4.0015E+00   1.8347E+19   3.3613E+02   4.0015E+00   3.3122E-02   0.0000E+00   3.3122E-02
   3.500000E-07   5.4268E+00   1.8347E+19   4.2180E+02   5.4268E+00   3.7164E-02   0.0000E+00   3.7164E-02
   3.600000E-07   7.7165E+00   1.8347E+19   5.4704E+02   7.7165E+00   4.2800E-02   0.0000E+00   4.2800E-02
   3.700000E-07   1.1631E+01   1.8347E+19   7.4122E+02   1.1631E+01   5.1109E-02   0.0000E+00   5.1109E-02
   3.800000E-07   1.8636E+01   1.8347E+19   1.0593E+03   1.8636E+01   6.4106E-02   0.0000E+00   6.4106E-02
   3.900000E-07   3.1609E+01   1.8347E+19   1.6058E+03   3.1609E+01   8.5579E-02   0.0000E+00   8.5579E-02
   4.000000E-07   5.7932E+01   1.8347E+19   2.6247E+03   5.7932E+01   1.2381E-01   0.0000E+00   1.2381E-01
   4.100000E-07   1.1442E+02   1.8347E+19   4.6558E+03   1.1442E+02   1.9703E-01   0.0000E+00   1.9703E-01
   4.200000E-07   2.4458E+02   1.8347E+19   9.0215E+03   2.4458E+02   3.4846E-01   0.0000E+00   3.4846E-01
   4.300000E-07   5.7201E+02   1.8347E+19   1.9270E+04   5.7201E+02   6.9034E-01   0.0000E+00   6.9034E-01
   4.400000E-07   1.4705E+03   1.8347E+19   4.5617E+04   1.4705E+03   1.5370E+00   0.0000E+00   1.5370E+00
   4.500000E-07   4.1934E+03   1.8347E+19   1.2056E+05   4.1934E+03   3.8584E+00   0.0000E+00   3.8584E+00
   4.600000E-07   1.3303E+04   1.8347E+19   3.5678E+05   1.3303E+04   1.0925E+01   0.0000E+00   1.0925E+01
   4.700000E-07   4.7147E+04   1.8347E+19   1.1862E+06   4.7147E+04   3.4918E+01   0.0000E+00   3.4918E+01
   4.800000E-07   1.8891E+05   1.8347E+19   4.4725E+06   1.8891E+05   1.2685E+02   0.0000E+00   1.2685E+02
