,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,15.0,0.0
1,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,15.2,6.1207e-23
2,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,15.3,8.93678e-23
3,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,15.4,1.16266e-22
4,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,15.8,2.15755e-22
5,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,16.0,2.63245e-22
6,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,17.0,5.17248e-22
7,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,18.0,8.41902e-22
8,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,19.0,1.25305e-21
9,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,20.0,1.7412499999999998e-21
10,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,30.0,7.62027e-21
11,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,40.0,1.1577399999999999e-20
12,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,50.0,1.3589000000000002e-20
13,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,60.0,1.4483e-20
14,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,70.0,1.47699e-20
15,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,80.0,1.47272e-20
16,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,90.0,1.45058e-20
17,81,IONIZATION,C2H6 -> H2 H C2H3+,15.0,e / C2H6,E + C2H6 -> E + E + H2 + H + C2H3+,100.0,1.4189599999999998e-20
