,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,0,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,21.1,0.0
1,1,1,1,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,21.5,1.0622300000000001e-24
2,2,2,2,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,22.0,1.76342e-23
3,3,3,3,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,23.0,1.00445e-22
4,4,4,4,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,24.0,2.45827e-22
5,5,5,5,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,25.0,4.47445e-22
6,6,6,6,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,26.0,6.97547e-22
7,7,7,7,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,27.0,9.87831e-22
8,8,8,8,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,28.0,1.3100899999999999e-21
9,9,9,9,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,29.0,1.65662e-21
10,10,10,10,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,29.5,1.8367799999999998e-21
11,11,11,11,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,30.0,2.02047e-21
12,12,12,12,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,40.0,5.65043e-21
13,13,13,13,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,50.0,8.16933e-21
14,14,14,14,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,60.0,9.578e-21
15,15,15,15,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,70.0,1.0261499999999995e-20
16,16,16,16,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,80.0,1.05101e-20
17,17,17,17,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,90.0,1.0504299999999999e-20
18,18,18,18,101,IONIZATION,C2H3 -> C2H2 H^+,21.1,e / C2H3,E + C2H3 -> E + E + C2H2 + H^+,100.0,1.0352e-20
