,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,8.13,0.0
1,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,9.0,1.43133e-22
2,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,10.0,9.5119e-22
3,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,11.0,2.39352e-21
4,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,12.0,4.21934e-21
5,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,13.0,6.21162e-21
6,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,14.0,8.223379999999999e-21
7,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,15.0,1.01656e-20
8,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,16.0,1.1989199999999999e-20
9,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,17.0,1.3671e-20
10,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,18.0,1.52032e-20
11,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,19.0,1.6587599999999998e-20
12,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,20.0,1.78309e-20
13,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,25.0,2.22864e-20
14,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,30.0,2.4682699999999998e-20
15,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,40.0,2.63657e-20
16,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,50.0,2.62575e-20
17,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,60.0,2.55063e-20
18,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,70.0,2.45372e-20
19,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,80.0,2.3520699999999998e-20
20,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,90.0,2.25273e-20
21,135,IONIZATION,C3H5 -> C3H5+,8.13,e / C3H5,E + C3H5 -> E + E + C3H5+,100.0,2.1585399999999998e-20
