,Unnamed: 0.1,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,0,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,11,0.0
1,1,1,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,12,2.75858e-22
2,2,2,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,13,1.13352e-21
3,3,3,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,14,2.44137e-21
4,4,4,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,15,3.88427e-21
5,5,5,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,16,5.27102e-21
6,6,6,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,17,6.52397e-21
7,7,7,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,18,7.62988e-21
8,8,8,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,19,8.604339999999999e-21
9,9,9,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,20,9.47204e-21
10,10,10,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,30,1.5737899999999994e-20
11,11,11,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,40,2.0203e-20
12,12,12,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,50,2.30942e-20
13,13,13,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,60,2.47425e-20
14,14,14,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,70,2.5552499999999998e-20
15,15,15,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,80,2.58261e-20
16,16,16,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,90,2.57632e-20
17,17,17,92,IONIZATION,C2H4(v2) -> C2H4^+,11.0,e / C2H4(v2),E + C2H4(v2) -> E + E + C2H4^+,100,2.5491799999999998e-20
