         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48                                                                                                               49                                                                                                               50                                                                                                               51                                                                                                               52
   0.000000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4600E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   7.4805E+07   2.8372E+04   2.8798E+02   5.8898E-10   1.3713E+11   1.8901E+11   9.9318E-09   0.0000E+00   3.6262E-08   1.4891E-02   2.1384E-08   9.4424E-08   5.0224E+13   2.4595E+19   8.0823E+07   5.6158E-03   6.1114E+14   1.0087E+15   1.5536E+09   2.6483E+05   1.3562E+15   8.0732E-01   3.7174E+10   7.3768E+04   1.4783E+15   7.6693E+02   3.7781E+06   9.8850E+02   1.1397E-02   1.0373E-02   2.8597E+09   1.0112E-08   5.9086E+08   9.2744E+14   3.1979E+05   6.5107E+14   4.2739E+02   3.0608E-09   7.7846E+10   1.5860E+08   1.4859E+06   1.2510E-02   6.7485E-07   3.9904E+10   4.4838E+08   5.1457E+05   7.4803E+07   4.3688E+00   2.8268E+04   9.5497E+04   7.3733E+03   3.9906E-02
   2.000000E-04   5.8180E+07   2.6216E+05   2.3954E+03   7.5331E-10   1.0562E+11   3.7839E+11   4.9191E-08   0.0000E+00   3.2322E-07   3.0975E-02   1.8892E-07   4.4164E-07   9.6957E+13   2.4591E+19   6.6047E+07   1.1543E-02   9.7159E+14   1.6305E+15   4.6983E+09   2.5042E+06   2.1606E+15   1.3254E+01   9.2490E+10   8.7401E+05   2.3551E+15   9.8603E+02   1.1436E+07   1.2709E+03   2.3687E-02   2.1467E-02   1.9824E+10   7.7144E-08   5.8504E+08   1.4587E+15   1.4807E+06   1.0190E+15   5.4951E+02   1.6508E-08   2.2891E+11   4.0243E+08   6.8802E+06   2.5300E-02   2.2393E-06   9.9283E+10   1.3560E+09   2.3826E+06   5.8178E+07   5.6174E+00   2.1726E+05   1.1314E+06   2.9901E+04   8.2161E-02
   3.000000E-04   5.0482E+07   9.6311E+05   7.7750E+03   1.0047E-09   9.0965E+10   5.4670E+11   1.3376E-07   0.0000E+00   1.0884E-06   4.7073E-02   6.3437E-07   1.0714E-06   1.3901E+14   2.4589E+19   5.9395E+07   1.7429E-02   1.2633E+15   2.1587E+15   8.9088E+09   8.5791E+06   2.8269E+15   6.0910E+01   1.5604E+11   3.4260E+06   3.0813E+15   1.1363E+03   1.9647E+07   1.4646E+03   3.6141E-02   3.2565E-02   5.7924E+10   2.4914E-07   6.7319E+08   1.8971E+15   3.6083E+06   1.3016E+15   6.3328E+02   4.6876E-08   4.2698E+11   6.8690E+08   1.6766E+07   3.7922E-02   4.4629E-06   1.6750E+11   2.5711E+09   5.8060E+06   5.0479E+07   6.4741E+00   7.0925E+05   4.4352E+06   6.6923E+04   1.2429E-01
   4.000000E-04   4.5815E+07   2.4105E+06   1.7309E+04   1.3271E-09   8.2066E+10   6.9082E+11   2.7668E-07   0.0000E+00   2.5020E-06   6.2982E-02   1.4564E-06   1.9828E-06   1.7515E+14   2.4586E+19   5.5405E+07   2.3250E-02   1.5139E+15   2.6384E+15   1.3899E+10   1.9876E+07   3.4192E+15   1.7401E+02   2.2577E+11   8.8198E+06   3.7270E+15   1.2520E+03   2.8354E+07   1.6138E+03   4.8675E-02   4.3569E-02   1.2082E+11   5.6242E-07   8.0260E+08   2.2916E+15   6.7714E+06   1.5286E+15   6.9780E+02   9.9358E-08   6.5931E+11   1.0045E+09   3.1463E+07   5.0479E-02   7.2392E-06   2.4235E+11   4.0113E+09   1.0896E+07   4.5811E+07   7.1340E+00   1.6326E+06   1.1418E+07   1.1831E+05   1.6608E-01
   5.000000E-04   4.2619E+07   4.8771E+06   3.1310E+04   1.7079E-09   7.5977E+10   8.1058E+11   4.8626E-07   0.0000E+00   4.6694E-06   7.8597E-02   2.7162E-06   3.1575E-06   2.0522E+14   2.4584E+19   5.2663E+07   2.8996E-02   1.7341E+15   3.0881E+15   1.9453E+10   3.7262E+07   3.9639E+15   3.8563E+02   3.0084E+11   1.8116E+07   4.3207E+15   1.3458E+03   3.7570E+07   1.7347E+03   6.1239E-02   5.4430E-02   2.0977E+11   1.0396E-06   9.5649E+08   2.6618E+15   1.1007E+07   1.7129E+15   7.5009E+02   1.7726E-07   9.1647E+11   1.3547E+09   5.1143E+07   6.3030E-02   1.0494E-05   3.2294E+11   5.6141E+09   1.7711E+07   4.2616E+07   7.6689E+00   3.1043E+06   2.3453E+07   1.8437E+05   2.0742E-01
   6.000000E-04   4.0267E+07   8.6150E+06   4.9682E+04   2.1362E-09   7.1502E+10   9.0832E+11   7.6680E-07   0.0000E+00   7.6433E-06   9.3912E-02   4.4443E-06   4.5675E-06   2.2979E+14   2.4582E+19   5.0609E+07   3.4676E-02   1.9295E+15   3.5173E+15   2.5405E+10   6.1194E+07   4.4747E+15   7.2919E+02   3.8083E+11   3.2293E+07   4.8775E+15   1.4244E+03   4.7337E+07   1.8360E+03   7.3826E-02   6.5153E-02   3.2440E+11   1.6920E-06   1.1259E+09   3.0177E+15   1.6330E+07   1.8626E+15   7.9391E+02   2.8230E-07   1.1914E+12   1.7385E+09   7.5878E+07   7.5634E-02   1.4178E-05   4.0880E+11   7.3320E+09   2.6277E+07   4.0262E+07   8.1172E+00   5.2325E+06   4.1805E+07   2.6570E+05   2.4837E-01
   7.000000E-04   3.8441E+07   1.3849E+07   7.2108E+04   2.6025E-09   6.8045E+10   9.8767E+11   1.1194E-06   0.0000E+00   1.1437E-05   1.0897E-01   6.6485E-06   6.1803E-06   2.4976E+14   2.4580E+19   4.8969E+07   4.0307E-02   2.1033E+15   3.9318E+15   3.1633E+10   9.1871E+07   4.9599E+15   1.2372E+03   4.6550E+11   5.2219E+07   5.4064E+15   1.4920E+03   5.7692E+07   1.9231E+03   8.6446E-02   7.5770E-02   4.6339E+11   2.5226E-06   1.3053E+09   3.3645E+15   2.2742E+07   1.9837E+15   8.3160E+02   4.1493E-07   1.4787E+12   2.1569E+09   1.0567E+08   8.8334E-02   1.8257E-05   4.9970E+11   9.1294E+09   3.6595E+07   3.8437E+07   8.5028E+00   8.1166E+06   6.7600E+07   3.6306E+05   2.8905E-01
   8.000000E-04   3.6966E+07   2.0773E+07   9.8201E+04   3.0998E-09   6.5268E+10   1.0525E+12   1.5433E-06   0.0000E+00   1.6041E-05   1.2385E-01   9.3232E-06   7.9627E-06   2.6610E+14   2.4578E+19   4.7593E+07   4.5914E-02   2.2578E+15   4.3354E+15   3.8046E+10   1.2936E+08   5.4249E+15   1.9408E+03   5.5468E+11   7.8644E+07   5.9132E+15   1.5515E+03   6.8657E+07   1.9997E+03   9.9122E-02   8.6328E-02   6.2497E+11   3.5293E-06   1.4911E+09   3.7053E+15   3.0233E+07   2.0810E+15   8.6476E+02   5.7491E-07   1.7747E+12   2.6096E+09   1.4048E+08   1.0117E-01   2.2709E-05   5.9542E+11   1.0980E+10   4.8648E+07   3.6962E+07   8.8420E+00   1.1847E+07   1.0181E+08   4.7729E+05   3.2963E-01
   9.000000E-04   3.5735E+07   2.9554E+07   1.2760E+05   3.6229E-09   6.2966E+10   1.1066E+12   2.0368E-06   0.0000E+00   2.1434E-05   1.3863E-01   1.2456E-05   9.8832E-06   2.7973E+14   2.4577E+19   4.6392E+07   5.1517E-02   2.3947E+15   4.7306E+15   4.4584E+10   1.7368E+08   5.8732E+15   2.8696E+03   6.4821E+11   1.1221E+08   6.4018E+15   1.6049E+03   8.0232E+07   2.0686E+03   1.1188E-01   9.6873E-02   8.0726E+11   4.7076E-06   1.6808E+09   4.0418E+15   3.8786E+07   2.1582E+15   8.9453E+02   7.6160E-07   2.0766E+12   3.0956E+09   1.8022E+08   1.1416E-01   2.7523E-05   6.9582E+11   1.2867E+10   6.2411E+07   3.5731E+07   9.1466E+00   1.6505E+07   1.4526E+08   6.0917E+05   3.7027E-01
