       Time_s           01           02           03           04           05
   0.0000E+00   4.1109E+02   4.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   1.0035E-04   7.5746E+00
   2.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   7.5889E-05   5.7286E+00
   3.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   6.5275E-05   4.9276E+00
   4.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   5.8889E-05   4.4458E+00
   5.0000E-04   4.1109E+02   4.0000E+02   5.9494E+04   5.4467E-05   4.1121E+00
   6.0000E-04   4.1109E+02   4.0000E+02   5.9494E+04   5.1110E-05   3.8588E+00
   7.0000E-04   4.1109E+02   4.0000E+02   5.9494E+04   4.8444E-05   3.6576E+00
   8.0000E-04   4.1109E+02   4.0000E+02   5.9494E+04   4.6249E-05   3.4919E+00
   9.0000E-04   4.1109E+02   4.0000E+02   5.9494E+04   4.4396E-05   3.3521E+00
   1.0000E-03   4.1109E+02   4.0000E+02   5.9494E+04   4.2800E-05   3.2316E+00
   1.1000E-03   4.1109E+02   4.0000E+02   5.9496E+04   4.1416E-05   3.1272E+00
   1.2000E-03   4.1109E+02   4.0000E+02   5.9496E+04   4.0176E-05   3.0336E+00
   1.3000E-03   4.1109E+02   4.0000E+02   5.9496E+04   3.9065E-05   2.9497E+00
   1.4000E-03   4.1109E+02   4.0000E+02   5.9496E+04   3.8061E-05   2.8739E+00
   1.5000E-03   4.1109E+02   4.0000E+02   5.9496E+04   3.7146E-05   2.8049E+00
   1.6000E-03   4.1109E+02   4.0000E+02   5.9496E+04   3.6307E-05   2.7415E+00
   1.7000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.5547E-05   2.6841E+00
   1.8000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.4829E-05   2.6299E+00
   1.9000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.4161E-05   2.5795E+00
   2.0000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.3536E-05   2.5323E+00
   2.1000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.2950E-05   2.4881E+00
   2.2000E-03   4.1109E+02   4.0000E+02   5.9499E+04   3.2399E-05   2.4465E+00
   2.3000E-03   4.1109E+02   4.0000E+02   5.9502E+04   3.1891E-05   2.4081E+00
   2.4000E-03   4.1109E+02   4.0000E+02   5.9502E+04   3.1398E-05   2.3709E+00
   2.5000E-03   4.1109E+02   4.0000E+02   5.9502E+04   3.0931E-05   2.3356E+00
   2.6000E-03   4.1109E+02   4.0000E+02   5.9502E+04   3.0487E-05   2.3021E+00
   2.7000E-03   4.1109E+02   4.0000E+02   5.9502E+04   3.0063E-05   2.2701E+00
   2.8000E-03   4.1109E+02   4.0000E+02   5.9502E+04   2.9660E-05   2.2396E+00
   2.9000E-03   4.1109E+02   4.0000E+02   5.9502E+04   2.9274E-05   2.2105E+00
   3.0000E-03   4.1109E+02   4.0000E+02   5.9505E+04   2.8917E-05   2.1835E+00
