         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48                                                                                                               49                                                                                                               50                                                                                                               51                                                                                                               52
   0.000000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.8356E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   2.3042E+07   9.4980E+03   3.4298E+02   1.3091E-10   2.0046E+10   4.1718E+10   5.3545E-08   0.0000E+00   4.0248E-08   8.0713E-02   2.2739E-08   3.6358E-04   1.1629E+13   1.8348E+19   1.8155E+07   2.8483E-02   3.9213E+15   4.1745E+14   9.2171E+07   3.8130E+04   3.3912E+14   1.4325E-02   1.2029E+10   6.4446E+02   3.6034E+14   1.1043E+03   6.0637E+06   1.3013E+03   8.2657E-03   3.4482E-02   7.7916E+07   2.1680E-08   7.1934E+07   1.5921E+15   3.2640E+04   6.3175E+15   5.8924E+02   1.3110E-08   2.5576E+10   2.7527E+07   1.4909E+05   4.5805E-02   2.6548E-06   1.2799E+10   2.6695E+07   5.2914E+04   2.3039E+07   2.9891E+00   2.2228E+05   8.3971E+02   3.1319E+02   1.4509E-01
   2.000000E-04   1.7425E+07   6.5399E+04   5.7786E+03   8.6338E-10   1.4068E+10   1.0205E+11   1.8839E-07   0.0000E+00   3.7905E-07   2.2125E-01   2.0577E-07   1.4107E-03   3.6445E+13   1.8344E+19   1.5551E+07   7.4822E-02   3.7222E+15   1.0811E+15   3.9457E+08   5.7185E+05   5.2291E+14   3.6434E-01   5.0395E+10   7.3102E+03   5.5563E+14   1.4598E+03   1.3363E+07   1.7202E+03   2.8303E-02   1.0037E-01   5.5492E+08   1.1440E-07   2.4680E+08   3.8031E+15   1.8661E+05   9.3133E+15   7.7894E+02   4.8619E-08   1.0448E+11   6.7333E+07   8.5234E+05   1.4468E-01   1.4035E-05   5.3621E+10   1.1428E+08   3.0251E+05   1.7421E+07   3.9510E+00   1.8483E+06   9.5249E+03   1.5682E+03   4.2741E-01
   3.000000E-04   1.4988E+07   1.9204E+05   2.7527E+04   2.7142E-09   1.1509E+10   1.5462E+11   3.2614E-07   0.0000E+00   1.2675E-06   3.7260E-01   6.8194E-07   3.1102E-03   7.0646E+13   1.8339E+19   1.4365E+07   1.2372E-01   3.5392E+15   1.9249E+15   9.6818E+08   2.1824E+06   6.7262E+14   1.8760E+00   1.0602E+11   2.8260E+04   7.1470E+14   1.6969E+03   1.9645E+07   1.9995E+03   5.8585E-02   1.7245E-01   1.5960E+09   2.9637E-07   5.5365E+08   5.7412E+15   5.4523E+05   1.1457E+16   9.0539E+02   9.0545E-08   2.4219E+11   8.7069E+07   2.4904E+06   2.5394E-01   3.7412E-05   1.1281E+11   2.8041E+08   8.8389E+05   1.4983E+07   4.5919E+00   4.6849E+06   3.6822E+04   3.2121E+03   7.3647E-01
   4.000000E-04   1.3522E+07   4.1830E+05   8.0658E+04   6.0855E-09   1.0004E+10   2.0271E+11   4.9475E-07   0.0000E+00   2.8846E-06   5.2966E-01   1.5467E-06   5.4424E-03   1.1186E+14   1.8336E+19   1.3591E+07   1.7373E-01   3.4430E+15   2.9082E+15   1.8402E+09   5.2620E+06   8.0479E+14   5.5265E+00   1.7412E+11   7.1482E+04   8.5514E+14   1.8805E+03   2.5806E+07   2.2158E+03   9.8104E-02   2.4790E-01   3.2769E+09   6.0371E-07   9.8661E+08   7.5182E+15   1.1772E+06   1.3114E+16   1.0033E+03   1.4735E-07   4.3552E+11   1.0045E+08   5.3770E+06   3.6860E-01   7.5034E-05   1.8527E+11   5.3297E+08   1.9084E+06   1.3516E+07   5.0884E+00   7.9995E+06   9.3138E+04   4.9599E+03   1.0599E+00
   5.000000E-04   1.2503E+07   7.7806E+05   1.8328E+05   1.1293E-08   8.9911E+09   2.4833E+11   7.1683E-07   0.0000E+00   5.4038E-06   6.9219E-01   2.8927E-06   8.3508E-03   1.5896E+14   1.8332E+19   1.3005E+07   2.2489E-01   3.3891E+15   4.0041E+15   3.0272E+09   1.0143E+07   9.2557E+14   1.2346E+01   2.5246E+11   1.4491E+05   9.8348E+14   2.0338E+03   3.2193E+07   2.3967E+03   1.4612E-01   3.2658E-01   5.6747E+09   1.0704E-06   1.5331E+09   9.2056E+15   2.1348E+06   1.4434E+16   1.0852E+03   2.2620E-07   6.7874E+11   1.1252E+08   9.7510E+06   4.8821E-01   1.2864E-04   2.6862E+11   8.7674E+08   3.4608E+06   1.2497E+07   5.5072E+00   1.1459E+07   1.8881E+05   6.7720E+03   1.3969E+00
   6.000000E-04   1.1732E+07   1.3070E+06   3.5630E+05   1.8572E-08   8.2487E+09   2.9239E+11   1.0059E-06   0.0000E+00   8.9954E-06   8.6008E-01   4.8105E-06   1.1766E-02   2.1132E+14   1.8328E+19   1.2515E+07   2.7714E-01   3.3554E+15   5.1923E+15   4.5416E+09   1.7139E+07   1.0381E+15   2.3426E+01   3.3977E+11   2.5668E+05   1.1030E+15   2.1670E+03   3.8908E+07   2.5536E+03   2.0192E-01   4.0823E-01   8.8641E+09   1.7272E-06   2.1790E+09   1.0836E+16   3.4570E+06   1.5497E+16   1.1563E+03   3.3203E-07   9.6568E+11   1.2437E+08   1.5790E+07   6.1245E-01   1.9952E-04   3.6152E+11   1.3153E+09   5.6042E+06   1.1726E+07   5.8676E+00   1.4949E+07   3.3444E+05   8.6503E+03   1.7465E+00
   7.000000E-04   1.1120E+07   2.0417E+06   6.2315E+05   2.8088E-08   7.6799E+09   3.3535E+11   1.3735E-06   0.0000E+00   1.3826E-05   1.0331E+00   7.3891E-06   1.5615E-02   2.6849E+14   1.8325E+19   1.2090E+07   3.3047E-01   3.3319E+15   6.4569E+15   6.3937E+09   2.6548E+07   1.1442E+15   3.9914E+01   4.3518E+11   4.1509E+05   1.2158E+15   2.2858E+03   4.5994E+07   2.6935E+03   2.6490E-01   4.9274E-01   1.2913E+10   2.6039E-06   2.9110E+09   1.2426E+16   5.1717E+06   1.6355E+16   1.2197E+03   4.6932E-07   1.2904E+12   1.3632E+08   2.3622E+07   7.4097E-01   2.8869E-04   4.6304E+11   1.8518E+09   8.3839E+06   1.1114E+07   6.1892E+00   1.8442E+07   5.4085E+05   1.0600E+04   2.1081E+00
   8.000000E-04   1.0616E+07   3.0194E+06   1.0096E+06   3.9946E-08   7.2289E+09   3.7743E+11   1.8303E-06   0.0000E+00   2.0058E-05   1.2109E+00   1.0715E-05   1.9833E-02   3.3014E+14   1.8321E+19   1.1711E+07   3.8480E-01   3.3138E+15   7.7850E+15   8.5925E+09   3.8657E+07   1.2451E+15   6.3032E+01   5.3804E+11   6.2865E+05   1.3230E+15   2.3938E+03   5.3485E+07   2.8208E+03   3.3452E-01   5.7992E-01   1.7885E+10   3.7292E-06   3.7170E+09   1.3984E+16   7.2988E+06   1.7046E+16   1.2773E+03   6.4227E-07   1.6476E+12   1.4855E+08   3.3338E+07   8.7342E-01   3.9692E-04   5.7248E+11   2.4886E+09   1.1832E+07   1.0610E+07   6.4815E+00   2.1952E+07   8.1910E+05   1.2627E+04   2.4809E+00
   9.000000E-04   1.0191E+07   4.2781E+06   1.5433E+06   5.4204E-08   6.8622E+09   4.1876E+11   2.3866E-06   0.0000E+00   2.7849E-05   1.3932E+00   1.4872E-05   2.4365E-02   3.9600E+14   1.8318E+19   1.1368E+07   4.4008E-01   3.2986E+15   9.1656E+15   1.1146E+10   5.3744E+07   1.3417E+15   9.4069E+01   6.4783E+11   9.0596E+05   1.4257E+15   2.4933E+03   6.1405E+07   2.9379E+03   4.1026E-01   6.6959E-01   2.3837E+10   5.1316E-06   4.5871E+09   1.5514E+16   9.8520E+06   1.7596E+16   1.3304E+03   8.5499E-07   2.0330E+12   1.6116E+08   4.5001E+07   1.0094E+00   5.2476E-04   6.8930E+11   3.2281E+09   1.5971E+07   1.0184E+07   6.7507E+00   2.5505E+07   1.1804E+06   1.4737E+04   2.8641E+00
