       Time_s           01           02           03           04           05
   0.0000E+00   4.1109E+02   4.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   1.5062E-04   1.1368E+01
   2.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   1.1534E-04   8.7056E+00
   3.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   9.7727E-05   7.3768E+00
   4.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   8.6742E-05   6.5479E+00
   5.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   7.9158E-05   5.9754E+00
   6.0000E-04   4.1109E+02   4.0000E+02   5.9492E+04   7.3558E-05   5.5529E+00
   7.0000E-04   4.1109E+02   4.0000E+02   5.9497E+04   6.9268E-05   5.2291E+00
   8.0000E-04   4.1109E+02   4.0000E+02   5.9497E+04   6.5765E-05   4.9647E+00
   9.0000E-04   4.1109E+02   4.0000E+02   5.9497E+04   6.2859E-05   4.7453E+00
   1.0000E-03   4.1109E+02   4.0000E+02   5.9497E+04   6.0391E-05   4.5590E+00
   1.1000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.8255E-05   4.3978E+00
   1.2000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.6383E-05   4.2565E+00
   1.3000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.4715E-05   4.1306E+00
   1.4000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.3218E-05   4.0176E+00
   1.5000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.1862E-05   3.9153E+00
   1.6000E-03   4.1109E+02   4.0000E+02   5.9497E+04   5.0624E-05   3.8218E+00
   1.7000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.9507E-05   3.7375E+00
   1.8000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.8456E-05   3.6582E+00
   1.9000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.7481E-05   3.5845E+00
   2.0000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.6571E-05   3.5159E+00
   2.1000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.5720E-05   3.4516E+00
   2.2000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.4921E-05   3.3913E+00
   2.3000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.4169E-05   3.3345E+00
   2.4000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.3459E-05   3.2809E+00
   2.5000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.2786E-05   3.2301E+00
   2.6000E-03   4.1109E+02   4.0000E+02   5.9500E+04   4.2148E-05   3.1819E+00
   2.7000E-03   4.1109E+02   4.0000E+02   5.9503E+04   4.1560E-05   3.1375E+00
   2.8000E-03   4.1109E+02   4.0000E+02   5.9503E+04   4.0981E-05   3.0938E+00
   2.9000E-03   4.1109E+02   4.0000E+02   5.9503E+04   4.0428E-05   3.0521E+00
   3.0000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.9900E-05   3.0122E+00
   3.1000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.9395E-05   2.9741E+00
   3.2000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.8910E-05   2.9375E+00
   3.3000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.8445E-05   2.9023E+00
   3.4000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.7997E-05   2.8685E+00
   3.5000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.7567E-05   2.8360E+00
   3.6000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.7152E-05   2.8047E+00
   3.7000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.6752E-05   2.7745E+00
   3.8000E-03   4.1109E+02   4.0000E+02   5.9503E+04   3.6366E-05   2.7454E+00
   3.9000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.6010E-05   2.7185E+00
   4.0000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.5648E-05   2.6912E+00
   4.1000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.5299E-05   2.6648E+00
   4.2000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.4961E-05   2.6393E+00
   4.3000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.4632E-05   2.6145E+00
   4.4000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.4315E-05   2.5905E+00
   4.5000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.4006E-05   2.5672E+00
   4.6000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.3706E-05   2.5446E+00
   4.7000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.3415E-05   2.5226E+00
   4.8000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.3131E-05   2.5012E+00
   4.9000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.2856E-05   2.4804E+00
   5.0000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.2587E-05   2.4601E+00
   5.1000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.2326E-05   2.4404E+00
   5.2000E-03   4.1109E+02   4.0000E+02   5.9506E+04   3.2072E-05   2.4212E+00
   5.3000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.1838E-05   2.4036E+00
   5.4000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.1596E-05   2.3853E+00
   5.5000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.1360E-05   2.3675E+00
   5.6000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.1130E-05   2.3501E+00
   5.7000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.0905E-05   2.3331E+00
   5.8000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.0685E-05   2.3165E+00
   5.9000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.0470E-05   2.3003E+00
   6.0000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.0259E-05   2.2844E+00
   6.1000E-03   4.1109E+02   4.0000E+02   5.9510E+04   3.0054E-05   2.2689E+00
   6.2000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.9853E-05   2.2538E+00
   6.3000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.9656E-05   2.2389E+00
   6.4000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.9464E-05   2.2244E+00
   6.5000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.9275E-05   2.2102E+00
   6.6000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.9091E-05   2.1962E+00
   6.7000E-03   4.1109E+02   4.0000E+02   5.9510E+04   2.8910E-05   2.1826E+00
   6.8000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.8746E-05   2.1702E+00
   6.9000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.8572E-05   2.1571E+00
   7.0000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.8401E-05   2.1442E+00
   7.1000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.8234E-05   2.1316E+00
   7.2000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.8070E-05   2.1192E+00
   7.3000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.7909E-05   2.1071E+00
   7.4000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.7751E-05   2.0951E+00
   7.5000E-03   4.1109E+02   4.0000E+02   5.9513E+04   2.7596E-05   2.0835E+00
