         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48                                                                                                               49                                                                                                               50                                                                                                               51                                                                                                               52
   0.000000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.8356E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   2.4987E+07   8.7356E+03   2.2444E+02   9.8881E-11   2.2246E+10   3.4057E+10   4.3269E-08   0.0000E+00   2.7497E-08   6.2165E-02   1.5630E-08   3.0639E-04   8.9112E+12   1.8349E+19   1.8862E+07   2.2049E-02   3.5818E+15   3.8678E+14   8.5312E+07   1.5062E+04   3.6542E+14   6.2141E-03   1.0696E+10   5.3357E+02   3.8828E+14   1.0184E+03   4.9776E+06   1.2001E+03   7.0626E-03   2.6369E-02   5.7722E+07   1.6695E-08   6.8103E+07   1.3068E+15   3.4572E+04   5.4578E+15   5.4337E+02   1.0542E-08   2.3596E+10   2.4308E+07   1.5791E+05   3.4669E-02   1.9685E-06   1.1381E+10   2.4708E+07   5.6045E+04   2.4984E+07   2.7560E+00   1.7412E+05   6.9522E+02   3.0016E+02   1.1079E-01
   2.000000E-04   1.8858E+07   5.7360E+04   3.3644E+03   5.7823E-10   1.5705E+10   8.6277E+10   1.5679E-07   0.0000E+00   2.4191E-07   1.7321E-01   1.3161E-07   1.0777E-03   2.4779E+13   1.8345E+19   1.6044E+07   5.8806E-02   3.4648E+15   9.7041E+14   3.1693E+08   2.4006E+05   5.6455E+14   1.6715E-01   4.5520E+10   5.6177E+03   5.9987E+14   1.3490E+03   1.0363E+07   1.5897E+03   2.3476E-02   7.8440E-02   3.8327E+08   8.3295E-08   2.0606E+08   3.2188E+15   1.7716E+05   8.0617E+15   7.1979E+02   3.9706E-08   8.5755E+10   6.2677E+07   8.0920E+05   1.1315E-01   1.0115E-05   4.8433E+10   9.1790E+07   2.8720E+05   1.8854E+07   3.6505E+00   1.4866E+06   7.3196E+03   1.5380E+03   3.3413E-01
   3.000000E-04   1.6208E+07   1.6026E+05   1.5270E+04   1.7415E-09   1.2904E+10   1.3253E+11   2.6516E-07   0.0000E+00   7.8622E-07   2.9379E-01   4.2347E-07   2.2532E-03   4.6184E+13   1.8341E+19   1.4782E+07   9.7967E-02   3.2991E+15   1.7044E+15   7.2854E+08   9.4498E+05   7.2652E+14   8.9181E-01   9.6988E+10   2.0991E+04   7.7197E+14   1.5693E+03   1.4786E+07   1.8492E+03   4.7971E-02   1.3603E-01   1.0706E+09   2.0166E-07   4.3410E+08   4.9228E+15   4.8512E+05   9.9227E+15   8.3728E+02   7.1098E-08   1.8824E+11   8.2303E+07   2.2158E+06   2.0135E-01   2.6616E-05   1.0320E+11   2.1100E+08   7.8643E+05   1.6204E+07   4.2460E+00   3.8737E+06   2.7350E+04   3.2112E+03   5.8163E-01
   4.000000E-04   1.4625E+07   3.3375E+05   4.3587E+04   3.8213E-09   1.1259E+10   1.7491E+11   3.8337E-07   0.0000E+00   1.7516E-06   4.1859E-01   9.3984E-07   3.8302E-03   7.1816E+13   1.8338E+19   1.3978E+07   1.3797E-01   3.2077E+15   2.5556E+15   1.3383E+09   2.3172E+06   8.6949E+14   2.6862E+00   1.6060E+11   5.1965E+04   9.2388E+14   1.7388E+03   1.8976E+07   2.0490E+03   7.9711E-02   1.9621E-01   2.1521E+09   3.9035E-07   7.4878E+08   6.4879E+15   1.0075E+06   1.1363E+16   9.2775E+02   1.0920E-07   3.2903E+11   9.4425E+07   4.6019E+06   2.9410E-01   5.2957E-05   1.7088E+11   3.8761E+08   1.6333E+06   1.4620E+07   4.7045E+00   6.7039E+06   6.7708E+04   4.9942E+03   8.4042E-01
   5.000000E-04   1.3528E+07   5.9894E+05   9.7403E+04   6.9977E-09   1.0147E+10   2.1512E+11   5.2889E-07   0.0000E+00   3.2256E-06   5.4724E-01   1.7275E-06   5.7821E-03   1.0104E+14   1.8335E+19   1.3373E+07   1.7877E-01   3.1561E+15   3.5015E+15   2.1576E+09   4.5140E+06   1.0002E+15   6.0928E+00   2.3422E+11   1.0365E+05   1.0628E+15   1.8796E+03   2.3282E+07   2.2147E+03   1.1807E-01   2.5873E-01   3.6658E+09   6.6809E-07   1.1427E+09   7.9747E+15   1.7831E+06   1.2511E+16   1.0028E+03   1.5907E-07   5.0473E+11   1.0475E+08   8.1444E+06   3.9082E-01   9.0266E-05   2.4922E+11   6.2490E+08   2.8906E+06   1.3522E+07   5.0850E+00   9.6537E+06   1.3505E+05   6.8282E+03   1.1093E+00
   6.000000E-04   1.2704E+07   9.7854E+05   1.8716E+05   1.1406E-08   9.3387E+09   2.5398E+11   7.1107E-07   0.0000E+00   5.2970E-06   6.7966E-01   2.8338E-06   8.0723E-03   1.3347E+14   1.8331E+19   1.2885E+07   2.2040E-01   3.1242E+15   4.5252E+15   3.1953E+09   7.6831E+06   1.1220E+15   1.1691E+01   3.1664E+11   1.8123E+05   1.1922E+15   2.0017E+03   2.7798E+07   2.3588E+03   1.6253E-01   3.2355E-01   5.6518E+09   1.0517E-06   1.6076E+09   9.4127E+15   2.8419E+06   1.3439E+16   1.0680E+03   2.2383E-07   7.1169E+11   1.1466E+08   1.2981E+07   4.9131E-01   1.3944E-04   3.3691E+11   9.2544E+08   4.6071E+06   1.2698E+07   5.4193E+00   1.2602E+07   2.3613E+05   8.7113E+03   1.3880E+00
   7.000000E-04   1.2049E+07   1.4959E+06   3.2448E+05   1.7138E-08   8.7136E+09   2.9191E+11   9.3607E-07   0.0000E+00   8.0515E-06   8.1570E-01   4.3044E-06   1.0660E-02   1.6888E+14   1.8328E+19   1.2458E+07   2.6278E-01   3.1022E+15   5.6134E+15   4.4589E+09   1.1966E+07   1.2370E+15   2.0094E+01   4.0704E+11   2.8999E+05   1.3144E+15   2.1101E+03   3.2558E+07   2.4865E+03   2.1256E-01   3.9044E-01   8.1481E+09   1.5564E-06   2.1355E+09   1.0816E+16   4.2070E+06   1.4192E+16   1.1258E+03   3.0581E-07   9.4636E+11   1.2449E+08   1.9216E+07   5.9525E-01   2.0110E-04   4.3310E+11   1.2914E+09   6.8200E+06   1.2044E+07   5.7126E+00   1.5519E+07   3.7785E+05   1.0649E+04   1.6756E+00
   8.000000E-04   1.1512E+07   2.1747E+06   5.2219E+05   2.4252E-08   8.2167E+09   3.2912E+11   1.2099E-06   0.0000E+00   1.1574E-05   9.5515E-01   6.1846E-06   1.3509E-02   2.0706E+14   1.8325E+19   1.2080E+07   3.0590E-01   3.0855E+15   6.7551E+15   5.9547E+09   1.7500E+07   1.3464E+15   3.1956E+01   5.0481E+11   4.3535E+05   1.4307E+15   2.2082E+03   3.7584E+07   2.6021E+03   2.6772E-01   4.5929E-01   1.1190E+10   2.1974E-06   2.7190E+09   1.2193E+16   5.8956E+06   1.4801E+16   1.1782E+03   4.0735E-07   1.2055E+12   1.3442E+08   2.6929E+07   7.0238E-01   2.7574E-04   5.3713E+11   1.7246E+09   9.5575E+06   1.1506E+07   5.9783E+00   1.8411E+07   5.6725E+05   1.2646E+04   1.9716E+00
   9.000000E-04   1.1058E+07   3.0394E+06   7.9409E+05   3.2773E-08   7.8113E+09   3.6571E+11   1.5381E-06   0.0000E+00   1.5946E-05   1.0978E+00   8.5179E-06   1.6585E-02   2.4787E+14   1.8322E+19   1.1737E+07   3.4970E-01   3.0717E+15   7.9411E+15   7.6888E+09   2.4419E+07   1.4513E+15   4.7970E+01   6.0948E+11   6.2280E+05   1.5421E+15   2.2984E+03   4.2892E+07   2.7084E+03   3.2761E-01   5.2997E-01   1.4810E+10   2.9893E-06   3.3518E+09   1.3548E+16   7.9210E+06   1.5290E+16   1.2263E+03   5.3058E-07   1.4864E+12   1.4457E+08   3.6181E+07   8.1240E-01   3.6373E-04   6.4849E+11   2.2269E+09   1.2841E+07   1.1052E+07   6.2223E+00   2.1302E+07   8.1149E+05   1.4708E+04   2.2754E+00
