Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,8.9,0.0
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,9.0,4.4e-22
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,10.0,2.6e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,12.2,6.680000000000001e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,15.0,8.700000000000001e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,16.5,9.000000000000001e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,20.0,7.510000000000001e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,30.0,5.3800000000000005e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,40.0,3.7300000000000006e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,50.0,2.9900000000000004e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,60.0,2.1500000000000003e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,70.0,1.72e-21
248,EXCITATION,H2 -> H H,8.9,e / H2,E + H2 -> E + H + H,80.0,1.4700000000000001e-21
