,Unnamed: 0,Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
0,0,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,3.35,0.0
1,1,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,4.0,3.27135e-22
2,2,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,5.0,2.27258e-21
3,3,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,6.0,4.6948199999999994e-21
4,4,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,7.0,6.8309e-21
5,5,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,8.0,8.52285e-21
6,6,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,8.5,9.21128e-21
7,7,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,9.0,9.80723e-21
8,8,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,10.0,1.0762199999999999e-20
9,9,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,12.0,1.1967599999999999e-20
10,10,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,15.0,1.27295e-20
11,11,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,17.0,1.2864699999999999e-20
12,12,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,18.0,1.2867599999999999e-20
13,13,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,19.0,1.2840000000000002e-20
14,14,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,20.0,1.27889e-20
15,15,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,30.0,1.17429e-20
16,16,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,40.0,1.0586899999999999e-20
17,17,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,50.0,9.598199999999999e-21
18,18,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,60.0,8.77765e-21
19,19,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,70.0,8.09362e-21
20,20,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,80.0,7.516699999999999e-21
21,21,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,90.0,7.023989999999999e-21
22,22,73,EXCITATION,C3H6 -> C2H2 CH4,3.35,e / C3H6,E + C3H6 -> E + C2H2 + CH4,100.0,6.59824e-21
