       Time_s           01           02           03           04           05
   0.0000E+00   5.5300E+02   2.9815E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   3.7917E-04   5.1584E+01
   2.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   2.9425E-04   4.0032E+01
   3.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   2.5514E-04   3.4712E+01
   4.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   2.3168E-04   3.1522E+01
   5.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   2.1588E-04   2.9373E+01
   6.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   2.0447E-04   2.7821E+01
   7.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   1.9582E-04   2.6644E+01
   8.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   1.8899E-04   2.5715E+01
   9.0000E-04   5.5300E+02   2.9815E+02   6.6073E+04   1.8342E-04   2.4957E+01
   1.0000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.7890E-04   2.4342E+01
   1.1000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.7485E-04   2.3791E+01
   1.2000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.7128E-04   2.3307E+01
   1.3000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.6809E-04   2.2872E+01
   1.4000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.6518E-04   2.2477E+01
   1.5000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.6251E-04   2.2114E+01
   1.6000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.6003E-04   2.1776E+01
   1.7000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.5771E-04   2.1461E+01
   1.8000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.5554E-04   2.1166E+01
   1.9000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.5349E-04   2.0887E+01
   2.0000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.5156E-04   2.0624E+01
   2.1000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.4972E-04   2.0375E+01
   2.2000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.4798E-04   2.0138E+01
   2.3000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.4633E-04   1.9913E+01
   2.4000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.4475E-04   1.9699E+01
   2.5000E-03   5.5300E+02   2.9815E+02   6.6083E+04   1.4326E-04   1.9495E+01
   2.6000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.4196E-04   1.9319E+01
   2.7000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.4059E-04   1.9133E+01
   2.8000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3928E-04   1.8954E+01
   2.9000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3803E-04   1.8784E+01
   3.0000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3683E-04   1.8621E+01
   3.1000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3568E-04   1.8465E+01
   3.2000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3457E-04   1.8315E+01
   3.3000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3352E-04   1.8171E+01
   3.4000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3250E-04   1.8033E+01
   3.5000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3152E-04   1.7900E+01
   3.6000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.3058E-04   1.7772E+01
   3.7000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2968E-04   1.7649E+01
   3.8000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2880E-04   1.7530E+01
   3.9000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2796E-04   1.7415E+01
   4.0000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2715E-04   1.7305E+01
   4.1000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2637E-04   1.7198E+01
   4.2000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2561E-04   1.7096E+01
   4.3000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2488E-04   1.6996E+01
   4.4000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2417E-04   1.6900E+01
   4.5000E-03   5.5300E+02   2.9815E+02   6.6094E+04   1.2349E-04   1.6807E+01
   4.6000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.2294E-04   1.6733E+01
   4.7000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.2230E-04   1.6645E+01
   4.8000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.2168E-04   1.6561E+01
   4.9000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.2107E-04   1.6479E+01
   5.0000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.2049E-04   1.6399E+01
   5.1000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1992E-04   1.6322E+01
   5.2000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1937E-04   1.6247E+01
   5.3000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1883E-04   1.6174E+01
   5.4000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1831E-04   1.6104E+01
   5.5000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1781E-04   1.6035E+01
   5.6000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1732E-04   1.5968E+01
   5.7000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1684E-04   1.5903E+01
   5.8000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1638E-04   1.5840E+01
   5.9000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1593E-04   1.5779E+01
   6.0000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1549E-04   1.5719E+01
   6.1000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1506E-04   1.5661E+01
   6.2000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1464E-04   1.5605E+01
   6.3000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1424E-04   1.5549E+01
   6.4000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1384E-04   1.5495E+01
   6.5000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1346E-04   1.5443E+01
   6.6000E-03   5.5300E+02   2.9815E+02   6.6105E+04   1.1308E-04   1.5392E+01
   6.7000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1282E-04   1.5357E+01
   6.8000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1246E-04   1.5308E+01
   6.9000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1211E-04   1.5260E+01
   7.0000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1177E-04   1.5213E+01
   7.1000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1143E-04   1.5168E+01
   7.2000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1111E-04   1.5123E+01
   7.3000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1079E-04   1.5080E+01
   7.4000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1047E-04   1.5037E+01
   7.5000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.1017E-04   1.4996E+01
   7.6000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0987E-04   1.4955E+01
   7.7000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0958E-04   1.4915E+01
   7.8000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0929E-04   1.4877E+01
   7.9000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0901E-04   1.4838E+01
   8.0000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0874E-04   1.4801E+01
   8.1000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0847E-04   1.4765E+01
   8.2000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0821E-04   1.4729E+01
   8.3000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0795E-04   1.4694E+01
   8.4000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0770E-04   1.4659E+01
   8.5000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0745E-04   1.4626E+01
   8.6000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0720E-04   1.4593E+01
   8.7000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0697E-04   1.4560E+01
   8.8000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0673E-04   1.4528E+01
   8.9000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0650E-04   1.4497E+01
   9.0000E-03   5.5300E+02   2.9815E+02   6.6115E+04   1.0628E-04   1.4466E+01
   9.1000E-03   5.5300E+02   2.9815E+02   6.6127E+04   1.0616E-04   1.4450E+01
   9.2000E-03   5.5300E+02   2.9815E+02   6.6127E+04   1.0594E-04   1.4420E+01
   9.3000E-03   5.5300E+02   2.9815E+02   6.6127E+04   1.0572E-04   1.4391E+01
   9.4000E-03   5.5300E+02   2.9815E+02   6.6127E+04   1.0551E-04   1.4362E+01
