         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48                                                                                                               49                                                                                                               50                                                                                                               51                                                                                                               52
   0.000000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4600E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   3.7052E+07   2.2659E+04   4.6518E-02   9.0504E+10   1.2781E+08   3.6741E-02   5.2519E-04   8.6289E+02   2.2454E-02   3.0203E-16   5.9002E+04   2.4109E+15   1.6062E+15   2.2118E+15   1.6107E+15   9.1781E-09   3.2772E+08   6.0584E+14   8.2588E+09   5.0347E-16   5.5621E-02   2.6107E+04   6.7988E-04   1.5482E+03   7.9753E-12   7.9105E-09   8.8220E+00   3.3637E+04   2.6529E-02   7.2692E+10   7.7267E-02   2.7600E+15   2.4591E+19   1.7038E+05   3.6668E+04   3.7047E+07   1.5909E-01   9.7406E+14   5.7232E-06   2.8616E+10   6.1054E+09   7.8031E+10   5.0019E+11   1.2453E+08   2.8803E-08   1.1797E+01   1.9956E+03   9.8535E-02   0.0000E+00   2.9745E-10   1.6032E+04   1.8260E+00
   2.000000E-04   2.8377E+07   6.7316E+04   9.8368E-02   5.5540E+10   1.0160E+08   7.3839E-02   4.8691E-03   1.1266E+03   4.5997E-02   2.3472E-15   2.1269E+05   3.7031E+15   2.2982E+15   3.3973E+15   2.4793E+15   2.6116E-08   7.1404E+08   1.1150E+15   2.3969E+10   2.1493E-15   5.3365E-01   8.8587E+04   6.3033E-03   2.0213E+03   2.6756E-11   2.2511E-08   1.1520E+01   1.1414E+05   4.6232E-02   1.5339E+11   1.6600E-01   4.4075E+15   2.4586E+19   6.1418E+05   1.3218E+05   2.8371E+07   3.2948E-01   1.3000E+15   1.8126E-05   8.3051E+10   7.4578E+09   1.6465E+11   1.1722E+12   9.9973E+07   8.1940E-08   7.0213E+01   2.6053E+03   3.7834E-01   0.0000E+00   5.2052E-10   5.4392E+04   3.3535E+00
   3.000000E-04   2.4343E+07   1.2810E+05   1.5177E-01   4.1300E+10   8.9062E+07   1.1082E-01   1.7638E-02   1.3133E+03   6.9725E-02   7.6440E-15   4.4988E+05   4.7592E+15   2.8294E+15   4.3662E+15   3.1922E+15   4.7579E-08   1.1157E+09   1.5709E+15   4.4106E+10   5.7271E-15   1.9958E+00   1.7951E+05   2.2833E-02   2.3561E+03   5.4196E-11   4.1015E-08   1.3430E+01   2.3129E+05   6.3137E-02   2.3498E+11   2.5826E-01   5.7876E+15   2.4582E+19   1.2991E+06   2.7959E+05   2.4336E+07   5.0256E-01   1.5228E+15   3.5476E-05   1.5282E+11   8.4499E+09   2.5224E+11   1.9282E+12   8.8179E+07   1.4926E-07   1.9614E+02   3.0368E+03   8.1293E-01   0.0000E+00   9.6124E-10   1.1021E+05   4.7169E+00
   4.000000E-04   2.1858E+07   2.0328E+05   2.0607E-01   3.3310E+10   8.1173E+07   1.4775E-01   4.3703E-02   1.4626E+03   9.3542E-02   1.7532E-14   7.6593E+05   5.6879E+15   3.2796E+15   5.2182E+15   3.8215E+15   7.2457E-08   1.5255E+09   1.9923E+15   6.7627E+10   1.1997E-14   5.1023E+00   2.9535E+05   5.6576E-02   2.6237E+03   8.9473E-11   6.2464E-08   1.4957E+01   3.8054E+05   7.8327E-02   3.1674E+11   3.5256E-01   7.0174E+15   2.4578E+19   2.2117E+06   4.7600E+05   2.1851E+07   6.7711E-01   1.6962E+15   5.7091E-05   2.3432E+11   9.2676E+09   3.4001E+11   2.7458E+12   8.0725E+07   2.2726E-07   4.0393E+02   3.3817E+03   1.3930E+00   0.0000E+00   1.6613E-09   1.8129E+05   5.9745E+00
   5.000000E-04   2.0127E+07   2.9189E+05   2.6106E-01   2.8147E+10   7.5643E+07   1.8473E-01   8.8081E-02   1.5896E+03   1.1741E-01   3.3254E-14   1.1580E+06   6.5327E+15   3.6788E+15   5.9933E+15   4.3962E+15   1.0017E-07   1.9401E+09   2.3886E+15   9.3950E+10   2.1672E-14   1.0594E+01   4.3384E+05   1.1403E-01   2.8512E+03   1.3211E-10   8.6364E-08   1.6270E+01   5.5899E+05   9.2332E-02   3.9843E+11   4.4817E-01   8.1459E+15   2.4575E+19   3.3439E+06   7.1968E+05   2.0118E+07   8.5282E-01   1.8399E+15   8.2606E-05   3.2553E+11   9.9796E+09   4.2769E+11   3.6138E+12   7.5485E+07   3.1410E-07   7.0497E+02   3.6754E+03   2.1131E+00   0.0000E+00   2.6529E-09   2.6625E+05   7.1552E+00
   6.000000E-04   1.8815E+07   3.9332E+05   3.1650E-01   2.4459E+10   7.1328E+07   2.2167E-01   1.5588E-01   1.7003E+03   1.4134E-01   5.5955E-14   1.6243E+06   7.3169E+15   4.0425E+15   6.7127E+15   4.9317E+15   1.3027E-07   2.3584E+09   2.7656E+15   1.2270E+11   3.5413E-14   1.9284E+01   5.9339E+05   2.0180E-01   3.0498E+03   1.8182E-10   1.1232E-07   1.7405E+01   7.6463E+05   1.0542E-01   4.7997E+11   5.4498E-01   9.2000E+15   2.4572E+19   4.6903E+06   1.0094E+06   1.8807E+07   1.0292E+00   1.9636E+15   1.1170E-04   4.2515E+11   1.0619E+10   5.1523E+11   4.5255E+12   7.1384E+07   4.0842E-07   1.1089E+03   3.9313E+03   2.9704E+00   0.0000E+00   3.9630E-09   3.6414E+05   8.2770E+00
   7.000000E-04   1.7779E+07   5.0714E+05   3.7229E-01   2.1694E+10   6.7866E+07   2.5862E-01   2.5225E-01   1.7994E+03   1.6530E-01   8.6732E-14   2.1631E+06   8.0540E+15   4.3792E+15   7.3889E+15   5.4369E+15   1.6247E-07   2.7788E+09   3.1265E+15   1.5360E+11   5.3852E-14   3.2049E+01   7.7272E+05   3.2654E-01   3.2274E+03   2.3833E-10   1.4008E-07   1.8420E+01   9.9576E+05   1.1777E-01   5.6130E+11   6.4260E-01   1.0195E+16   2.4570E+19   6.2464E+06   1.3443E+06   1.7769E+07   1.2062E+00   2.0728E+15   1.4416E-04   5.3221E+11   1.1206E+10   6.0253E+11   5.4751E+12   6.8087E+07   5.0929E-07   1.6240E+03   4.1603E+03   3.9614E+00   0.0000E+00   5.6144E-09   4.7410E+05   9.3500E+00
   8.000000E-04   1.6930E+07   6.3305E+05   4.2837E-01   1.9534E+10   6.4997E+07   2.9558E-01   3.8239E-01   1.8896E+03   1.8927E-01   1.2663E-13   2.7734E+06   8.7532E+15   4.6948E+15   8.0303E+15   5.9176E+15   1.9653E-07   3.2006E+09   3.4739E+15   1.8644E+11   7.7592E-14   4.9828E+01   9.7079E+05   4.9501E-01   3.3889E+03   3.0143E-10   1.6946E-07   1.9344E+01   1.2510E+06   1.2953E-01   6.4241E+11   7.4088E-01   1.1142E+16   2.4567E+19   8.0088E+06   1.7236E+06   1.6921E+07   1.3836E+00   2.1709E+15   1.7982E-04   6.4600E+11   1.1752E+10   6.8960E+11   6.4586E+12   6.5347E+07   6.1600E-07   2.2578E+03   4.3685E+03   5.0843E+00   0.0000E+00   7.6274E-09   5.9551E+05   1.0382E+01
   9.000000E-04   1.6218E+07   7.7080E+05   4.8469E-01   1.7794E+10   6.2559E+07   3.3257E-01   5.5154E-01   1.9725E+03   2.1326E-01   1.7663E-13   3.4541E+06   9.4210E+15   4.9932E+15   8.6429E+15   6.3782E+15   2.3229E-07   3.6235E+09   3.8098E+15   2.2105E+11   1.0721E-13   7.3616E+01   1.1867E+06   7.1399E-01   3.5375E+03   3.7098E-10   2.0031E-07   2.0194E+01   1.5294E+06   1.4079E-01   7.2330E+11   8.3971E-01   1.2048E+16   2.4565E+19   9.9744E+06   2.1467E+06   1.6208E+07   1.5614E+00   2.2603E+15   2.1855E-04   7.6594E+11   1.2264E+10   7.7644E+11   7.4730E+12   6.3016E+07   7.2801E-07   3.0169E+03   4.5600E+03   6.3377E+00   0.0000E+00   1.0021E-08   7.2781E+05   1.1379E+01
   1.000000E-03   1.5608E+07   9.2023E+05   5.4123E-01   1.6362E+10   6.0449E+07   3.6959E-01   7.6497E-01   2.0495E+03   2.3726E-01   2.3772E-13   4.2044E+06   1.0062E+16   5.2772E+15   9.2310E+15   6.8219E+15   2.6961E-07   4.0471E+09   4.1356E+15   2.5731E+11   1.4327E-13   1.0447E+02   1.4199E+06   9.9029E-01   3.6755E+03   4.4685E-10   2.3250E-07   2.0983E+01   1.8298E+06   1.5163E-01   8.0398E+11   9.3900E-01   1.2920E+16   2.4562E+19   1.2141E+07   2.6129E+06   1.5598E+07   1.7394E+00   2.3426E+15   2.6023E-04   8.9158E+11   1.2750E+10   8.6304E+11   8.5160E+12   6.0995E+07   8.4486E-07   3.9075E+03   4.7379E+03   7.7202E+00   0.0000E+00   1.2811E-08   8.7055E+05   1.2346E+01
   1.100000E-03   1.5078E+07   1.0812E+06   5.9795E-01   1.5158E+10   5.8595E+07   4.0664E-01   1.0280E+00   2.1215E+03   2.6127E-01   3.1081E-13   5.0236E+06   1.0680E+16   5.5489E+15   9.7981E+15   7.2510E+15   3.0836E-07   4.4711E+09   4.4525E+15   2.9510E+11   1.8629E-13   1.4348E+02   1.6695E+06   1.3307E+00   3.8046E+03   5.2891E-10   2.6593E-07   2.1722E+01   2.1516E+06   1.6210E-01   8.8445E+11   1.0387E+00   1.3762E+16   2.4560E+19   1.4507E+07   3.1221E+06   1.5067E+07   1.9178E+00   2.4192E+15   3.0477E-04   1.0225E+12   1.3213E+10   9.4942E+11   9.5854E+12   5.9216E+07   9.6620E-07   4.9352E+03   4.9043E+03   9.2312E+00   0.0000E+00   1.6015E-08   1.0233E+06   1.3286E+01
