       Time_s           01           02           03           04           05
   0.0000E+00   4.4300E+02   2.9815E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   3.1059E-04   3.3849E+01
   2.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   2.3922E-04   2.6072E+01
   3.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   2.0704E-04   2.2564E+01
   4.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.8800E-04   2.0489E+01
   5.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.7525E-04   1.9100E+01
   6.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.6601E-04   1.8093E+01
   7.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.5890E-04   1.7318E+01
   8.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.5316E-04   1.6693E+01
   9.0000E-04   4.4300E+02   2.9815E+02   6.0982E+04   1.4835E-04   1.6170E+01
   1.0000E-03   4.4300E+02   2.9815E+02   6.0982E+04   1.4420E-04   1.5717E+01
   1.1000E-03   4.4300E+02   2.9815E+02   6.0982E+04   1.4053E-04   1.5316E+01
   1.2000E-03   4.4300E+02   2.9815E+02   6.0982E+04   1.3722E-04   1.4956E+01
   1.3000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.3433E-04   1.4642E+01
   1.4000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.3154E-04   1.4338E+01
   1.5000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.2895E-04   1.4055E+01
   1.6000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.2652E-04   1.3791E+01
   1.7000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.2424E-04   1.3541E+01
   1.8000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.2207E-04   1.3305E+01
   1.9000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.2000E-04   1.3080E+01
   2.0000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.1803E-04   1.2864E+01
   2.1000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.1612E-04   1.2657E+01
   2.2000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.1428E-04   1.2456E+01
   2.3000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.1250E-04   1.2262E+01
   2.4000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.1075E-04   1.2071E+01
   2.5000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0904E-04   1.1885E+01
   2.6000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0735E-04   1.1701E+01
   2.7000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0568E-04   1.1519E+01
   2.8000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0402E-04   1.1338E+01
   2.9000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0238E-04   1.1159E+01
   3.0000E-03   4.4300E+02   2.9815E+02   6.0991E+04   1.0074E-04   1.0980E+01
   3.1000E-03   4.4300E+02   2.9815E+02   6.0991E+04   9.9098E-05   1.0801E+01
   3.2000E-03   4.4300E+02   2.9815E+02   6.0991E+04   9.7459E-05   1.0623E+01
   3.3000E-03   4.4300E+02   2.9815E+02   6.0999E+04   9.5909E-05   1.0454E+01
   3.4000E-03   4.4300E+02   2.9815E+02   6.0999E+04   9.4270E-05   1.0275E+01
   3.5000E-03   4.4300E+02   2.9815E+02   6.0999E+04   9.2637E-05   1.0097E+01
   3.6000E-03   4.4300E+02   2.9815E+02   6.0999E+04   9.1012E-05   9.9199E+00
   3.7000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.9399E-05   9.7441E+00
   3.8000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.7804E-05   9.5702E+00
   3.9000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.6233E-05   9.3991E+00
   4.0000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.4687E-05   9.2305E+00
   4.1000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.3173E-05   9.0656E+00
   4.2000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.1698E-05   8.9047E+00
   4.3000E-03   4.4300E+02   2.9815E+02   6.0999E+04   8.0264E-05   8.7485E+00
   4.4000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.8873E-05   8.5969E+00
   4.5000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.7530E-05   8.4506E+00
   4.6000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.6235E-05   8.3095E+00
   4.7000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.4990E-05   8.1738E+00
   4.8000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.3795E-05   8.0435E+00
   4.9000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.2650E-05   7.9187E+00
   5.0000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.1551E-05   7.7990E+00
   5.1000E-03   4.4300E+02   2.9815E+02   6.0999E+04   7.0502E-05   7.6846E+00
   5.2000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.9494E-05   7.5748E+00
   5.3000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.8532E-05   7.4700E+00
   5.4000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.7608E-05   7.3693E+00
   5.5000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.6722E-05   7.2728E+00
   5.6000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.5874E-05   7.1804E+00
   5.7000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.5061E-05   7.0918E+00
   5.8000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.4279E-05   7.0066E+00
   5.9000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.3528E-05   6.9248E+00
   6.0000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.2806E-05   6.8461E+00
   6.1000E-03   4.4300E+02   2.9815E+02   6.0999E+04   6.2112E-05   6.7705E+00
   6.2000E-03   4.4300E+02   2.9815E+02   6.1006E+04   6.1495E-05   6.7032E+00
   6.3000E-03   4.4300E+02   2.9815E+02   6.1006E+04   6.0850E-05   6.6329E+00
   6.4000E-03   4.4300E+02   2.9815E+02   6.1006E+04   6.0227E-05   6.5651E+00
   6.5000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.9627E-05   6.4997E+00
   6.6000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.9049E-05   6.4367E+00
   6.7000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.8489E-05   6.3756E+00
   6.8000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.7947E-05   6.3166E+00
   6.9000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.7423E-05   6.2595E+00
   7.0000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.6915E-05   6.2042E+00
   7.1000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.6423E-05   6.1506E+00
   7.2000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.5947E-05   6.0987E+00
   7.3000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.5485E-05   6.0483E+00
   7.4000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.5036E-05   5.9994E+00
   7.5000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.4600E-05   5.9520E+00
   7.6000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.4177E-05   5.9058E+00
   7.7000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.3766E-05   5.8610E+00
   7.8000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.3366E-05   5.8175E+00
   7.9000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.2976E-05   5.7750E+00
   8.0000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.2597E-05   5.7337E+00
   8.1000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.2227E-05   5.6934E+00
   8.2000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.1867E-05   5.6541E+00
   8.3000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.1516E-05   5.6159E+00
   8.4000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.1173E-05   5.5786E+00
   8.5000E-03   4.4300E+02   2.9815E+02   6.1006E+04   5.0839E-05   5.5422E+00
