       Time_s           01           02           03           04           05
   0.0000E+00   5.1000E+01   3.0100E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   4.3683E-12   5.5696E-08
   2.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   2.6910E-11   3.4310E-07
   3.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   1.6578E-10   2.1137E-06
   4.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   1.0212E-09   1.3021E-05
   5.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   6.2912E-09   8.0213E-05
   6.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   3.8756E-08   4.9414E-04
   7.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   2.3875E-07   3.0441E-03
   8.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   1.4708E-06   1.8753E-02
   9.0000E-08   5.1000E+01   3.0100E+02   4.8561E+04   9.0607E-06   1.1552E-01
   1.0000E-07   5.1000E+01   3.0100E+02   4.8561E+04   5.5817E-05   7.1167E-01
   1.1000E-07   5.1000E+01   3.0100E+02   4.8561E+04   3.4385E-04   4.3841E+00
   1.2000E-07   5.1000E+01   3.0100E+02   4.8561E+04   2.1182E-03   2.7007E+01
   1.3000E-07   5.1000E+01   3.0100E+02   4.8561E+04   1.3046E-02   1.6634E+02
   1.4000E-07   5.1000E+01   3.0100E+02   4.8561E+04   8.0264E-02   1.0234E+03
   1.5000E-07   5.1000E+01   3.0100E+02   4.8561E+04   4.9051E-01   6.2541E+03
   1.6000E-07   5.1000E+01   3.0100E+02   4.8561E+04   2.8803E+00   3.6724E+04
   1.7000E-07   5.1000E+01   3.0100E+02   4.8561E+04   1.3772E+01   1.7560E+05
   1.8000E-07   5.1000E+01   3.0100E+02   4.8561E+04   3.5675E+01   4.5485E+05
   1.9000E-07   5.1000E+01   3.0100E+02   4.8561E+04   4.8086E+01   6.1309E+05
   2.0000E-07   5.1000E+01   3.0100E+02   4.8561E+04   5.0965E+01   6.4981E+05
   2.2000E-07   5.1000E+01   3.0100E+02   4.8561E+04   5.1548E+01   6.5723E+05
