          Time         dTime           E/N             E            AR           AR*          AR^+         AR2^+       AR(W)^+      AR2(W)^+          E(W)             1             2             3             4             5             6             7             8             9            10            11            12            13             V             J           J/s         theta      P*Lambda
  1.000000E-19  1.000000E-19  7.766399E+01  1.000000E+06  3.218831E+18  1.141074E-04  1.000000E+06  2.331196E-07  5.521642E-10  1.725369E-22  5.521642E-10  1.155356E+14  1.141074E+15  3.201473E-06  8.035364E-07  6.296671E-09  1.895440E-18  7.812298E-18  1.058254E-11  1.655153E+01  2.331196E+12  5.521642E+09  1.287203E-03  5.521642E+09  9.999491E+02  5.094899E-07  1.013628E-06  2.533941E-09  1.011123E+01
  2.894556E-08  7.496032E-10  7.755606E+01  2.830102E+07  3.218831E+18  2.695056E+08  2.775919E+07  5.418298E+05  1.283363E+03  2.278232E+01  1.306146E+03  3.260147E+15  3.224985E+16  2.139708E+08  5.369221E+07  4.142245E+05  4.405489E-06  4.357996E+07  2.354293E-07  3.909238E+13  6.471212E+13  1.532559E+11  2.991393E+09  1.562473E+11  9.985592E+02  1.440828E-05  2.866521E-05  2.528523E-09  1.011123E+01
  6.716801E-08  1.306738E-10  7.128083E+01  1.737923E+09  3.218831E+18  1.854151E+10  1.698205E+09  3.971789E+07  9.345673E+04  2.029243E+03  9.548597E+04  1.494942E+17  1.735379E+18  8.936880E+11  2.193969E+11  1.880606E+09  3.229366E-04  2.062727E+11  5.752025E-02  2.689488E+15  3.958848E+15  9.256839E+12  2.165005E+11  9.473339E+12  9.176866E+02  8.231343E-04  1.637622E-03  2.161811E-09  1.011123E+01
  7.721217E-08  8.395530E-11  6.513738E+01  3.683527E+09  3.218831E+18  4.316552E+10  3.583486E+09  1.000406E+08  2.335494E+05  5.627902E+03  2.391773E+05  2.283506E+17  3.184754E+18  4.356329E+12  1.044884E+12  1.013025E+10  8.134065E-04  1.117957E+12  5.791447E-01  6.261254E+15  8.353810E+15  1.927346E+13  5.380598E+11  1.981152E+13  8.385254E+02  1.614746E-03  3.212530E-03  1.828267E-09  1.011123E+01
  8.501384E-08  7.478181E-11  5.988575E+01  5.615659E+09  3.218831E+18  7.239314E+10  5.433899E+09  1.817602E+08  4.209715E+05  1.138741E+04  4.323589E+05  2.529518E+17  4.236784E+18  1.101440E+13  2.586111E+12  2.828912E+10  1.477848E-03  3.144460E+12  2.155984E+00  1.050078E+16  1.266748E+16  2.887230E+13  9.657586E+11  2.983806E+13  7.708641E+02  2.291359E-03  4.558648E-03  1.564419E-09  1.011123E+01
  9.245002E-08  7.513505E-11  5.535955E+01  7.531079E+09  3.218831E+18  1.070683E+11  7.239386E+09  2.916929E+08  6.701872E+05  2.058833E+04  6.907755E+05  2.483989E+17  4.993221E+18  2.162255E+13  4.978009E+12  6.133855E+10  2.371685E-03  6.878174E+12  5.430567E+00  1.553050E+16  1.687643E+16  3.804085E+13  1.532760E+12  3.957361E+13  7.125535E+02  2.874465E-03  5.718735E-03  1.352696E-09  1.011123E+01
  1.001905E-07  8.008510E-11  5.144300E+01  9.419137E+09  3.218831E+18  1.480852E+11  8.980744E+09  4.383935E+08  9.991465E+05  3.525664E+04  1.034403E+06  2.292175E+17  5.524663E+18  3.704850E+13  8.375869E+12  1.160884E+11  3.564472E-03  1.315754E+13  1.103229E+01  2.148008E+16  2.093588E+16  4.671303E+13  2.280289E+12  4.899332E+13  6.621708E+02  3.378292E-03  6.721097E-03  1.181242E-09  1.011123E+01
  1.086406E-07  8.930513E-11  4.803346E+01  1.127840E+10  3.218831E+18  1.965141E+11  1.064614E+10  6.322545E+08  1.429502E+06  5.855827E+04  1.488060E+06  2.044979E+17  5.893267E+18  5.835992E+13  1.297624E+13  2.017144E+11  5.140710E-03  2.317068E+13  1.954541E+01  2.850480E+16  2.481825E+16  5.486711E+13  3.258455E+12  5.812557E+13  6.181954E+02  3.818046E-03  7.595984E-03  1.040884E-09  1.011123E+01
  1.181369E-07  1.014334E-10  4.502066E+01  1.311611E+10  3.218831E+18  2.537190E+11  1.222984E+10  8.862690E+08  1.988194E+06  9.541671E+04  2.083610E+06  1.785199E+17  6.141580E+18  8.692216E+13  1.903136E+13  3.307047E+11  7.206040E-03  3.862401E+13  3.154948E+01  3.680250E+16  2.851016E+16  6.249585E+13  4.528932E+12  6.702478E+13  5.793346E+02  4.206654E-03  8.369120E-03  9.241534E-10  1.011123E+01
  1.290178E-07  1.165356E-10  4.234961E+01  1.494244E+10  3.218831E+18  3.213809E+11  1.372587E+10  1.216566E+09  2.708462E+06  1.534779E+05  2.861940E+06  1.526200E+17  6.286157E+18  1.244794E+14  2.685746E+13  5.199435E+11  9.891603E-03  6.197140E+13  4.764202E+01  4.661700E+16  3.199769E+16  6.958139E+13  6.167210E+12  7.574860E+13  5.450881E+02  4.549119E-03  9.050453E-03  8.253831E-10  1.011123E+01
  1.416600E-07  1.366255E-10  3.994728E+01  1.675224E+10  3.218831E+18  4.013160E+11  1.510911E+10  1.643130E+09  3.630999E+06  2.445763E+05  3.875575E+06  1.298763E+17  6.375665E+18  1.730621E+14  3.684409E+13  7.911347E+11  1.335990E-02  9.663271E+13  6.809884E+01  5.821176E+16  3.522228E+16  7.604103E+13  8.269537E+12  8.431057E+13  5.139472E+02  4.860528E-03  9.669999E-03  7.416724E-10  1.011123E+01
  1.564998E-07  1.606274E-10  3.779204E+01  1.856211E+10  3.218830E+18  4.960352E+11  1.637186E+10  2.190249E+09  4.805076E+06  3.870030E+05  5.192079E+06  1.087173E+17  6.394416E+18  2.354284E+14  4.947286E+13  1.173980E+12  1.780839E-02  1.476305E+14  9.349143E+01  7.195098E+16  3.816600E+16  8.182212E+13  1.094627E+13  9.276839E+13  4.863874E+02  5.136126E-03  1.021830E-02  6.693815E-10  1.011123E+01
  1.740657E-07  1.911083E-10  3.582782E+01  2.035880E+10  3.218830E+18  6.079945E+11  1.747132E+10  2.887479E+09  6.289434E+06  6.089242E+05  6.898358E+06  9.106491E+16  6.388042E+18  3.145642E+14  6.532221E+13  1.704730E+12  2.347740E-02  2.217944E+14  1.234917E+02  8.819092E+16  4.072906E+16  8.676521E+13  1.433966E+13  1.011049E+14  4.608946E+02  5.391054E-03  1.072548E-02  6.070243E-10  1.011123E+01
  1.949420E-07  2.270915E-10  3.406265E+01  2.214546E+10  3.218830E+18  7.401479E+11  1.837894E+10  3.766516E+09  8.146064E+06  9.525565E+05  9.098620E+06  7.540381E+16  6.335109E+18  4.140948E+14  8.500633E+13  2.428723E+12  3.062463E-02  3.286914E+14  1.579716E+02  1.073600E+17  4.284490E+16  9.071934E+13  1.859171E+13  1.093110E+14  4.383730E+02  5.616270E-03  1.117354E-02  5.529554E-10  1.011123E+01
  2.198451E-07  2.710195E-10  3.244228E+01  2.392727E+10  3.218830E+18  8.960321E+11  1.906266E+10  4.864610E+09  1.044623E+07  1.481401E+06  1.192763E+07  6.248117E+16  6.266228E+18  5.386889E+14  1.094041E+14  3.401972E+12  3.955297E-02  4.817241E+14  1.961762E+02  1.299714E+17  4.443878E+16  9.356673E+13  2.387734E+13  1.174441E+14  4.175115E+02  5.824885E-03  1.158858E-02  5.055284E-10  1.011123E+01
  2.495488E-07  3.236832E-10  3.098286E+01  2.567539E+10  3.218830E+18  1.078134E+12  1.945847E+10  6.216922E+09  1.325260E+07  2.286963E+06  1.553956E+07  5.178463E+16  6.183065E+18  6.920042E+14  1.391449E+14  4.681592E+12  5.054828E-02  6.974236E+14  2.360325E+02  1.563856E+17  4.536149E+16  9.501465E+13  3.035688E+13  1.253715E+14  3.986527E+02  6.013473E-03  1.196378E-02  4.643933E-10  1.011123E+01
  2.848874E-07  3.850033E-10  2.963968E+01  2.741586E+10  3.218830E+18  1.290682E+12  1.956109E+10  7.854770E+09  1.661699E+07  3.498259E+06  2.011525E+07  4.291865E+16  6.089565E+18  8.804159E+14  1.753752E+14  6.336401E+12  6.386523E-02  9.995156E+14  2.764840E+02  1.872161E+17  4.560071E+16  9.505527E+13  3.816951E+13  1.332248E+14  3.812535E+02  6.187465E-03  1.230993E-02  4.279644E-10  1.011123E+01
  3.268004E-07  4.522425E-10  2.840242E+01  2.915248E+10  3.218829E+18  1.537353E+12  1.934605E+10  9.806431E+09  2.057719E+07  5.293401E+06  2.587059E+07  3.526870E+16  5.974305E+18  1.109941E+15  2.190700E+14  8.438578E+12  7.973371E-02  1.418072E+15  3.158315E+02  2.229962E+17  4.509939E+16  9.356688E+13  4.742867E+13  1.409955E+14  3.656964E+02  6.343036E-03  1.261944E-02  3.957540E-10  1.011123E+01
  3.760671E-07  5.313072E-10  2.726408E+01  3.087119E+10  3.218829E+18  1.819558E+12  1.879180E+10  1.207939E+10  2.511831E+07  7.896983E+06  3.301529E+07  2.933386E+16  5.871961E+18  1.385327E+15  2.711447E+14  1.103873E+13  9.821456E-02  1.986475E+15  3.506719E+02  2.639307E+17  4.380733E+16  9.050050E+13  5.817380E+13  1.486743E+14  3.506497E+02  6.493503E-03  1.291880E-02  3.668445E-10  1.011123E+01
  4.331012E-07  6.084767E-10  2.622548E+01  3.257608E+10  3.218829E+18  2.137040E+12  1.792427E+10  1.465181E+10  3.015598E+07  1.156359E+07  4.171957E+07  2.427421E+16  5.751952E+18  1.709984E+15  3.319700E+14  1.416781E+13  1.191302E-01  2.740165E+15  3.793771E+02  3.099820E+17  4.178495E+16  8.596961E+13  7.027397E+13  1.562436E+14  3.374806E+02  6.625194E-03  1.318079E-02  3.413749E-10  1.011123E+01
  4.978394E-07  6.829240E-10  2.524765E+01  3.428006E+10  3.218828E+18  2.487261E+12  1.680410E+10  1.747596E+10  3.554302E+07  1.654696E+07  5.208998E+07  2.014127E+16  5.634283E+18  2.086309E+15  4.019053E+14  1.782888E+13  1.420928E-01  3.711881E+15  4.007848E+02  3.607822E+17  3.917359E+16  8.028491E+13  8.349488E+13  1.637798E+14  3.248949E+02  6.751051E-03  1.343118E-02  3.182407E-10  1.011123E+01
  5.693910E-07  7.468506E-10  2.434738E+01  3.596912E+10  3.218828E+18  2.861749E+12  1.549903E+10  2.047008E+10  4.105768E+07  2.302799E+07  6.408567E+07  1.681474E+16  5.516900E+18  2.509743E+15  4.799649E+14  2.196541E+13  1.664372E-01  4.913766E+15  4.136373E+02  4.151024E+17  3.613123E+16  7.378334E+13  9.744807E+13  1.712314E+14  3.132801E+02  6.867199E-03  1.366226E-02  2.974854E-10  1.011123E+01
  6.459249E-07  7.815923E-10  2.351814E+01  3.762998E+10  3.218828E+18  3.247243E+12  1.410084E+10  2.352915E+10  4.644075E+07  3.103631E+07  7.747706E+07  1.414299E+16  5.400241E+18  2.969312E+15  5.639307E+14  2.647389E+13  1.913097E-01  6.326751E+15  4.182172E+02  4.710188E+17  3.287176E+16  6.689975E+13  1.116312E+14  1.785310E+14  3.026567E+02  6.973433E-03  1.387361E-02  2.789625E-10  1.011123E+01
  7.251901E-07  7.981753E-10  2.273400E+01  3.928669E+10  3.218827E+18  3.633356E+12  1.272787E+10  2.655882E+10  5.147696E+07  4.044689E+07  9.192384E+07  1.201492E+16  5.291565E+18  3.457769E+15  6.524380E+14  3.126455E+13  2.159431E-01  7.920765E+15  4.173671E+02  5.270251E+17  2.967111E+16  6.019516E+13  1.256072E+14  1.858023E+14  2.922833E+02  7.077167E-03  1.407999E-02  2.618792E-10  1.011123E+01
  8.049840E-07  7.959066E-10  2.201683E+01  4.092820E+10  3.218827E+18  4.007614E+12  1.143657E+10  2.949163E+10  5.602836E+07  5.101269E+07  1.070410E+08  1.021490E+16  5.173102E+18  3.961024E+15  7.426175E+14  3.624297E+13  2.397891E-01  9.636582E+15  4.127490E+02  5.813118E+17  2.666083E+16  5.392026E+13  1.390448E+14  1.929651E+14  2.832496E+02  7.167504E-03  1.425972E-02  2.467161E-10  1.011123E+01
  8.834764E-07  7.765297E-10  2.134171E+01  4.256288E+10  3.218827E+18  4.363143E+12  1.027491E+10  3.228797E+10  6.003864E+07  6.243409E+07  1.224727E+08  8.785700E+15  5.059381E+18  4.471737E+15  8.333017E+14  4.134445E+13  2.625254E-01  1.142221E+16  4.063005E+02  6.328818E+17  2.395276E+16  4.830318E+13  1.517884E+14  2.000915E+14  2.746716E+02  7.253284E-03  1.443038E-02  2.328093E-10  1.011123E+01
  9.594366E-07  7.437526E-10  2.069542E+01  4.418461E+10  3.218826E+18  4.694107E+12  9.249099E+09  3.493552E+10  6.351850E+07  7.442565E+07  1.379441E+08  7.684162E+15  4.958083E+18  4.981020E+15  9.230037E+14  4.652189E+13  2.840519E-01  1.322078E+16  3.988830E+02  6.808886E+17  2.156140E+16  4.336530E+13  1.637985E+14  2.071638E+14  2.660163E+02  7.339837E-03  1.460257E-02  2.197893E-10  1.011123E+01
