       Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13
   0.0000E+00   1.1554E+14   1.1411E+15   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   1.0583E-11   0.0000E+00   2.3312E+12   5.5216E+09   0.0000E+00   5.5216E+09
   1.0000E-19   1.1554E+14   1.1411E+15   3.2015E-06   8.0354E-07   6.2967E-09   1.8954E-18   7.8123E-18   1.0583E-11   1.6552E+01   2.3312E+12   5.5216E+09   1.2872E-03   5.5216E+09
   1.1000E-18   1.1554E+14   1.1411E+15   3.5216E-05   8.8389E-06   6.9263E-08   2.0850E-17   9.4529E-16   1.0583E-11   1.8207E+02   2.3312E+12   5.5216E+09   1.4159E-02   5.5216E+09
   1.1100E-17   1.1554E+14   1.1411E+15   3.5536E-04   8.9192E-05   6.9893E-07   2.1039E-16   9.6255E-14   1.0583E-11   1.8372E+03   2.3312E+12   5.5216E+09   1.4288E-01   5.5216E+09
   1.1110E-16   1.1554E+14   1.1411E+15   3.5568E-03   8.9272E-04   6.9955E-06   2.1058E-15   9.6427E-12   1.0583E-11   1.8389E+04   2.3312E+12   5.5216E+09   1.4301E+00   5.5216E+09
   1.1110E-15   1.1554E+14   1.1411E+15   3.5567E-02   8.9271E-03   6.9954E-05   2.1058E-14   9.6424E-10   1.0583E-11   1.8388E+05   2.3312E+12   5.5216E+09   1.4300E+01   5.5216E+09
   1.1098E-14   1.1554E+14   1.1411E+15   3.5531E-01   8.9179E-02   6.9883E-04   2.1036E-13   9.6226E-08   1.0583E-11   1.8369E+06   2.3312E+12   5.5216E+09   1.4286E+02   5.5216E+09
   1.0985E-13   1.1554E+14   1.1411E+15   3.5168E+00   8.8267E-01   6.9168E-03   2.0821E-12   9.4266E-06   1.0583E-11   1.8181E+07   2.3312E+12   5.5217E+09   1.4140E+03   5.5217E+09
   9.9739E-13   1.1555E+14   1.1412E+15   3.1937E+01   8.0158E+00   6.2813E-02   1.8906E-11   7.7724E-04   1.0586E-11   1.6509E+08   2.3315E+12   5.5223E+09   1.2839E+04   5.5223E+09
   5.4208E-12   1.1561E+14   1.1418E+15   1.7371E+02   4.3599E+01   3.4165E-01   1.0278E-10   2.2971E-02   1.0602E-11   8.9751E+08   2.3326E+12   5.5250E+09   6.9798E+04   5.5251E+09
