Time_s      	Field_Td
0.0	        15.13522
7.02576E-6	30.52288
1.52225E-5	48.19969
2.45902E-5	67.87603
3.27869E-5	84.49968
4.09836E-5	100.43998
4.91803E-5	115.43724
5.50351E-5	125.29767
5.97190E-5	132.46205
6.44028E-5	138.77855
6.67447E-5	141.5243
7.02576E-5	145.09904
7.37705E-5	148.14193
7.96253E-5	152.22503
8.54801E-5	155.23994
9.25059E-5	157.69585
9.71897E-5	158.75438
1.06557E-4	159.77012
1.14754E-4	159.55758
1.21780E-4	158.65946
1.28806E-4	157.11704
1.37002E-4	154.35376
1.48712E-4	148.13891
1.60422E-4	138.88766
1.73302E-4	125.02365
1.88525E-4	103.87548
2.07260E-4	71.67468
2.22482E-4	41.7155
2.42389E-4	0.57491
2.50000e-4	15.13522

