          TIME           E/N             E             N            N2         N2(A)         N2(B)        N2(A')         N2(C)           N^+          N2^+          N3^+          N4^+
   7.02576E-06   2.28291E+01   9.72588E+05   1.60180E-23   2.44746E+19   2.85688E+04   3.94916E+00   3.39330E+01   3.93593E-02   3.28588E-55   7.01395E-17   1.07419E-27   1.40062E-11
   1.52225E-05   3.93613E+01   1.67992E+06   6.69079E-09   2.44746E+19   8.33499E+07   1.00340E+04   1.79449E+05   1.09945E+03   3.37730E-27   7.05048E-03   5.57905E-10   1.86717E+02
   2.45902E-05   5.80379E+01   2.70986E+06   1.04266E-03   2.44746E+19   5.14371E+09   5.47084E+05   1.73848E+07   1.83999E+05   2.64257E-18   1.65926E+02   8.35823E-04   4.30154E+05
   3.27869E-05   7.61879E+01   3.29342E+06   5.96942E+00   2.44746E+19   3.87517E+10   4.26996E+06   1.93447E+08   2.48869E+06   1.38696E-12   1.66905E+05   5.77295E+00   1.89865E+07
   4.09836E-05   9.24698E+01   1.40914E+06   1.59973E+03   2.44746E+19   7.67720E+10   5.15936E+06   2.87862E+08   4.03452E+06   2.61402E-09   1.69832E+07   1.59029E+03   6.80475E+07
   4.91803E-05   1.07939E+02   1.19630E+06   5.36075E+04   2.44746E+19   1.40354E+11   8.87550E+06   5.68688E+08   8.36425E+06   2.99593E-07   2.90322E+08   5.34712E+04   3.12125E+07
   5.50351E-05   1.20367E+02   4.99630E+06   7.30863E+05   2.44746E+19   4.41417E+11   5.65546E+07   3.93919E+09   5.94892E+07   4.00623E-05   2.02771E+09   7.28444E+05   8.74344E+06
   5.97190E-05   1.28880E+02   1.12512E+07   6.23323E+06   2.44746E+19   1.12589E+12   1.62050E+08   1.18207E+10   1.81106E+08   1.72844E-03   7.18674E+09   6.21524E+06   2.91702E+06
   6.44028E-05   1.35620E+02   1.98994E+07   4.38393E+07   2.44746E+19   2.54127E+12   3.41011E+08   2.56382E+10   3.96924E+08   4.51236E-02   2.02522E+10   4.37418E+07   1.15286E+06
   6.67447E-05   1.40151E+02   2.95123E+07   1.02314E+08   2.44746E+19   3.69065E+12   5.62990E+08   4.31197E+10   6.71624E+08   2.01452E-01   3.23827E+10   1.02106E+08   4.69817E+05
   7.02576E-05   1.43312E+02   3.75940E+07   3.42611E+08   2.44746E+19   6.02038E+12   7.77520E+08   6.00476E+10   9.40641E+08   1.39440E+00   5.91757E+10   3.42051E+08   3.23619E+05
   7.37705E-05   1.46620E+02   4.35645E+07   9.55697E+08   2.44746E+19   8.82655E+12   9.82616E+08   7.63367E+10   1.20350E+09   7.08324E+00   9.49236E+10   9.54509E+08   1.83272E+05
   7.96253E-05   1.50183E+02   4.79358E+07   3.68485E+09   2.44746E+19   1.40220E+13   1.21608E+09   9.39877E+10   1.49724E+09   5.59001E+01   1.69833E+11   3.68230E+09   1.04488E+05
   8.54801E-05   1.53732E+02   5.03961E+07   1.00451E+10   2.44746E+19   1.93000E+13   1.45081E+09   1.11053E+11   1.78836E+09   2.63848E+02   2.57899E+11   1.00431E+10   4.96208E+04
