         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11
   0.000000E+00   9.7259E+05   0.0000E+00   2.4475E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   7.025760E-06   9.7259E+05   1.6018E-23   2.4475E+19   2.8569E+04   3.9492E+00   3.3933E+01   3.9359E-02   3.2859E-55   7.0140E-17   1.0742E-27   1.4006E-11
   1.522250E-05   1.6799E+06   6.6908E-09   2.4475E+19   8.3350E+07   1.0034E+04   1.7945E+05   1.0995E+03   3.3773E-27   7.0505E-03   5.5791E-10   1.8672E+02
   2.459020E-05   2.7099E+06   1.0427E-03   2.4475E+19   5.1437E+09   5.4708E+05   1.7385E+07   1.8400E+05   2.6426E-18   1.6593E+02   8.3582E-04   4.3015E+05
   3.278690E-05   3.2934E+06   5.9694E+00   2.4475E+19   3.8752E+10   4.2700E+06   1.9345E+08   2.4887E+06   1.3870E-12   1.6691E+05   5.7729E+00   1.8987E+07
   4.098360E-05   1.4091E+06   1.5997E+03   2.4475E+19   7.6772E+10   5.1594E+06   2.8786E+08   4.0345E+06   2.6140E-09   1.6983E+07   1.5903E+03   6.8047E+07
   4.918030E-05   1.1963E+06   5.3607E+04   2.4475E+19   1.4035E+11   8.8755E+06   5.6869E+08   8.3643E+06   2.9959E-07   2.9032E+08   5.3471E+04   3.1212E+07
   5.503510E-05   4.9963E+06   7.3086E+05   2.4475E+19   4.4142E+11   5.6555E+07   3.9392E+09   5.9489E+07   4.0062E-05   2.0277E+09   7.2844E+05   8.7434E+06
   5.971900E-05   1.1251E+07   6.2332E+06   2.4475E+19   1.1259E+12   1.6205E+08   1.1821E+10   1.8111E+08   1.7284E-03   7.1867E+09   6.2152E+06   2.9170E+06
   6.440280E-05   1.9899E+07   4.3839E+07   2.4475E+19   2.5413E+12   3.4101E+08   2.5638E+10   3.9692E+08   4.5124E-02   2.0252E+10   4.3742E+07   1.1529E+06
   6.674470E-05   2.9512E+07   1.0231E+08   2.4475E+19   3.6906E+12   5.6299E+08   4.3120E+10   6.7162E+08   2.0145E-01   3.2383E+10   1.0211E+08   4.6982E+05
   7.025760E-05   3.7594E+07   3.4261E+08   2.4475E+19   6.0204E+12   7.7752E+08   6.0048E+10   9.4064E+08   1.3944E+00   5.9176E+10   3.4205E+08   3.2362E+05
   7.377050E-05   4.3564E+07   9.5570E+08   2.4475E+19   8.8265E+12   9.8262E+08   7.6337E+10   1.2035E+09   7.0832E+00   9.4924E+10   9.5451E+08   1.8327E+05
   7.962530E-05   4.7936E+07   3.6848E+09   2.4475E+19   1.4022E+13   1.2161E+09   9.3988E+10   1.4972E+09   5.5900E+01   1.6983E+11   3.6823E+09   1.0449E+05
   8.548010E-05   5.0396E+07   1.0045E+10   2.4475E+19   1.9300E+13   1.4508E+09   1.1105E+11   1.7884E+09   2.6385E+02   2.5790E+11   1.0043E+10   4.9621E+04
   9.250590E-05   4.9798E+07   2.4824E+10   2.4475E+19   2.4916E+13   1.6378E+09   1.2286E+11   2.0025E+09   1.0273E+03   3.6779E+11   2.4834E+10   2.8433E+04
   9.718970E-05   4.6938E+07   3.9795E+10   2.4475E+19   2.7890E+13   1.6914E+09   1.2505E+11   2.0537E+09   2.0828E+03   4.3666E+11   3.9831E+10   1.8655E+04
   1.065570E-04   4.1211E+07   8.1227E+10   2.4475E+19   3.1573E+13   1.6849E+09   1.2091E+11   2.0087E+09   5.5415E+03   5.4828E+11   8.1393E+10   1.6462E+04
   1.147540E-04   3.3110E+07   1.2689E+11   2.4475E+19   3.2493E+13   1.5066E+09   1.0526E+11   1.7654E+09   9.8008E+03   6.1173E+11   1.2730E+11   1.6014E+04
   1.217800E-04   2.5075E+07   1.6907E+11   2.4475E+19   3.1789E+13   1.2563E+09   8.5337E+10   1.4441E+09   1.3374E+04   6.3875E+11   1.6981E+11   2.0210E+04
   1.288060E-04   1.7519E+07   2.1054E+11   2.4475E+19   3.0017E+13   9.8047E+08   6.4450E+10   1.1019E+09   1.6061E+04   6.4322E+11   2.1171E+11   3.0803E+04
   1.370020E-04   1.0752E+07   2.5481E+11   2.4475E+19   2.7184E+13   6.9873E+08   4.4058E+10   7.6337E+08   1.7595E+04   6.2889E+11   2.5660E+11   6.2148E+04
   1.487120E-04   5.0981E+06   3.0758E+11   2.4475E+19   2.2850E+13   4.2024E+08   2.4994E+10   4.4164E+08   1.6983E+04   5.9237E+11   3.1041E+11   2.5794E+05
