       Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36
   0.0000E+00   2.8581E+08   7.1145E+08   2.7962E+08   2.9347E+09   1.4816E+08   1.0617E+07   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   7.0258E-06   2.8581E+08   7.1145E+08   2.7962E+08   2.9347E+09   1.4816E+08   1.0617E+07   0.0000E+00   3.8777E-06   4.6058E-08   3.3166E-58   3.3882E-18   4.0098E-29   5.4456E-12   1.2882E-87   2.2482E-45   9.7755E-52   6.0114E-22   7.4593E-49   1.4404E-06   1.1356E-60   2.2435E-45   1.4404E-06   1.4284E+04   5.1339E+05   3.3933E+03   9.8398E+05   9.1523E-31   2.0976E+08   2.4485E-01   1.2243E-01   1.9331E+08   2.8996E+09   1.5779E+08   9.6330E+06   1.0675E-59   1.5071E-59
   1.5223E-05   5.4192E+11   1.6594E+12   9.2564E+11   6.9978E+12   5.6540E+11   2.9657E+11   2.2780E+07   5.9828E+01   1.2881E+00   5.4180E-30   5.7569E-04   3.4988E-11   1.2176E+02   5.5305E-45   1.2492E-17   5.5014E-23   1.7630E-04   2.3668E-20   7.6012E+07   2.4637E-28   1.2493E-17   5.3233E+07   4.1675E+07   1.3044E+09   1.7945E+07   2.7486E+10   1.1154E-12   6.1199E+11   2.0842E+06   1.0421E+06   4.9116E+11   7.3673E+12   8.3447E+11   2.6909E+11   1.8626E-30   2.6296E-30
   2.4590E-05   2.4059E+13   8.1472E+13   5.4055E+13   3.4309E+14   3.5811E+13   4.9629E+13   4.5917E+10   3.5769E+05   1.2089E+04   5.7167E-21   2.0860E+01   7.9651E-05   4.2472E+05   6.7435E-31   4.4843E-09   2.9239E-13   2.5604E+02   6.7251E-11   7.9082E+11   5.7517E-17   4.4850E-09   7.4492E+11   2.5719E+09   7.1121E+10   1.7385E+09   4.6000E+12   1.0726E-05   3.7767E+13   7.9373E+09   3.9687E+09   2.6779E+13   4.0169E+14   8.0843E+13   4.5033E+13   4.5232E-20   6.3857E-20
   3.2787E-05   1.6032E+14   5.7192E+14   4.1576E+14   2.3825E+15   2.9049E+14   6.7109E+14   2.2842E+12   2.9986E+07   1.4969E+06   2.5698E-15   2.3284E+04   5.9500E-01   2.0134E+07   2.0263E-21   1.1351E-03   2.3829E-06   1.9404E+06   3.2785E-04   3.7057E+14   2.2744E-09   1.1334E-03   3.6831E+14   1.9376E+10   5.5509E+11   1.9345E+10   6.2217E+13   4.6265E-01   2.8453E+14   4.5051E+11   2.2525E+11   2.0901E+14   3.1352E+15   8.9956E+14   6.0910E+14   1.4826E-12   2.0931E-12
   4.0984E-05   1.7213E+14   6.3277E+14   4.8516E+14   2.6002E+15   3.5122E+14   1.0874E+15   8.0372E+12   8.8399E+07   3.3146E+06   1.4309E-12   9.2064E+05   6.1985E+01   2.7087E+07   1.0235E-15   1.1742E+00   8.6466E-02   3.9115E+08   8.0914E+00   2.0113E+16   1.6791E-04   1.0886E+00   2.0106E+16   3.8386E+10   6.7072E+11   2.8786E+10   1.0086E+14   2.4563E+02   5.6369E+14   1.7682E+12   8.8409E+11   2.5255E+14   3.7882E+15   1.3386E+15   9.8744E+14   1.0648E-07   1.5032E-07
   4.9180E-05   2.6940E+14   1.0111E+15   8.0436E+14   4.0928E+15   5.9750E+14   2.2533E+15   2.8860E+13   3.1927E+08   1.2936E+07   9.9401E-11   1.2240E+07   1.5814E+03   9.3642E+06   3.9307E-12   8.0066E+01   6.3427E+01   1.2224E+10   4.3388E+03   1.9956E+17   1.8919E-01   1.6732E+01   1.9956E+17   7.0177E+10   1.1538E+12   5.6869E+10   2.0911E+14   1.5048E+04   1.0305E+15   5.9097E+12   2.9549E+12   4.3445E+14   6.5167E+15   2.6445E+15   2.0471E+15   1.1957E-04   1.6880E-04
   5.5035E-05   1.6081E+15   6.1150E+15   4.9802E+15   2.4437E+16   3.7601E+15   1.6018E+16   2.9302E+14   6.9553E+09   6.2069E+08   4.4338E-08   3.3678E+08   8.3480E+04   1.0119E+07   7.1662E-09   7.2942E+03   7.2508E+03   2.6852E+11   3.9721E+05   9.3235E+17   3.5138E+01   6.3903E+01   9.3235E+17   2.2071E+11   7.3521E+12   3.9392E+11   1.4872E+15   6.4523E+05   3.2411E+15   5.8455E+13   2.9227E+13   2.7683E+15   4.1525E+16   1.8318E+16   1.4560E+16   2.2225E-02   3.1376E-02
   5.9719E-05   4.4192E+15   1.6934E+16   1.3982E+16   6.7061E+16   1.0654E+16   4.8663E+16   1.1013E+15   5.3235E+10   5.5892E+09   3.7714E-06   2.5966E+09   1.5344E+06   7.2534E+06   2.6368E-06   2.4579E+05   2.4655E+05   2.4274E+12   1.1748E+07   2.5507E+18   2.5569E+03   1.8182E+02   2.5507E+18   5.6295E+11   2.1067E+13   1.1821E+12   4.5276E+15   1.4036E+07   8.2667E+15   3.8029E+14   1.9015E+14   7.9322E+15   1.1898E+17   5.4969E+16   4.4325E+16   1.6166E+00   2.2822E+00
   6.4403E-05   8.9806E+15   3.4604E+16   2.8851E+16   1.3604E+17   2.2123E+16   1.0610E+17   2.7969E+15   2.6061E+11   2.6293E+10   1.5837E-04   1.2626E+10   1.8505E+07   4.9029E+06   4.8415E-04   5.3206E+06   5.3423E+06   1.5440E+13   2.2939E+08   5.9072E+18   1.2656E+05   5.0541E+02   5.9072E+18   1.2706E+12   4.4331E+13   2.5638E+12   9.9231E+15   2.2281E+08   1.8659E+16   1.9374E+15   9.6870E+14   1.6692E+16   2.5038E+17   1.1922E+17   9.7146E+16   7.9964E+01   1.1289E+02
