Flow,Power,CO2,H2,Ar,CO,CH4,H2O,TI-1,TI-2,TI-3,TI-4,TI-5,TI-6,TI-7,TI-8,TI-9,TI-10,TI-11,TI-12,TI-13,TI-14,TI-15,TI-16
89.4,151.2,0.07867438,0.471501812,0.043418532,0.139105161,0.042731651,0.224568463,563.5,621.9,679.5,709.5,750.5,750.1,778.3,774.9,775.2,746.5,743.4,715.2,686.5,644.9,589.4,564.1
89.4,151.6,0.078480643,0.470365257,0.043455505,0.139058573,0.043193816,0.225446205,551.3,607.9,664,692.9,733.9,732.9,761.3,757.8,757.5,728.9,726.2,698.2,670,629.2,574.9,550.9
89.6,152.4,0.078760309,0.470378474,0.043465954,0.138710988,0.043324429,0.225359846,547,602.7,658,686.2,727,725.7,754.1,750.3,749.9,721.4,719,691.2,663.4,623.3,569.7,546.3
89.6,122.8,0.088548187,0.475146428,0.043662814,0.127643521,0.045785176,0.219213874,477.8,525.1,573.9,599.5,638.2,638.5,664.7,662.2,659.7,634.6,631.9,605.4,579.2,541.9,491.5,468.5
89.6,123.4,0.088578911,0.474790826,0.043677964,0.127514322,0.045974551,0.219463425,474,520.4,568.3,593,631.5,631.3,657.5,654.9,652.3,627.4,625.1,598.9,573.3,536.5,487,464.7
89.6,123.4,0.088329112,0.474386305,0.043684032,0.127724682,0.046050396,0.219825474,472,517.8,565.2,589.5,627.7,627.2,653.4,650.6,648.1,623.3,621.4,595.4,570.2,533.9,485,463.1
89.6,95.4,0.098652974,0.477596455,0.043963001,0.115587522,0.049537509,0.21466254,414.9,454.1,494.5,514.9,548.9,549.7,573.6,572.3,569,547.9,545.3,520.5,495.4,459.5,411.4,388.3
89.6,95.4,0.099527898,0.477529047,0.043999955,0.114472395,0.049999437,0.214471268,409.3,447.5,486.6,505.9,539.2,539.3,562.9,561.3,557.9,537.1,535,510.4,485.8,450.6,403.5,381.3
89.6,95.4,0.099626212,0.476519044,0.044043418,0.114091568,0.050542729,0.215177027,406.3,443.8,482.2,501,533.6,533.3,556.7,555,551.5,531,529.2,504.9,480.5,446,399.4,377.9
89.6,70.7,0.113495873,0.475860356,0.044613158,0.096518603,0.057664469,0.211847541,343.3,376.6,411.5,429,455.5,454.5,475,472,464.9,446.4,442.3,418.2,393.5,360.3,318,297.8
89.6,70.7,0.115700888,0.474798861,0.044741256,0.093480948,0.059265699,0.212012347,338.3,370.7,405,422.2,448.3,446.7,467.3,463.8,456.1,437.2,433.2,409.1,384.8,352.4,311.2,291.9
89.6,71,0.11647291,0.473263056,0.044831759,0.092120657,0.060396987,0.212914631,335.4,367.3,401.1,418.2,443.7,442,462.5,458.9,450.7,431.7,427.7,403.8,379.8,347.9,307.5,288.7
600,151.24,0.071149865,0.466328032,0.043326346,0.147228883,0.04157933,0.230387543,444.10,504.70,572.00,616.50,674.10,688.40,706.70,730.30,728.40,708.30,715.00,695.40,676.90,645.20,601.10,584.20
600,152.38,0.071676295,0.466928589,0.043323439,0.146721349,0.041542993,0.229807335,440.00,500.10,566.80,611.00,668.80,683.20,702.20,726.50,725.70,706.40,713.90,694.70,676.80,645.30,601.30,584.50
1000,149.72,0.071239803,0.465760533,0.043352128,0.146971364,0.041901603,0.23077457,438.30,498.10,564.50,608.30,666.20,680.60,699.80,724.30,724.10,705.20,713.20,694.20,676.60,645.10,601.10,584.50
1000,148.58,0.072039531,0.467001008,0.043334844,0.146283982,0.041685551,0.229655084,437.50,497.20,563.40,607.00,664.90,679.30,698.60,723.20,723.20,704.40,712.50,693.70,676.20,644.70,600.80,584.00
1000,145.92,0.071763252,0.466220028,0.043354636,0.146431613,0.041932953,0.230297519,386.40,445.70,516.50,567.80,631.60,654.80,680.10,708.60,713.10,698.00,708.30,692.00,677.10,648.70,607.80,593.00
2000,145.92,0.085122302,0.474326604,0.043560616,0.131733697,0.044507695,0.220749087,367.40,424.60,494.90,546.40,611.90,636.40,664.10,694.90,702.80,690.30,702.80,688.00,674.60,647.30,607.00,592.50
2000,145.92,0.084383219,0.472409309,0.04360682,0.132172452,0.04508525,0.222342951,366.80,423.70,493.90,545.40,610.60,635.30,662.80,693.70,701.80,689.70,702.10,687.50,674.00,646.90,606.50,591.80
2000,145.16,0.085159737,0.473531577,0.043593261,0.131484065,0.044915764,0.221315594,328.80,378.20,441.80,496.10,560.60,597.20,633.60,671.10,688.00,680.60,695.20,683.20,672.40,648.30,611.60,600.00
3000,142.88,0.135255053,0.524965681,0.04354076,0.081730009,0.044259496,0.170249001,259.70,297.60,350.80,402.20,468.20,509.00,554.30,600.40,629.60,632.90,656.20,651.00,647.50,628.90,597.40,588.20
3000,141.74,0.13593163,0.526234008,0.043517554,0.081204271,0.043969422,0.169143115,227.10,257.40,299.60,343.10,395.40,435.10,482.80,534.00,576.40,588.90,617.00,617.40,619.40,605.90,579.60,573.30
3000,141.74,0.135462747,0.524880145,0.043552259,0.08144757,0.044403236,0.170254043,219.80,248.20,288.40,330.60,381.60,419.90,467.30,518.20,561.10,574.60,604.00,605.40,608.30,596.20,571.20,565.40
