name,value
"C[0.0,CO2]",0.005151
"C[0.0,H2]",0.020605
"C[2.5,CO2]",0.004914
"C[2.5,H2]",0.019656
"C[5.0,CO2]",0.004698
"C[5.0,H2]",0.018793
"C[7.5,CO2]",0.004501
"C[7.5,H2]",0.018004
"C[10.0,CO2]",0.00432
"C[10.0,H2]",0.01728
"C[12.5,CO2]",0.004153
"C[12.5,H2]",0.016613
"C[15.0,CO2]",0.003999
"C[15.0,H2]",0.015997
"C[17.5,CO2]",0.003857
"C[17.5,H2]",0.015426
"C[20.0,CO2]",0.003724
"C[20.0,H2]",0.014896
"C[22.5,CO2]",0.0036
"C[22.5,H2]",0.014401
"C[25.0,CO2]",0.003485
"C[25.0,H2]",0.013939
"C[27.5,CO2]",0.003377
"C[27.5,H2]",0.013506
"C[30.0,CO2]",0.003275
"C[30.0,H2]",0.0131
"C[32.5,CO2]",0.00318
"C[32.5,H2]",0.012719
"C[35.0,CO2]",0.00309
"C[35.0,H2]",0.012359
"C[37.5,CO2]",0.003005
"C[37.5,H2]",0.01202
"C[40.0,CO2]",0.002925
"C[40.0,H2]",0.0117
"C[42.5,CO2]",0.002849
"C[42.5,H2]",0.011396
"C[45.0,CO2]",0.002777
"C[45.0,H2]",0.011108
"C[47.5,CO2]",0.002709
"C[47.5,H2]",0.010835
"C[50.0,CO2]",0.002644
"C[50,CO2]",0.002644
"C[50.0,H2]",0.010576
"C[50,H2]",0.010576
Ci[CH4],0.0
Ci[CO2],0.005151
Ci[CO],0.0
Ci[H2O],0.0
Ci[H2],0.020605
T[0.0],473.15
T[2.5],496.57
T[5.0],519.97
T[7.5],543.34
T[10.0],566.69
T[12.5],590.03
T[15.0],613.34
T[17.5],636.64
T[20.0],659.93
T[22.5],683.2
T[25.0],706.46
T[27.5],729.71
T[30.0],752.95
T[32.5],776.17
T[35.0],799.39
T[37.5],822.6
T[40.0],845.79
T[42.5],868.98
T[45.0],892.17
T[47.5],915.34
T[50.0],938.51
T[50],938.51
V[0.0],1359.407997
V[2.5],1426.636465
V[5.0],1493.711905
V[7.5],1560.641278
V[10.0],1627.430659
V[12.5],1694.08539
V[15.0],1760.610191
V[17.5],1827.00926
V[20.0],1893.286348
V[22.5],1959.44482
V[25.0],2025.487712
V[27.5],2091.417774
V[30.0],2157.237503
V[32.5],2222.94918
V[35.0],2288.554889
V[37.5],2354.056546
V[40.0],2419.455917
V[42.5],2484.75463
V[45.0],2549.954197
V[47.5],2615.056018
V[50.0],2680.0614
V[50],2680.0614
cp_avg[0.0],30.46
cp_avg[2.5],30.46
cp_avg[5.0],30.46
cp_avg[7.5],30.46
cp_avg[10.0],30.46
cp_avg[12.5],30.46
cp_avg[15.0],30.46
cp_avg[17.5],30.46
cp_avg[20.0],30.46
cp_avg[22.5],30.46
cp_avg[25.0],30.46
cp_avg[27.5],30.46
cp_avg[30.0],30.46
cp_avg[32.5],30.46
cp_avg[35.0],30.46
cp_avg[37.5],30.46
cp_avg[40.0],30.46
cp_avg[42.5],30.46
cp_avg[45.0],30.46
cp_avg[47.5],30.46
cp_avg[50.0],30.46
cp_avg[50],30.46
rho[0.0],0.025756
rho[2.5],0.024571
rho[5.0],0.023492
rho[7.5],0.022505
rho[10.0],0.0216
rho[12.5],0.020767
rho[15.0],0.019997
rho[17.5],0.019283
rho[20.0],0.018619
rho[22.5],0.018001
rho[25.0],0.017424
rho[27.5],0.016883
rho[30.0],0.016376
rho[32.5],0.015899
rho[35.0],0.015449
rho[37.5],0.015025
rho[40.0],0.014624
rho[42.5],0.014245
rho[45.0],0.013886
rho[47.5],0.013544
rho[50.0],0.013219
rho[50],0.013219
"z[0.0,CO2]",0.2
"z[0.0,H2]",0.8
"z[2.5,CO2]",0.2
"z[2.5,H2]",0.8
"z[5.0,CO2]",0.2
"z[5.0,H2]",0.8
"z[7.5,CO2]",0.2
"z[7.5,H2]",0.8
"z[10.0,CO2]",0.2
"z[10.0,H2]",0.8
"z[12.5,CO2]",0.2
"z[12.5,H2]",0.8
"z[15.0,CO2]",0.2
"z[15.0,H2]",0.8
"z[17.5,CO2]",0.2
"z[17.5,H2]",0.8
"z[20.0,CO2]",0.2
"z[20.0,H2]",0.8
"z[22.5,CO2]",0.2
"z[22.5,H2]",0.8
"z[25.0,CO2]",0.2
"z[25.0,H2]",0.8
"z[27.5,CO2]",0.2
"z[27.5,H2]",0.8
"z[30.0,CO2]",0.2
"z[30.0,H2]",0.8
"z[32.5,CO2]",0.2
"z[32.5,H2]",0.8
"z[35.0,CO2]",0.2
"z[35.0,H2]",0.8
"z[37.5,CO2]",0.2
"z[37.5,H2]",0.8
"z[40.0,CO2]",0.2
"z[40.0,H2]",0.8
"z[42.5,CO2]",0.2
"z[42.5,H2]",0.8
"z[45.0,CO2]",0.2
"z[45.0,H2]",0.8
"z[47.5,CO2]",0.2
"z[47.5,H2]",0.8
"z[50.0,CO2]",0.2
"z[50,CO2]",0.2
"z[50.0,H2]",0.8
"z[50,H2]",0.8
