label,T [degC],P [bar],W_cat [g],Time [h],N_Gly [mmol],N_KOH [mmol],N_H2 [mmol],N_LA [mmol],N_PDO [mmol],N_FA [mmol],N_GA [mmol],N_ME [mmol],N_EG [mmol]
time,200,15.518495374530836,0.3,0.0,250.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,200,59.476670905455634,0.3,0.5,118.0,251.03413878398501,115.9317224320299,114.0776736,12.0512207796949,5.42953040800748,4.458657208007479,0.9270118122976249,0.9270118122976249
time,200,81.90707895630749,0.3,1.0,44.75000000000002,184.8310704408263,175.0878591183474,174.25000467499999,20.94594836444915,8.20945694208686,7.70946794208686,2.0945845184640026,2.0945845184640026
time,200,86.89781100920041,0.3,1.5,30.0,170.87499472396016,188.25001055207971,188.24999599999998,21.828119564455154,8.187501638019924,7.687507638019924,1.9843797975249082,1.9843797975249082
time,200,92.6545417860498,0.3,2.0,13.999999999999986,155.28382759205633,203.4323448158873,201.2499912,22.830920134406618,9.608082803971827,8.858098403971828,2.6859980616215746,2.6859980616215746
time,200,92.35226888764149,0.3,2.5,5.0,151.182422589844,202.63515482031198,203.7500115,28.98649218554596,10.783776955077995,9.283788955077995,2.2297133593760488,2.2297133593760488
temp,170,39.22742281631656,0.3,2.0,139.75,275.72560367788407,88.29879264423181,92.250000675,13.609761726042246,3.7622007235579575,3.2621949235579577,0.8780397753998046,0.8780397753998046
temp,180,56.81192245725248,0.3,2.0,88.25,229.63636736057794,128.9772652788441,135.999998475,19.66363477442203,4.931809794711017,4.431824369711017,1.4045496683669425,1.4045496683669425
temp,190,73.4378511311259,0.3,2.0,47.25000000000002,191.54024363305638,164.1695127338872,168.49998992500002,24.408048386148483,8.229885883471798,6.729880558471798,2.3620784678797095,2.3620784678797095
temp,200,92.6545417860498,0.3,2.0,13.999999999999986,155.28382759205633,203.4323448158873,201.2499912,22.830920134406618,9.608082803971827,8.858098403971828,2.6859980616215746,2.6859980616215746
cat,200,74.40403681087963,0.2,2.0,43.99999999999998,194.35002746808766,155.29994506382465,163.7499974,32.22791227382518,8.574988365956166,8.324986765956165,1.5721027602186712,1.5721027602186712
cat,200,83.58433615666388,0.25,2.0,27.749999999999986,174.1193394732609,179.51132105347816,181.75000480000003,29.306540281964722,9.690321263369528,9.44033446336953,1.6281270546657307,1.6281270546657307
cat,200,92.6545417860498,0.3,2.0,13.999999999999986,155.28382759205633,203.4323448158873,201.2499912,22.830920134406618,9.608082803971827,8.858098403971828,2.6859980616215746,2.6859980616215746
cat,200,97.42398650940311,0.35,2.0,5.0,144.49455449160982,216.01089101678033,213.25000899999998,21.05163659871536,8.8777162541951,8.3777202541951,2.070636147089559,2.070636147089559
