label,T [degC],P [bar],W_cat [g],Time [h],N_Gly [mmol],N_KOH [mmol],N_H2 [mmol],N_LA [mmol],N_PDO [mmol],N_FA [mmol],N_GA [mmol],N_ME [mmol],N_EG [mmol]
time,200,15.51849537,0.3,0,250,375,0,0,0,0,0,0,0
time,200,59.47667091,0.3,0.5,118,251.0341388,115.9317224,114.0776736,12.05122078,5.429530408,4.458657208,0.927011812,0.927011812
time,200,81.90707896,0.3,1,44.75,184.8310704,175.0878591,174.2500047,20.94594836,8.209456942,7.709467942,2.094584518,2.094584518
time,200,86.89781101,0.3,1.5,30,170.8749947,188.2500106,188.249996,21.82811956,8.187501638,7.687507638,1.984379798,1.984379798
time,200,92.65454179,0.3,2,14,155.2838276,203.4323448,201.2499912,22.83092013,9.608082804,8.858098404,2.685998062,2.685998062
time,200,92.35226889,0.3,2.5,5,151.1824226,202.6351548,203.7500115,28.98649219,10.78377696,9.283788955,2.229713359,2.229713359
temp,200,15.51849537,0.3,0,250,375,0,0,0,0,0,0,0
temp,170,39.22742282,0.3,2,139.75,275.7256037,88.29879264,92.25000068,13.60976173,3.762200724,3.262194924,0.878039775,0.878039775
temp,180,56.81192246,0.3,2,88.25,229.6363674,128.9772653,135.9999985,19.66363477,4.931809795,4.43182437,1.404549668,1.404549668
temp,190,73.43785113,0.3,2,47.25,191.5402436,164.1695127,168.4999899,24.40804839,8.229885883,6.729880558,2.362078468,2.362078468
temp,200,92.65454179,0.3,2,14,155.2838276,203.4323448,201.2499912,22.83092013,9.608082804,8.858098404,2.685998062,2.685998062
cat,200,74.40403681,0.2,2,44,194.3500275,155.2999451,163.7499974,32.22791227,8.574988366,8.324986766,1.57210276,1.57210276
cat,200,83.58433616,0.25,2,27.75,174.1193395,179.5113211,181.7500048,29.30654028,9.690321263,9.440334463,1.628127055,1.628127055
cat,200,92.65454179,0.3,2,14,155.2838276,203.4323448,201.2499912,22.83092013,9.608082804,8.858098404,2.685998062,2.685998062
cat,200,97.42398651,0.35,2,5,144.4945545,216.010891,213.250009,21.0516366,8.877716254,8.377720254,2.070636147,2.070636147
