T,GHSV,X_CO2_data,S_CH4_data,S_CO_data
400,100000,24.0912553,82.30526836,17.69473164
400,120000,21.56557871,81.56259973,18.43740027
400,140000,19.18383845,80.46725183,19.53274817
400,160000,17.4926532,81.68751114,18.31248886
400,180000,14.92464144,80.91350298,19.08649702
400,200000,13.95913462,79.11987759,20.88012241
500,100000,58.97731823,82.45602118,17.54397882
500,120000,57.87798628,77.94479812,22.05520188
500,140000,60.04977381,77.49177911,22.50822089
500,160000,55.14422576,73.85758809,26.14241191
500,180000,52.80985107,74.64055953,25.35944047
500,200000,54.10512728,71.84281351,28.15718649
600,100000,58.54746804,51.82438812,48.17561188
600,120000,60.26346657,48.12321293,51.87678707
600,140000,59.0628616,49.73524277,50.26475723
600,160000,57.15880326,44.0729651,55.9270349
600,180000,55.79268429,42.70042434,57.29957566
600,200000,59.00682518,42.9561304,57.0438696
700,100000,63.9674211,8.848501016,91.15149898
700,120000,68.9995129,0.044705293,99.95529471
700,140000,69.88941717,9.894314744,90.10568526
700,160000,67.83308595,5.12716219,94.87283781
700,180000,66.21554635,1.545947706,98.45405229
700,200000,64.30821759,3.467043294,96.53295671
800,100000,70.73770697,0,100
800,120000,74.82258282,0,100
800,140000,76.17682063,7.771400855,92.22859914
800,160000,71.67677498,6.917376853,93.08262315
800,180000,77.85310003,8.989384488,91.01061551
800,200000,77.7443831,4.281535845,95.71846415
