grid,velocity,spread_rate,lambda,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_AR,X_N2
0,0.0530381773,9.49325823e-24,-0.386669652,300,1.1312606,-9.52147554e-17,-1.83281931e-20,-7.10296135e-22,0.191780822,-2.2669835e-20,2.27520264e-14,3.21335622e-21,-8.66427361e-23,-4.6233622e-20,7.51641497e-35,6.26150854e-20,6.87745789e-35,3.06092043e-19,0.0867579909,4.17595037e-19,1.58292345e-16,1.08146001e-29,1.67901081e-21,-1.29779215e-44,3.38805716e-33,3.48258253e-22,3.40659313e-20,5.53300202e-22,-3.06272271e-20,6.85455597e-22,-4.52547234e-31,-8.6395709e-20,-2.14404748e-42,1.46256313e-28,1.75993419e-29,0.00913242009,0.712328767
0.01,0.0523937278,0.064444942,-0.386669652,300,1.1312606,-7.42025613e-16,4.71044403e-26,-1.24419525e-20,0.191780822,-7.08871864e-24,5.55005719e-13,8.50037023e-20,-1.00221965e-22,-1.49169309e-27,5.70146614e-43,4.12352797e-26,1.64895642e-33,7.50021631e-18,0.0867579909,1.10705155e-17,5.46201115e-15,3.74372966e-28,5.85903591e-20,-4.56055849e-43,1.19060273e-31,6.18830535e-22,6.66528175e-28,3.03078011e-22,-7.00685457e-27,1.32651178e-21,-1.65032535e-29,-3.65182989e-18,-4.69862899e-41,2.38719952e-28,1.75531901e-29,0.00913242009,0.712328767
0.02,0.0504603796,0.128889884,-0.386669652,300,1.1312606,-5.72891113e-15,5.78995165e-32,-4.24693582e-21,0.191780822,-2.49522864e-24,1.33873416e-11,6.6629305e-19,-1.64030673e-20,-4.64510845e-35,-2.2762026e-46,2.61906286e-32,-2.37811719e-37,1.57987134e-17,0.0867579909,2.89806208e-16,1.86311121e-13,-5.74897084e-34,2.67242414e-18,-1.60231314e-42,1.78911814e-30,1.01146027e-20,1.25749914e-35,3.0058688e-22,-1.54567982e-33,2.28220529e-20,-1.87609419e-29,-6.10148369e-18,-1.60524227e-41,3.92158082e-27,1.57149384e-29,0.00913242009,0.712328767
0.03,0.0472381327,0.193334826,-0.386669652,300.000001,1.13126059,-4.2942813e-14,-4.81881743e-29,-1.39058132e-21,0.191780822,-8.16996811e-25,3.11824962e-10,1.10719849e-17,1.71040589e-18,-1.35940183e-42,4.23636247e-46,-1.87056838e-36,-8.70625515e-38,2.02494179e-17,0.0867579907,7.33354283e-15,6.13215443e-12,-3.3460071e-38,8.95780436e-17,-1.6133434e-41,4.0497434e-29,3.31423198e-19,2.22607702e-43,2.22973092e-22,-3.19825712e-40,7.17499085e-19,-6.84254463e-30,5.24913685e-17,-5.40403762e-42,1.45334242e-25,-5.4869342e-29,0.00913242009,0.712328767
0.04,0.0427269904,0.257779776,-0.386669652,300.000026,1.1312605,-3.05288767e-13,-4.88989535e-30,-4.26954763e-22,0.191780819,-2.49731975e-25,6.82834192e-09,2.35935093e-16,5.36432212e-17,9.23188486e-42,-1.51250854e-42,7.74735331e-36,3.57585842e-37,4.88297753e-17,0.086757987,1.74414338e-13,1.89512525e-10,-1.7335185e-37,2.80008192e-15,-1.51347871e-40,2.17552286e-27,1.05298033e-17,3.57632217e-51,-2.04575918e-21,7.15366213e-42,2.17782897e-17,2.80811947e-29,2.02988158e-15,-3.65631939e-42,5.23752039e-24,-2.5965673e-27,0.00913242009,0.712328767
0.05,0.0369270105,0.32222489,-0.386669652,300.000518,1.13125862,-2.00317071e-12,6.74477938e-30,-1.22608148e-22,0.191780761,3.24455847e-25,1.36152959e-07,4.87841739e-15,1.27495381e-15,5.14924567e-33,1.48089327e-41,7.89616036e-35,3.64462893e-36,9.02759651e-16,0.0867579164,3.77512021e-12,5.32267843e-09,8.62348071e-35,7.95236418e-14,2.05514267e-39,8.19614878e-25,3.0428877e-16,-2.51609656e-54,-6.22465693e-20,3.78368309e-39,6.01320496e-16,2.86577437e-28,6.07564003e-14,-1.9034869e-41,1.7157901e-22,-8.56237274e-26,0.00913242002,0.712328761
0.06,0.0298390071,0.38667299,-0.386669652,300.009086,1.13122588,-1.1730277e-11,-4.05762821e-26,-1.89965975e-22,0.191779656,1.5004912e-22,2.37177945e-06,9.00548864e-14,2.51600415e-14,5.21491752e-34,1.42701137e-40,7.74608219e-33,3.58118288e-34,1.8625264e-14,0.0867567324,7.13262774e-11,1.3019826e-07,4.60733277e-32,1.96681858e-12,2.52841986e-36,3.11443509e-22,7.65690558e-15,-6.41868611e-51,-1.45096541e-18,1.94209003e-36,1.44623942e-14,2.77133263e-26,1.57939528e-12,5.69887058e-42,4.89013696e-21,-2.44082894e-24,0.00913241915,0.712328691
0.065,0.0258154921,0.4189136,-0.386669652,300.055959,1.13104681,-3.0529747e-11,3.42771897e-28,-2.67931762e-21,0.191773052,1.14560041e-20,1.45208046e-05,5.83079573e-13,1.69667692e-13,1.22350947e-33,4.7079936e-41,1.54026523e-31,7.63661473e-33,2.20411373e-13,0.0867504852,4.68584872e-10,1.07517338e-06,5.30825174e-30,1.64036923e-11,7.24922663e-34,2.37836589e-20,6.48604411e-14,-3.53897588e-48,-1.14301283e-17,1.96453051e-34,1.17632118e-13,2.28865368e-25,1.37137757e-11,1.50996008e-38,4.63715072e-20,-2.31456893e-23,0.00913241618,0.71232845
0.07,0.0214898545,0.451266451,-0.386669652,300.371418,1.12984354,-8.03512346e-11,3.53398784e-27,-3.60342393e-20,0.191724715,7.77347214e-19,9.57254911e-05,4.08680901e-12,1.23378697e-12,2.07622779e-33,-5.73813931e-39,6.07593891e-29,3.15633412e-30,2.15109121e-12,0.0867098391,3.32868005e-09,9.71456944e-06,9.44280708e-28,1.49752166e-10,3.75412481e-31,1.62233065e-18,6.01834556e-13,-1.97963728e-45,-9.82787921e-17,2.38867624e-32,1.04608156e-12,1.91357023e-24,1.30862771e-10,2.46823189e-36,4.84087996e-19,-2.41625744e-22,0.00913240564,0.712327597
0.075,0.0169298554,0.484249676,-0.386669652,302.185422,1.12297836,-1.97981056e-10,3.12789292e-25,-4.5953175e-19,0.191423355,3.78404657e-17,0.000558017577,2.50983648e-11,7.97886824e-12,6.23379e-31,-4.109332e-36,2.43212391e-26,1.26959648e-27,1.7758791e-11,0.0864840855,2.08439323e-08,7.6487914e-05,2.4263074e-25,1.19045706e-09,1.46969774e-28,8.13562188e-17,4.85950351e-12,-7.51147598e-43,-7.37994732e-16,4.22708932e-30,8.11158866e-12,3.0827718e-23,1.08589694e-09,5.36277539e-34,4.37650536e-18,-2.18446942e-21,0.0091323825,0.712325649
