Fault,FDR_SPE,FAR_SPE,F1_Score_SPE,FDR_T2,FAR_T2,F1_Score_T2
1.0,797.0,13.0,0.9900621118012422,465.0,2.0,0.734017363851618
2.0,790.0,8.0,0.9887359198998749,76.0,8.0,0.1719457013574661
3.0,55.0,10.0,0.1271676300578035,46.0,10.0,0.10747663551401869
4.0,784.0,7.0,0.9855436832181018,32.0,0.0,0.07692307692307693
5.0,269.0,7.0,0.5,224.0,1.0,0.43707317073170737
6.0,800.0,4.0,0.9975062344139651,793.0,0.0,0.9956057752667922
7.0,800.0,5.0,0.9968847352024921,325.0,8.0,0.5736981465136805
8.0,780.0,4.0,0.984848484848485,663.0,4.0,0.9038854805725971
9.0,64.0,10.0,0.14645308924485126,61.0,23.0,0.13800904977375564
10.0,330.0,3.0,0.5825242718446602,300.0,4.0,0.5434782608695652
11.0,600.0,9.0,0.8516678495386798,76.0,0.0,0.17351598173515984
12.0,791.0,15.0,0.9850560398505604,694.0,7.0,0.9247168554297135
13.0,764.0,9.0,0.9713922441195167,689.0,4.0,0.9229738780977896
14.0,800.0,12.0,0.9925558312655086,185.0,3.0,0.3744939271255061
15.0,64.0,7.0,0.14695752009184845,53.0,5.0,0.12354312354312355
16.0,241.0,11.0,0.4581749049429658,186.0,25.0,0.3679525222551929
17.0,741.0,6.0,0.957983193277311,322.0,4.0,0.5719360568383659
18.0,719.0,12.0,0.9392553886348791,709.0,8.0,0.934739617666447
19.0,207.0,4.0,0.4094955489614243,43.0,7.0,0.10117647058823528
20.0,424.0,7.0,0.6888708367181154,249.0,6.0,0.4720379146919432
21.0,392.0,11.0,0.6517040731504571,176.0,9.0,0.3573604060913706
