         Time_s                                                                                                                         1                                                                                                                         2                                                                                                                         3                                                                                                                         4                                                                                                                         5                                                                                                                         6                                                                                                                         7                                                                                                                         8
   0.000000E+00   1.0000E+06   3.2188E+18   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-19   1.0000E+06   3.2188E+18   1.1411E-04   1.0000E+06   2.3312E-07   5.5216E-10   1.7254E-22   5.5216E-10
   1.100000E-18   1.0000E+06   3.2188E+18   1.2552E-03   1.0000E+06   2.5643E-06   6.0738E-09   1.2135E-20   6.0738E-09
   1.109999E-17   1.0000E+06   3.2188E+18   1.2666E-02   1.0000E+06   2.5876E-05   6.1290E-08   9.4031E-19   6.1290E-08
   1.110987E-16   1.0000E+06   3.2188E+18   1.2677E-01   1.0000E+06   2.5899E-04   6.1345E-07   8.4358E-17   6.1345E-07
   1.110972E-15   1.0000E+06   3.2188E+18   1.2677E+00   1.0000E+06   2.5899E-03   6.1344E-06   8.1077E-15   6.1344E-06
   1.109831E-14   1.0000E+06   3.2188E+18   1.2664E+01   1.0000E+06   2.5872E-02   6.1281E-05   7.9659E-13   6.1281E-05
   1.098464E-13   1.0000E+06   3.2188E+18   1.2534E+02   1.0000E+06   2.5608E-01   6.0654E-04   7.7739E-11   6.0654E-04
   9.973883E-13   1.0001E+06   3.2188E+18   1.1382E+03   1.0001E+06   2.3252E+00   5.5075E-03   6.4039E-09   5.5075E-03
   5.420816E-12   1.0006E+06   3.2188E+18   6.1875E+03   1.0006E+06   1.2641E+01   2.9941E-02   1.8919E-07   2.9941E-02
   1.295529E-11   1.0015E+06   3.2188E+18   1.4794E+04   1.0015E+06   3.0223E+01   7.1587E-02   1.0809E-06   7.1588E-02
   2.152757E-11   1.0025E+06   3.2188E+18   2.4595E+04   1.0024E+06   5.0246E+01   1.1901E-01   2.9854E-06   1.1902E-01
   3.085701E-11   1.0036E+06   3.2188E+18   3.5273E+04   1.0035E+06   7.2060E+01   1.7068E-01   6.1357E-06   1.7069E-01
   4.097805E-11   1.0047E+06   3.2188E+18   4.6870E+04   1.0046E+06   9.5750E+01   2.2679E-01   1.0825E-05   2.2680E-01
   5.195468E-11   1.0060E+06   3.2188E+18   5.9462E+04   1.0059E+06   1.2147E+02   2.8772E-01   1.7407E-05   2.8774E-01
