       Time_s           01           02           03           04           05
   0.0000E+00   2.2829E+01   3.0000E+02   0.0000E+00   0.0000E+00   0.0000E+00
   7.0258E-06   2.2829E+01   3.0000E+02   8.1470E+03   5.1682E-07   2.8876E-03
   1.5223E-05   3.9361E+01   3.0000E+02   8.6119E+03   1.3771E-06   1.3266E-02
   2.4590E-05   5.8038E+01   3.0000E+02   9.7046E+03   3.0198E-06   4.2895E-02
   3.2787E-05   7.6188E+01   3.0000E+02   1.2255E+04   4.5425E-06   8.4703E-02
   4.0984E-05   9.2470E+01   3.0000E+02   1.5688E+04   2.2397E-06   5.0688E-02
   4.9180E-05   1.0794E+02   3.0000E+02   1.9639E+04   2.1671E-06   5.7251E-02
   5.5035E-05   1.2037E+02   3.0000E+02   2.2811E+04   9.8547E-06   2.9031E-01
   5.9719E-05   1.2888E+02   3.0000E+02   2.4929E+04   2.3523E-05   7.4200E-01
   6.4403E-05   1.3562E+02   3.0000E+02   2.6555E+04   4.3280E-05   1.4366E+00
   6.6745E-05   1.4015E+02   3.0000E+02   2.7643E+04   6.6088E-05   2.2669E+00
   7.0258E-05   1.4331E+02   3.0000E+02   2.8370E+04   8.5763E-05   3.0081E+00
   7.3771E-05   1.4662E+02   3.0000E+02   2.9117E+04   1.0138E-04   3.6381E+00
   7.9625E-05   1.5018E+02   3.0000E+02   2.9849E+04   1.1351E-04   4.1721E+00
   8.5480E-05   1.5373E+02   3.0000E+02   3.0593E+04   1.2169E-04   4.5786E+00
   9.2506E-05   1.5647E+02   3.0000E+02   3.1155E+04   1.2228E-04   4.6829E+00
   9.7190E-05   1.5823E+02   3.0000E+02   3.1518E+04   1.1634E-04   4.5052E+00
   1.0656E-04   1.5926E+02   3.0000E+02   3.1731E+04   1.0270E-04   4.0031E+00
   1.1475E-04   1.5966E+02   3.0000E+02   3.1812E+04   8.2686E-05   3.2311E+00
   1.2178E-04   1.5911E+02   3.0000E+02   3.1699E+04   6.2438E-05   2.4314E+00
   1.2881E-04   1.5789E+02   3.0000E+02   3.1449E+04   4.3344E-05   1.6749E+00
   1.3700E-04   1.5574E+02   3.0000E+02   3.1006E+04   2.6246E-05   1.0004E+00
   1.4871E-04   1.5125E+02   3.0000E+02   3.0074E+04   1.2143E-05   4.4951E-01
   1.6042E-04   1.4351E+02   3.0000E+02   2.8415E+04   3.5194E-06   1.2362E-01
   1.7330E-04   1.3196E+02   3.0000E+02   2.5641E+04   6.7525E-07   2.1808E-02
   1.8852E-04   1.1445E+02   3.0000E+02   2.1318E+04   1.5003E-07   4.2026E-03
   2.0726E-04   8.7775E+01   3.0000E+02   1.4589E+04   1.8071E-07   3.8820E-03
   2.2248E-04   5.6695E+01   3.0000E+02   9.5796E+03   4.4597E-07   6.1883E-03
   2.4239E-04   2.1145E+01   3.0000E+02   8.0920E+03   8.4179E-07   4.3564E-03
   2.5000E-04   7.8551E+00   3.0000E+02   7.1778E+03   3.1798E-07   6.1132E-04
   2.5703E-04   2.2829E+01   3.0000E+02   8.1470E+03   5.1682E-07   2.8876E-03
   2.6522E-04   3.9361E+01   3.0000E+02   8.6119E+03   1.3771E-06   1.3266E-02
   2.7459E-04   5.8038E+01   3.0000E+02   9.7046E+03   3.0198E-06   4.2895E-02
   2.8279E-04   7.6188E+01   3.0000E+02   1.2255E+04   4.5425E-06   8.4703E-02
   2.9098E-04   9.2470E+01   3.0000E+02   1.5688E+04   2.2397E-06   5.0688E-02
   2.9918E-04   1.0794E+02   3.0000E+02   1.9639E+04   2.1671E-06   5.7251E-02
   3.0504E-04   1.2037E+02   3.0000E+02   2.2811E+04   9.8547E-06   2.9031E-01
   3.0972E-04   1.2888E+02   3.0000E+02   2.4929E+04   2.3523E-05   7.4200E-01
   3.1440E-04   1.3562E+02   3.0000E+02   2.6555E+04   4.3280E-05   1.4366E+00
   3.1674E-04   1.4015E+02   3.0000E+02   2.7643E+04   6.6088E-05   2.2669E+00
   3.2026E-04   1.4331E+02   3.0000E+02   2.8370E+04   8.5763E-05   3.0081E+00
   3.2377E-04   1.4662E+02   3.0000E+02   2.9117E+04   1.0138E-04   3.6381E+00
   3.2963E-04   1.5018E+02   3.0000E+02   2.9849E+04   1.1351E-04   4.1721E+00
   3.3548E-04   1.5373E+02   3.0000E+02   3.0593E+04   1.2169E-04   4.5786E+00
   3.4251E-04   1.5647E+02   3.0000E+02   3.1155E+04   1.2228E-04   4.6829E+00
   3.4719E-04   1.5823E+02   3.0000E+02   3.1518E+04   1.1634E-04   4.5052E+00
   3.5656E-04   1.5926E+02   3.0000E+02   3.1731E+04   1.0270E-04   4.0031E+00
