         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11
   0.000000E+00   9.7259E+05   0.0000E+00   2.4475E+19   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   7.025760E-06   9.7259E+05   1.6086E-23   2.4475E+19   2.8629E+04   3.9575E+00   3.4005E+01   3.9442E-02   3.3091E-55   7.0436E-17   1.0759E-27   1.4065E-11
   1.522250E-05   1.6799E+06   6.7031E-09   2.4475E+19   8.3462E+07   1.0047E+04   1.7969E+05   1.1009E+03   3.3883E-27   7.0599E-03   5.6229E-10   1.8697E+02
   2.459020E-05   2.7099E+06   1.0440E-03   2.4475E+19   5.1474E+09   5.4747E+05   1.7397E+07   1.8413E+05   2.6479E-18   1.6604E+02   8.3703E-04   4.3046E+05
   3.278690E-05   3.2934E+06   5.9756E+00   2.4475E+19   3.8772E+10   4.2721E+06   1.9354E+08   2.4899E+06   1.3891E-12   1.6699E+05   5.7790E+00   1.8996E+07
   4.098360E-05   1.4091E+06   1.6012E+03   2.4475E+19   7.6808E+10   5.1615E+06   2.8798E+08   4.0362E+06   2.6176E-09   1.6991E+07   1.5918E+03   6.8077E+07
   4.918030E-05   1.1963E+06   5.3654E+04   2.4475E+19   1.4042E+11   8.8792E+06   5.6893E+08   8.3678E+06   2.9998E-07   2.9044E+08   5.3518E+04   3.1226E+07
   5.503510E-05   4.9963E+06   7.3126E+05   2.4475E+19   4.4153E+11   5.6564E+07   3.9398E+09   5.9499E+07   4.0093E-05   2.0281E+09   7.2884E+05   8.7453E+06
   5.971900E-05   1.1251E+07   6.2371E+06   2.4475E+19   1.1263E+12   1.6211E+08   1.1825E+10   1.8117E+08   1.7301E-03   7.1891E+09   6.2191E+06   2.9180E+06
   6.440280E-05   1.9899E+07   4.3863E+07   2.4475E+19   2.5419E+12   3.4108E+08   2.5643E+10   3.9700E+08   4.5159E-02   2.0257E+10   4.3766E+07   1.1531E+06
   6.674470E-05   2.9512E+07   1.0236E+08   2.4475E+19   3.6915E+12   5.6308E+08   4.3126E+10   6.7173E+08   2.0159E-01   3.2389E+10   1.0216E+08   4.6991E+05
   7.025760E-05   3.7594E+07   3.4275E+08   2.4475E+19   6.0214E+12   7.7762E+08   6.0055E+10   9.4076E+08   1.3952E+00   5.9186E+10   3.4219E+08   3.2367E+05
   7.377050E-05   4.3564E+07   9.5608E+08   2.4475E+19   8.8284E+12   9.8291E+08   7.6359E+10   1.2039E+09   7.0876E+00   9.4944E+10   9.5489E+08   1.8331E+05
   7.962530E-05   4.7936E+07   3.6861E+09   2.4475E+19   1.4024E+13   1.2161E+09   9.3992E+10   1.4973E+09   5.5926E+01   1.6985E+11   3.6835E+09   1.0450E+05
   8.548010E-05   5.0396E+07   1.0048E+10   2.4475E+19   1.9302E+13   1.4509E+09   1.1106E+11   1.7885E+09   2.6394E+02   2.5792E+11   1.0046E+10   4.9625E+04
   9.250590E-05   4.9798E+07   2.4830E+10   2.4475E+19   2.4919E+13   1.6382E+09   1.2289E+11   2.0029E+09   1.0277E+03   3.6784E+11   2.4840E+10   2.8437E+04
