       Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36
   0.0000E+00   2.8641E+08   7.1295E+08   2.8021E+08   2.9409E+09   1.4848E+08   1.0639E+07   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   7.0258E-06   2.8641E+08   7.1295E+08   2.8021E+08   2.9409E+09   1.4848E+08   1.0639E+07   0.0000E+00   3.8941E-06   4.6253E-08   3.3396E-58   3.4024E-18   4.0160E-29   5.4684E-12   1.3028E-87   2.2641E-45   9.8585E-52   6.0496E-22   7.5227E-49   1.4465E-06   1.1423E-60   2.2626E-45   1.4465E-06   1.4315E+04   5.1447E+05   3.4005E+03   9.8606E+05   9.2106E-31   2.1021E+08   2.4589E-01   1.2294E-01   1.9372E+08   2.9057E+09   1.5813E+08   9.6534E+06   1.0766E-59   1.5199E-59
   1.5223E-05   5.4265E+11   1.6616E+12   9.2687E+11   7.0072E+12   5.6616E+11   2.9697E+11   2.2811E+07   5.9988E+01   1.2915E+00   5.4346E-30   5.7643E-04   3.5261E-11   1.2191E+02   5.5586E-45   1.2532E-17   5.5188E-23   1.7677E-04   2.3743E-20   7.6114E+07   2.4876E-28   1.2532E-17   5.3304E+07   4.1731E+07   1.3062E+09   1.7969E+07   2.7523E+10   1.1189E-12   6.1281E+11   2.0898E+06   1.0449E+06   4.9181E+11   7.3772E+12   8.3558E+11   2.6945E+11   1.8694E-30   2.6392E-30
   2.4590E-05   2.4076E+13   8.1530E+13   5.4094E+13   3.4334E+14   3.5836E+13   4.9664E+13   4.5949E+10   3.5820E+05   1.2106E+04   5.7270E-21   2.0874E+01   7.9761E-05   4.2500E+05   6.7657E-31   4.4933E-09   2.9298E-13   2.5641E+02   6.7386E-11   7.9138E+11   5.7675E-17   4.4940E-09   7.4545E+11   2.5737E+09   7.1172E+10   1.7397E+09   4.6033E+12   1.0748E-05   3.7794E+13   7.9488E+09   3.9744E+09   2.6798E+13   4.0198E+14   8.0900E+13   4.5065E+13   4.5349E-20   6.4022E-20
   3.2787E-05   1.6040E+14   5.7221E+14   4.1597E+14   2.3837E+15   2.9064E+14   6.7143E+14   2.2854E+12   3.0017E+07   1.4984E+06   2.5732E-15   2.3294E+04   5.9558E-01   2.0142E+07   2.0316E-21   1.1369E-03   2.3866E-06   1.9424E+06   3.2836E-04   3.7076E+14   2.2792E-09   1.1351E-03   3.6850E+14   1.9386E+10   5.5537E+11   1.9354E+10   6.2249E+13   4.6337E-01   2.8468E+14   4.5099E+11   2.2549E+11   2.0912E+14   3.1368E+15   9.0002E+14   6.0941E+14   1.4857E-12   2.0974E-12
   4.0984E-05   1.7220E+14   6.3303E+14   4.8536E+14   2.6012E+15   3.5137E+14   1.0879E+15   8.0405E+12   8.8477E+07   3.3173E+06   1.4324E-12   9.2096E+05   6.2036E+01   2.7096E+07   1.0258E-15   1.1758E+00   8.6584E-02   3.9150E+08   8.1024E+00   2.0121E+16   1.6822E-04   1.0901E+00   2.0115E+16   3.8404E+10   6.7099E+11   2.8798E+10   1.0090E+14   2.4597E+02   5.6395E+14   1.7698E+12   8.8492E+11   2.5265E+14   3.7898E+15   1.3392E+15   9.8784E+14   1.0667E-07   1.5060E-07
   4.9180E-05   2.6951E+14   1.0115E+15   8.0469E+14   4.0945E+15   5.9775E+14   2.2542E+15   2.8872E+13   3.1955E+08   1.2947E+07   9.9493E-11   1.2244E+07   1.5826E+03   9.3669E+06   3.9393E-12   8.0170E+01   6.3510E+01   1.2235E+10   4.3444E+03   1.9964E+17   1.8952E-01   1.6754E+01   1.9964E+17   7.0208E+10   1.1543E+12   5.6893E+10   2.0919E+14   1.5068E+04   1.0310E+15   5.9150E+12   2.9575E+12   4.3463E+14   6.5195E+15   2.6456E+15   2.0480E+15   1.1978E-04   1.6910E-04
   5.5035E-05   1.6084E+15   6.1161E+15   4.9811E+15   2.4441E+16   3.7607E+15   1.6021E+16   2.9307E+14   6.9582E+09   6.2089E+08   4.4364E-08   3.3684E+08   8.3521E+04   1.0121E+07   7.1755E-09   7.2997E+03   7.2563E+03   2.6865E+11   3.9751E+05   9.3255E+17   3.5176E+01   6.3951E+01   9.3255E+17   2.2077E+11   7.3533E+12   3.9398E+11   1.4875E+15   6.4575E+05   3.2419E+15   5.8485E+13   2.9242E+13   2.7688E+15   4.1532E+16   1.8321E+16   1.4562E+16   2.2249E-02   3.1410E-02
   5.9719E-05   4.4209E+15   1.6941E+16   1.3987E+16   6.7086E+16   1.0658E+16   4.8681E+16   1.1017E+15   5.3274E+10   5.5935E+09   3.7735E-06   2.5972E+09   1.5352E+06   7.2549E+06   2.6410E-06   2.4602E+05   2.4678E+05   2.4291E+12   1.1759E+07   2.5516E+18   2.5601E+03   1.8200E+02   2.5516E+18   5.6313E+11   2.1075E+13   1.1825E+12   4.5294E+15   1.4049E+07   8.2695E+15   3.8054E+14   1.9027E+14   7.9353E+15   1.1903E+17   5.4990E+16   4.4342E+16   1.6186E+00   2.2850E+00
   6.4403E-05   8.9823E+15   3.4610E+16   2.8857E+16   1.3606E+17   2.2127E+16   1.0612E+17   2.7975E+15   2.6073E+11   2.6303E+10   1.5846E-04   1.2628E+10   1.8514E+07   4.9037E+06   4.8480E-04   5.3248E+06   5.3465E+06   1.5447E+13   2.2958E+08   5.9086E+18   1.2670E+05   5.0580E+02   5.9086E+18   1.2710E+12   4.4340E+13   2.5643E+12   9.9250E+15   2.2299E+08   1.8664E+16   1.9384E+15   9.6919E+14   1.6696E+16   2.5043E+17   1.1925E+17   9.7165E+16   8.0051E+01   1.1301E+02
   6.6745E-05   1.4521E+16   5.6145E+16   4.7098E+16   2.1964E+17   3.6250E+16   1.7915E+17   5.2046E+15   6.3679E+11   7.4395E+10   9.8778E-04   2.9481E+10   6.2816E+07   2.9013E+06   5.0505E-03   2.1041E+07   2.1143E+07   3.5869E+13   8.4896E+08   8.3140E+18   6.9017E+05   4.8102E+02   8.3140E+18   1.8457E+12   7.3200E+13   4.3126E+12   1.6793E+16   7.5574E+08   2.7104E+16   4.0880E+15   2.0440E+15   2.7562E+16   4.1343E+17   2.0054E+17   1.6440E+17   4.3597E+02   6.1549E+02
